seeds,num_tasks,per_jitter,zero_jitter,best_latency,"(latency, count)",sum_period,diff,periods,read_offsets,write_offsets,"original_latencies(LF,FF,LL,FL)","zero_jitter_latencies(LF,FF,LL,FL)","diff_latencies(LF,FF,LL,FL)",ff_ll_equal,sum_execution_time,sync_original,sync_zero_jitter,diff_sync
1769699310,3,0,8,13,"[(13, 2)]",12,"[1, 1]","[5, 3, 4]","[0, 0, 0]","[1, 1, 1]","(7, 13, 13, 21)","(8, 13, 13, 18)","[1, 0, 0, -3]",True,3,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,9,14,"[(14, 2)]",12,"[2, 2]","[5, 3, 4]","[0, 0, 0]","[1, 1, 2]","(8, 14, 14, 22)","(9, 14, 14, 19)","[1, 0, 0, -3]",True,4,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,10,15,"[(15, 2)]",12,"[3, 3]","[5, 3, 4]","[0, 0, 0]","[1, 1, 3]","(9, 15, 15, 23)","(10, 15, 15, 20)","[1, 0, 0, -3]",True,5,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,11,16,"[(16, 2)]",12,"[4, 4]","[5, 3, 4]","[0, 0, 0]","[1, 1, 4]","(10, 16, 16, 24)","(11, 16, 16, 21)","[1, 0, 0, -3]",True,6,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,8,13,"[(13, 2)]",12,"[1, 1]","[5, 3, 4]","[0, 0, 1]","[1, 1, 2]","(7, 13, 13, 21)","(8, 13, 13, 18)","[1, 0, 0, -3]",True,3,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,9,14,"[(14, 2)]",12,"[2, 2]","[5, 3, 4]","[0, 0, 1]","[1, 1, 3]","(8, 14, 14, 22)","(9, 14, 14, 19)","[1, 0, 0, -3]",True,4,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,10,15,"[(15, 2)]",12,"[3, 3]","[5, 3, 4]","[0, 0, 1]","[1, 1, 4]","(9, 15, 15, 23)","(10, 15, 15, 20)","[1, 0, 0, -3]",True,5,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,11,16,"[(16, 2)]",12,"[4, 4]","[5, 3, 4]","[0, 0, 1]","[1, 1, 5]","(10, 16, 16, 24)","(11, 16, 16, 21)","[1, 0, 0, -3]",True,6,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,8,13,"[(13, 2)]",12,"[1, 1]","[5, 3, 4]","[0, 0, 2]","[1, 1, 3]","(7, 13, 13, 21)","(8, 13, 13, 18)","[1, 0, 0, -3]",True,3,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,9,14,"[(14, 2)]",12,"[2, 2]","[5, 3, 4]","[0, 0, 2]","[1, 1, 4]","(8, 14, 14, 22)","(9, 14, 14, 19)","[1, 0, 0, -3]",True,4,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,10,15,"[(15, 2)]",12,"[3, 3]","[5, 3, 4]","[0, 0, 2]","[1, 1, 5]","(9, 15, 15, 23)","(10, 15, 15, 20)","[1, 0, 0, -3]",True,5,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,11,16,"[(16, 2)]",12,"[4, 4]","[5, 3, 4]","[0, 0, 2]","[1, 1, 6]","(10, 16, 16, 24)","(11, 16, 16, 21)","[1, 0, 0, -3]",True,6,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,8,13,"[(13, 2)]",12,"[1, 1]","[5, 3, 4]","[0, 0, 3]","[1, 1, 4]","(7, 12, 12, 17)","(8, 13, 13, 18)","[1, 1, 1, 1]",True,3,"[4, 9, 9, 14]","[5, 10, 10, 15]","[1, 1, 1, 1]"
1769699310,3,0,9,14,"[(14, 2)]",12,"[2, 2]","[5, 3, 4]","[0, 0, 3]","[1, 1, 5]","(8, 13, 13, 18)","(9, 14, 14, 19)","[1, 1, 1, 1]",True,4,"[4, 9, 9, 14]","[5, 10, 10, 15]","[1, 1, 1, 1]"
1769699310,3,0,10,15,"[(15, 2)]",12,"[3, 3]","[5, 3, 4]","[0, 0, 3]","[1, 1, 6]","(9, 14, 14, 19)","(10, 15, 15, 20)","[1, 1, 1, 1]",True,5,"[4, 9, 9, 14]","[5, 10, 10, 15]","[1, 1, 1, 1]"
1769699310,3,0,11,16,"[(16, 2)]",12,"[4, 4]","[5, 3, 4]","[0, 0, 3]","[1, 1, 7]","(10, 15, 15, 20)","(11, 16, 16, 21)","[1, 1, 1, 1]",True,6,"[4, 9, 9, 14]","[5, 10, 10, 15]","[1, 1, 1, 1]"
1769699310,3,0,9,14,"[(14, 2)]",12,"[2, 2]","[5, 3, 4]","[0, 0, 0]","[1, 2, 1]","(8, 13, 13, 18)","(9, 14, 14, 19)","[1, 1, 1, 1]",True,4,"[4, 9, 9, 14]","[5, 10, 10, 15]","[1, 1, 1, 1]"
1769699310,3,0,10,15,"[(15, 2)]",12,"[3, 3]","[5, 3, 4]","[0, 0, 0]","[1, 2, 2]","(9, 14, 14, 19)","(10, 15, 15, 20)","[1, 1, 1, 1]",True,5,"[4, 9, 9, 14]","[5, 10, 10, 15]","[1, 1, 1, 1]"
1769699310,3,0,11,16,"[(16, 2)]",12,"[4, 4]","[5, 3, 4]","[0, 0, 0]","[1, 2, 3]","(10, 15, 15, 20)","(11, 16, 16, 21)","[1, 1, 1, 1]",True,6,"[4, 9, 9, 14]","[5, 10, 10, 15]","[1, 1, 1, 1]"
1769699310,3,0,12,17,"[(17, 2)]",12,"[5, 5]","[5, 3, 4]","[0, 0, 0]","[1, 2, 4]","(11, 16, 16, 21)","(12, 17, 17, 22)","[1, 1, 1, 1]",True,7,"[4, 9, 9, 14]","[5, 10, 10, 15]","[1, 1, 1, 1]"
1769699310,3,0,9,14,"[(14, 2)]",12,"[2, 2]","[5, 3, 4]","[0, 0, 1]","[1, 2, 2]","(8, 14, 14, 22)","(9, 14, 14, 19)","[1, 0, 0, -3]",True,4,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,10,15,"[(15, 2)]",12,"[3, 3]","[5, 3, 4]","[0, 0, 1]","[1, 2, 3]","(9, 15, 15, 23)","(10, 15, 15, 20)","[1, 0, 0, -3]",True,5,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,11,16,"[(16, 2)]",12,"[4, 4]","[5, 3, 4]","[0, 0, 1]","[1, 2, 4]","(10, 16, 16, 24)","(11, 16, 16, 21)","[1, 0, 0, -3]",True,6,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,12,17,"[(17, 2)]",12,"[5, 5]","[5, 3, 4]","[0, 0, 1]","[1, 2, 5]","(11, 17, 17, 25)","(12, 17, 17, 22)","[1, 0, 0, -3]",True,7,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
1769699310,3,0,9,14,"[(14, 2)]",12,"[2, 2]","[5, 3, 4]","[0, 0, 2]","[1, 2, 3]","(8, 14, 14, 22)","(9, 14, 14, 19)","[1, 0, 0, -3]",True,4,"[4, 10, 10, 18]","[5, 10, 10, 15]","[1, 0, 0, -3]"
