seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,added,finalpercent
1755016037,10,0.1,445.69999999999993,383.1446829650813,0.8596470338009454,safe,0.0,"(6, 7)",False,0.0
1755016037,10,0.2,476.4,433.4167555125532,0.909774885626686,safe,0.0,"(6, 7)",False,0.0
1755016037,10,0.3,499.1,453.5946117742024,0.908825108744144,safe,0.0,"(0, 1)",False,0.0
1755016037,10,0.4,520.8000000000001,456.1301322936124,0.8758259068617749,safe,0.0,"(0, 1)",False,0.0
1755016037,10,0.5,535.5,457.18378834879695,0.8537512387465863,safe,0.0,"(5, 6)",True,0.0
1755016038,10,0.0,4322.0,3544.0,0.8199907450254512,safe,0.0,"(0, 1)",False,0.0
1755016038,10,0.02,4348.54,4225.000634534264,0.9715906107645932,safe,0.0,"(0, 1)",False,0.0
1755016038,10,0.05,4388.35,4228.969836966711,0.9636810730608796,safe,0.0,"(0, 1)",False,0.0
1755016038,10,0.1,4454.700000000001,4232.006924800686,0.950009411363433,safe,0.0,"(0, 1)",False,0.0
1755016038,10,0.2,4587.4,4407.994671443871,0.9608917189353168,safe,0.0,"(0, 1)",False,0.0
1755016038,10,0.3,4720.1,4382.034807127313,0.9283775358842636,safe,0.0,"(0, 1)",False,0.0
1755016038,10,0.4,4852.799999999999,4638.156750669306,0.9557691952417794,safe,0.0,"(0, 1)",False,0.0
1755016038,10,0.5,4985.5,4621.336868763064,0.9269555448326272,safe,0.0,"(0, 1)",False,0.0
