$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[2,2,8,2]",7.000,"[0,0,0,0]",10.000,"[0,1,0,1]",3.000,1
"[2,2,8,3]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,2,8,4]",7.000,"[0,0,0,0]",12.000,"[0,1,0,3]",5.000,1
"[2,2,8,5]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,2,8,6]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,0
"[2,2,8,7]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,2,8,8]",7.000,"[0,0,0,0]",16.000,"[0,1,0,7]",9.000,1
"[2,2,8,9]",15.000,"[0,0,0,0]",17.000,"[0,1,0,0]",2.000,0
"[2,2,8,10]",15.000,"[0,0,0,0]",18.000,"[0,1,0,1]",3.000,0
"[2,2,8,11]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,2,8,12]",15.000,"[0,0,0,0]",20.000,"[0,1,0,3]",5.000,0
"[2,2,9,2]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,2,9,3]",9.000,"[0,0,0,0]",12.000,"[0,1,0,2]",3.000,0
"[2,2,9,4]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,2,9,5]",13.000,"[0,0,0,0]",14.000,"[0,1,0,0]",1.000,0
"[2,2,9,6]",11.000,"[0,0,0,0]",15.000,"[0,1,0,2]",4.000,0
"[2,2,9,7]",15.000,"[0,0,0,0]",16.000,"[0,1,0,0]",1.000,0
"[2,2,9,8]",15.000,"[0,0,0,0]",17.000,"[0,1,0,0]",2.000,0
"[2,2,9,9]",9.000,"[0,0,0,0]",18.000,"[0,1,0,8]",9.000,0
"[2,2,9,10]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,2,9,11]",19.000,"[0,0,0,0]",20.000,"[0,1,0,0]",1.000,0
"[2,2,9,12]",17.000,"[0,0,0,0]",21.000,"[0,1,0,2]",4.000,0
"[2,2,10,2]",9.000,"[0,0,0,0]",12.000,"[0,1,0,1]",3.000,1
"[2,2,10,3]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,2,10,4]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,0
"[2,2,10,5]",9.000,"[0,0,0,0]",15.000,"[0,1,0,4]",6.000,1
