$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[4,3,6,12]",11.000,"[0,0,0,0]",21.000,"[0,0,5,10]",10.000,1
"[4,3,7,2]",11.000,"[0,0,0,0]",12.000,"[0,0,0,1]",1.000,0
"[4,3,7,3]",11.000,"[0,0,0,0]",13.000,"[0,0,0,2]",2.000,0
"[4,3,7,4]",11.000,"[0,0,0,0]",14.000,"[0,0,0,3]",3.000,0
"[4,3,7,5]",15.000,"[0,0,0,0]",15.000,"[0,0,0,0]",0.000,0
"[4,3,7,6]",13.000,"[0,0,0,0]",16.000,"[0,0,0,5]",3.000,0
"[4,3,7,7]",11.000,"[0,0,0,0]",17.000,"[0,0,0,6]",6.000,0
"[4,3,7,8]",15.000,"[0,0,0,0]",18.000,"[0,0,0,3]",3.000,0
"[4,3,7,9]",17.000,"[0,0,0,0]",19.000,"[0,0,0,2]",2.000,0
"[4,3,7,10]",19.000,"[0,0,0,0]",20.000,"[0,0,0,1]",1.000,0
"[4,3,7,11]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[4,3,7,12]",17.000,"[0,0,0,6]",22.000,"[0,0,0,11]",5.000,0
"[4,3,8,2]",9.000,"[0,0,2,0]",13.000,"[0,0,1,0]",4.000,0
"[4,3,8,3]",11.000,"[0,0,2,0]",14.000,"[0,0,1,0]",3.000,0
"[4,3,8,4]",9.000,"[0,0,2,2]",15.000,"[0,0,1,0]",6.000,0
"[4,3,8,5]",13.000,"[0,0,2,0]",16.000,"[0,0,1,0]",3.000,0
"[4,3,8,6]",12.000,"[0,0,1,1]",17.000,"[0,0,1,0]",5.000,0
"[4,3,8,7]",15.000,"[0,0,2,0]",18.000,"[0,0,1,0]",3.000,0
"[4,3,8,8]",9.000,"[0,0,2,2]",19.000,"[0,0,1,0]",10.000,0
"[4,3,8,9]",17.000,"[0,0,2,0]",20.000,"[0,0,1,0]",3.000,0
"[4,3,8,10]",17.000,"[0,0,2,0]",21.000,"[0,0,1,0]",4.000,0
"[4,3,8,11]",19.000,"[0,0,2,0]",22.000,"[0,0,1,0]",3.000,0
"[4,3,8,12]",15.000,"[0,0,0,4]",23.000,"[0,0,1,0]",8.000,0
"[4,3,9,2]",11.000,"[0,0,0,0]",14.000,"[0,0,2,1]",3.000,0
"[4,3,9,3]",11.000,"[0,0,0,0]",15.000,"[0,0,2,1]",4.000,0
"[4,3,9,4]",11.000,"[0,0,0,0]",16.000,"[0,0,2,1]",5.000,0
"[4,3,9,5]",15.000,"[0,0,0,0]",17.000,"[0,0,2,0]",2.000,0
"[4,3,9,6]",13.000,"[0,0,0,0]",18.000,"[0,0,2,1]",5.000,0
"[4,3,9,7]",17.000,"[0,0,0,0]",19.000,"[0,0,2,0]",2.000,0
"[4,3,9,8]",15.000,"[0,0,0,0]",20.000,"[0,0,2,1]",5.000,0
"[4,3,9,9]",11.000,"[0,0,0,0]",21.000,"[0,0,2,1]",10.000,0
"[4,3,9,10]",19.000,"[0,0,0,0]",22.000,"[0,0,2,1]",3.000,0
"[4,3,9,11]",21.000,"[0,0,0,0]",23.000,"[0,0,2,0]",2.000,0
"[4,3,9,12]",17.000,"[0,0,0,6]",24.000,"[0,0,2,1]",7.000,0
"[4,3,10,2]",13.000,"[0,0,0,0]",15.000,"[0,0,1,0]",2.000,0
"[4,3,10,3]",14.000,"[0,0,0,0]",16.000,"[0,0,1,2]",2.000,0
"[4,3,10,4]",13.000,"[0,0,0,2]",17.000,"[0,0,1,2]",4.000,0
"[4,3,10,5]",13.000,"[0,0,0,0]",18.000,"[0,0,1,0]",5.000,0
"[4,3,10,6]",15.000,"[0,0,0,2]",19.000,"[0,0,1,2]",4.000,0
"[4,3,10,7]",19.000,"[0,0,0,0]",20.000,"[0,0,1,0]",1.000,0
"[4,3,10,8]",17.000,"[0,0,0,2]",21.000,"[0,0,1,2]",4.000,0
"[4,3,10,9]",20.000,"[0,0,0,0]",22.000,"[0,0,1,2]",2.000,0
"[4,3,10,10]",13.000,"[0,0,0,0]",23.000,"[0,0,1,0]",10.000,0
"[4,3,10,11]",23.000,"[0,0,0,0]",24.000,"[0,0,1,0]",1.000,0
"[4,3,10,12]",19.000,"[0,0,0,8]",25.000,"[0,0,1,2]",6.000,0
"[4,3,11,2]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[4,3,11,3]",15.000,"[0,0,0,1]",17.000,"[0,0,0,0]",2.000,0
"[4,3,11,4]",15.000,"[0,0,0,0]",18.000,"[0,0,0,3]",3.000,0
"[4,3,11,5]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[4,3,11,6]",17.000,"[0,0,0,4]",20.000,"[0,0,0,3]",3.000,0
"[4,3,11,7]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[4,3,11,8]",19.000,"[0,0,0,0]",22.000,"[0,0,0,3]",3.000,0
"[4,3,11,9]",21.000,"[0,0,0,1]",23.000,"[0,0,0,0]",2.000,0
"[4,3,11,10]",23.000,"[0,0,0,0]",24.000,"[0,0,0,1]",1.000,0
"[4,3,11,11]",15.000,"[0,0,0,0]",25.000,"[0,0,0,10]",10.000,0
"[4,3,11,12]",21.000,"[0,0,0,10]",26.000,"[0,0,0,3]",5.000,0
"[4,3,12,2]",11.000,"[0,0,0,0]",17.000,"[0,0,5,0]",6.000,1
"[4,3,12,3]",11.000,"[0,0,0,0]",18.000,"[0,0,5,1]",7.000,1
"[4,3,12,4]",11.000,"[0,0,0,0]",19.000,"[0,0,5,0]",8.000,1
"[4,3,12,5]",15.000,"[0,0,0,0]",20.000,"[0,0,5,0]",5.000,0
"[4,3,12,6]",11.000,"[0,0,0,0]",21.000,"[0,0,5,4]",10.000,1
"[4,3,12,7]",17.000,"[0,0,0,0]",22.000,"[0,0,5,0]",5.000,0
"[4,3,12,8]",15.000,"[0,0,0,0]",23.000,"[0,0,5,0]",8.000,0
"[4,3,12,9]",17.000,"[0,0,0,0]",24.000,"[0,0,5,1]",7.000,0
"[4,3,12,10]",19.000,"[0,0,0,0]",25.000,"[0,0,5,0]",6.000,0
"[4,3,12,11]",21.000,"[0,0,0,0]",26.000,"[0,0,5,0]",5.000,0
"[4,3,12,12]",11.000,"[0,0,0,0]",27.000,"[0,0,5,4]",16.000,1
"[4,4,2,2]",3.000,"[0,0,0,0]",8.000,"[0,3,0,1]",5.000,1
"[4,4,2,3]",5.000,"[0,0,0,0]",9.000,"[0,3,0,0]",4.000,0
"[4,4,2,4]",3.000,"[0,0,0,0]",10.000,"[0,3,0,3]",7.000,1
"[4,4,2,5]",7.000,"[0,0,0,0]",11.000,"[0,3,0,0]",4.000,0
"[4,4,2,6]",7.000,"[0,0,0,0]",12.000,"[0,3,0,1]",5.000,0
"[4,4,2,7]",9.000,"[0,0,0,0]",13.000,"[0,3,0,0]",4.000,0
"[4,4,2,8]",7.000,"[0,0,0,0]",14.000,"[0,3,0,3]",7.000,1
"[4,4,2,9]",11.000,"[0,0,0,0]",15.000,"[0,3,0,0]",4.000,0
"[4,4,2,10]",11.000,"[0,0,0,0]",16.000,"[0,3,0,1]",5.000,0
"[4,4,2,11]",13.000,"[0,0,0,0]",17.000,"[0,3,0,0]",4.000,0
"[4,4,2,12]",11.000,"[0,0,0,0]",18.000,"[0,3,0,3]",7.000,1
"[4,4,3,2]",5.000,"[0,0,0,0]",9.000,"[0,3,0,0]",4.000,0
"[4,4,3,3]",5.000,"[0,0,0,0]",10.000,"[0,3,0,2]",5.000,0
"[4,4,3,4]",5.000,"[0,0,0,2]",11.000,"[0,3,0,0]",6.000,0
"[4,4,3,5]",9.000,"[0,0,0,0]",12.000,"[0,3,0,0]",3.000,0
"[4,4,3,6]",7.000,"[0,0,0,0]",13.000,"[0,3,0,2]",6.000,0
"[4,4,3,7]",11.000,"[0,0,0,0]",14.000,"[0,3,0,0]",3.000,0
"[4,4,3,8]",9.000,"[0,0,0,2]",15.000,"[0,3,0,0]",6.000,0
"[4,4,3,9]",11.000,"[0,0,0,0]",16.000,"[0,3,0,2]",5.000,0
"[4,4,3,10]",13.000,"[0,0,0,0]",17.000,"[0,3,0,0]",4.000,0
"[4,4,3,11]",15.000,"[0,0,0,0]",18.000,"[0,3,0,0]",3.000,0
"[4,4,3,12]",11.000,"[0,0,0,0]",19.000,"[0,3,0,8]",8.000,1
"[4,4,4,2]",3.000,"[0,0,0,0]",10.000,"[0,3,2,1]",7.000,1
"[4,4,4,3]",5.000,"[0,0,0,0]",11.000,"[0,3,2,0]",6.000,0
"[4,4,4,4]",3.000,"[0,0,0,0]",12.000,"[0,3,2,1]",9.000,1
"[4,4,4,5]",7.000,"[0,0,0,0]",13.000,"[0,3,2,0]",6.000,0
"[4,4,4,6]",7.000,"[0,0,0,0]",14.000,"[0,3,2,1]",7.000,0
"[4,4,4,7]",9.000,"[0,0,0,0]",15.000,"[0,3,2,0]",6.000,0
"[4,4,4,8]",7.000,"[0,0,0,0]",16.000,"[0,3,2,1]",9.000,1
"[4,4,4,9]",11.000,"[0,0,0,0]",17.000,"[0,3,2,0]",6.000,0
"[4,4,4,10]",11.000,"[0,0,0,0]",18.000,"[0,3,2,1]",7.000,0
"[4,4,4,11]",13.000,"[0,0,0,0]",19.000,"[0,3,2,0]",6.000,0
"[4,4,4,12]",11.000,"[0,0,0,0]",20.000,"[0,3,2,1]",9.000,1
"[4,4,5,2]",7.000,"[0,0,0,0]",11.000,"[0,3,0,0]",4.000,0
"[4,4,5,3]",9.000,"[0,0,0,0]",12.000,"[0,3,0,0]",3.000,0
"[4,4,5,4]",7.000,"[0,0,0,0]",13.000,"[0,3,0,2]",6.000,0
"[4,4,5,5]",7.000,"[0,0,0,0]",14.000,"[0,3,0,4]",7.000,0
"[4,4,5,6]",11.000,"[0,0,0,0]",15.000,"[0,3,0,0]",4.000,0
"[4,4,5,7]",13.000,"[0,0,0,0]",16.000,"[0,3,0,0]",3.000,0
"[4,4,5,8]",11.000,"[0,0,0,0]",17.000,"[0,3,0,2]",6.000,0
"[4,4,5,9]",15.000,"[0,0,0,0]",18.000,"[0,3,0,0]",3.000,0
"[4,4,5,10]",11.000,"[0,0,0,0]",19.000,"[0,3,0,4]",8.000,0
"[4,4,5,11]",17.000,"[0,0,0,0]",20.000,"[0,3,0,0]",3.000,0
"[4,4,5,12]",15.000,"[0,0,0,0]",21.000,"[0,3,0,2]",6.000,0
"[4,4,6,2]",7.000,"[0,0,0,0]",12.000,"[0,3,0,1]",5.000,0
"[4,4,6,3]",7.000,"[0,0,0,0]",13.000,"[0,3,0,2]",6.000,0
"[4,4,6,4]",7.000,"[0,0,0,0]",14.000,"[0,3,0,3]",7.000,0
"[4,4,6,5]",11.000,"[0,0,0,0]",15.000,"[0,3,0,0]",4.000,0
"[4,4,6,6]",7.000,"[0,0,0,0]",16.000,"[0,3,0,5]",9.000,0
"[4,4,6,7]",13.000,"[0,0,0,0]",17.000,"[0,3,0,0]",4.000,0
"[4,4,6,8]",11.000,"[0,0,0,0]",18.000,"[0,3,0,3]",7.000,0
"[4,4,6,9]",13.000,"[0,0,0,0]",19.000,"[0,3,0,2]",6.000,0
"[4,4,6,10]",15.000,"[0,0,0,0]",20.000,"[0,3,0,1]",5.000,0
"[4,4,6,11]",17.000,"[0,0,0,0]",21.000,"[0,3,0,0]",4.000,0
"[4,4,6,12]",11.000,"[0,0,0,0]",22.000,"[0,3,0,11]",11.000,1
"[4,4,7,2]",9.000,"[0,0,0,0]",13.000,"[0,3,0,0]",4.000,0
"[4,4,7,3]",11.000,"[0,0,0,0]",14.000,"[0,3,0,0]",3.000,0
"[4,4,7,4]",9.000,"[0,0,0,2]",15.000,"[0,3,0,0]",6.000,0
"[4,4,7,5]",13.000,"[0,0,0,0]",16.000,"[0,3,0,0]",3.000,0
"[4,4,7,6]",13.000,"[0,0,0,0]",17.000,"[0,3,0,0]",4.000,0
"[4,4,7,7]",9.000,"[0,0,0,0]",18.000,"[0,3,0,6]",9.000,0
"[4,4,7,8]",13.000,"[0,0,0,2]",19.000,"[0,3,0,0]",6.000,0
"[4,4,7,9]",17.000,"[0,0,0,0]",20.000,"[0,3,0,0]",3.000,0
"[4,4,7,10]",17.000,"[0,0,0,0]",21.000,"[0,3,0,0]",4.000,0
"[4,4,7,11]",19.000,"[0,0,0,0]",22.000,"[0,3,0,0]",3.000,0
"[4,4,7,12]",17.000,"[0,0,0,2]",23.000,"[0,3,0,0]",6.000,0
"[4,4,8,2]",7.000,"[0,0,0,0]",14.000,"[0,3,2,1]",7.000,1
"[4,4,8,3]",9.000,"[0,0,0,0]",15.000,"[0,3,2,0]",6.000,0
"[4,4,8,4]",7.000,"[0,0,0,0]",16.000,"[0,3,2,1]",9.000,1
"[4,4,8,5]",11.000,"[0,0,0,0]",17.000,"[0,3,2,0]",6.000,0
"[4,4,8,6]",11.000,"[0,0,0,0]",18.000,"[0,3,2,1]",7.000,0
"[4,4,8,7]",13.000,"[0,0,0,0]",19.000,"[0,3,2,0]",6.000,0
"[4,4,8,8]",7.000,"[0,0,0,0]",20.000,"[0,3,2,1]",13.000,1
"[4,4,8,9]",15.000,"[0,0,0,0]",21.000,"[0,3,2,0]",6.000,0
"[4,4,8,10]",15.000,"[0,0,0,0]",22.000,"[0,3,2,1]",7.000,0
"[4,4,8,11]",17.000,"[0,0,0,0]",23.000,"[0,3,2,0]",6.000,0
"[4,4,8,12]",15.000,"[0,0,0,0]",24.000,"[0,3,2,1]",9.000,0
"[4,4,9,2]",11.000,"[0,0,0,0]",15.000,"[0,3,0,0]",4.000,0
"[4,4,9,3]",11.000,"[0,0,0,0]",16.000,"[0,3,0,2]",5.000,0
"[4,4,9,4]",11.000,"[0,0,0,0]",17.000,"[0,3,0,2]",6.000,0
"[4,4,9,5]",15.000,"[0,0,0,0]",18.000,"[0,3,0,0]",3.000,0
"[4,4,9,6]",13.000,"[0,0,0,0]",19.000,"[0,3,0,2]",6.000,0
"[4,4,9,7]",17.000,"[0,0,0,0]",20.000,"[0,3,0,0]",3.000,0
"[4,4,9,8]",15.000,"[0,0,0,0]",21.000,"[0,3,0,2]",6.000,0
"[4,4,9,9]",11.000,"[0,0,0,0]",22.000,"[0,3,0,8]",11.000,0
"[4,4,9,10]",19.000,"[0,0,0,0]",23.000,"[0,3,0,0]",4.000,0
"[4,4,9,11]",21.000,"[0,0,0,0]",24.000,"[0,3,0,0]",3.000,0
"[4,4,9,12]",17.000,"[0,0,0,6]",25.000,"[0,3,0,2]",8.000,0
"[4,4,10,2]",11.000,"[0,0,0,0]",16.000,"[0,3,0,1]",5.000,0
"[4,4,10,3]",13.000,"[0,0,0,0]",17.000,"[0,3,0,0]",4.000,0
"[4,4,10,4]",11.000,"[0,0,0,0]",18.000,"[0,3,0,3]",7.000,0
"[4,4,10,5]",11.000,"[0,0,0,0]",19.000,"[0,3,0,4]",8.000,0
"[4,4,10,6]",15.000,"[0,0,0,0]",20.000,"[0,3,0,1]",5.000,0
"[4,4,10,7]",17.000,"[0,0,0,0]",21.000,"[0,3,0,0]",4.000,0
"[4,4,10,8]",15.000,"[0,0,0,0]",22.000,"[0,3,0,3]",7.000,0
"[4,4,10,9]",19.000,"[0,0,0,0]",23.000,"[0,3,0,0]",4.000,0
"[4,4,10,10]",11.000,"[0,0,0,0]",24.000,"[0,3,0,9]",13.000,0
"[4,4,10,11]",21.000,"[0,0,0,0]",25.000,"[0,3,0,0]",4.000,0
"[4,4,10,12]",19.000,"[0,0,0,0]",26.000,"[0,3,0,3]",7.000,0
"[4,4,11,2]",13.000,"[0,0,0,0]",17.000,"[0,3,0,0]",4.000,0
"[4,4,11,3]",15.000,"[0,0,0,0]",18.000,"[0,3,0,0]",3.000,0
"[4,4,11,4]",13.000,"[0,0,0,2]",19.000,"[0,3,0,0]",6.000,0
"[4,4,11,5]",17.000,"[0,0,0,0]",20.000,"[0,3,0,0]",3.000,0
"[4,4,11,6]",17.000,"[0,0,0,0]",21.000,"[0,3,0,0]",4.000,0
"[4,4,11,7]",19.000,"[0,0,0,0]",22.000,"[0,3,0,0]",3.000,0
"[4,4,11,8]",17.000,"[0,0,0,2]",23.000,"[0,3,0,0]",6.000,0
"[4,4,11,9]",21.000,"[0,0,0,0]",24.000,"[0,3,0,0]",3.000,0
"[4,4,11,10]",21.000,"[0,0,0,0]",25.000,"[0,3,0,0]",4.000,0
"[4,4,11,11]",13.000,"[0,0,0,0]",26.000,"[0,3,0,10]",13.000,0
"[4,4,11,12]",21.000,"[0,0,0,2]",27.000,"[0,3,0,0]",6.000,0
"[4,4,12,2]",11.000,"[0,0,0,0]",18.000,"[0,3,2,1]",7.000,1
"[4,4,12,3]",11.000,"[0,0,0,0]",19.000,"[0,3,2,1]",8.000,1
"[4,4,12,4]",11.000,"[0,0,0,0]",20.000,"[0,3,2,1]",9.000,1
"[4,4,12,5]",15.000,"[0,0,0,0]",21.000,"[0,3,2,0]",6.000,0
"[4,4,12,6]",11.000,"[0,0,0,0]",22.000,"[0,3,2,1]",11.000,1
"[4,4,12,7]",17.000,"[0,0,0,0]",23.000,"[0,3,2,0]",6.000,0
"[4,4,12,8]",15.000,"[0,0,0,0]",24.000,"[0,3,2,1]",9.000,0
"[4,4,12,9]",17.000,"[0,0,0,0]",25.000,"[0,3,2,1]",8.000,0
"[4,4,12,10]",19.000,"[0,0,0,0]",26.000,"[0,3,2,1]",7.000,0
"[4,4,12,11]",21.000,"[0,0,0,0]",27.000,"[0,3,2,0]",6.000,0
"[4,4,12,12]",11.000,"[0,0,0,0]",28.000,"[0,3,2,1]",17.000,1
"[4,5,2,2]",7.000,"[0,0,0,0]",9.000,"[0,0,1,0]",2.000,0
"[4,5,2,3]",9.000,"[0,0,0,0]",10.000,"[0,0,1,0]",1.000,0
"[4,5,2,4]",7.000,"[0,0,0,0]",11.000,"[0,0,1,0]",4.000,0
"[4,5,2,5]",8.000,"[0,0,0,1]",12.000,"[0,0,1,0]",4.000,0
"[4,5,2,6]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[4,5,2,7]",13.000,"[0,0,0,0]",14.000,"[0,0,1,0]",1.000,0
"[4,5,2,8]",11.000,"[0,0,0,0]",15.000,"[0,0,1,0]",4.000,0
"[4,5,2,9]",15.000,"[0,0,0,0]",16.000,"[0,0,1,0]",1.000,0
"[4,5,2,10]",11.000,"[0,0,0,0]",17.000,"[0,0,1,0]",6.000,0
"[4,5,2,11]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[4,5,2,12]",15.000,"[0,0,0,0]",19.000,"[0,0,1,0]",4.000,0
"[4,5,3,2]",9.000,"[0,0,0,0]",10.000,"[0,0,0,1]",1.000,0
"[4,5,3,3]",9.000,"[0,0,0,0]",11.000,"[0,0,0,2]",2.000,0
"[4,5,3,4]",9.000,"[0,0,0,2]",12.000,"[0,0,0,1]",3.000,0
"[4,5,3,5]",9.000,"[0,0,0,2]",13.000,"[0,0,0,1]",4.000,0
"[4,5,3,6]",11.000,"[0,0,0,0]",14.000,"[0,0,0,5]",3.000,0
"[4,5,3,7]",15.000,"[0,0,0,0]",15.000,"[0,0,0,0]",0.000,0
"[4,5,3,8]",13.000,"[0,0,0,2]",16.000,"[0,0,0,1]",3.000,0
"[4,5,3,9]",15.000,"[0,0,0,0]",17.000,"[0,0,0,2]",2.000,0
"[4,5,3,10]",13.000,"[0,0,0,2]",18.000,"[0,0,0,1]",5.000,0
"[4,5,3,11]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[4,5,3,12]",15.000,"[0,0,0,0]",20.000,"[0,0,0,5]",5.000,0
"[4,5,4,2]",7.000,"[0,0,0,0]",11.000,"[0,0,3,0]",4.000,0
"[4,5,4,3]",9.000,"[0,0,0,0]",12.000,"[0,0,3,0]",3.000,0
"[4,5,4,4]",7.000,"[0,0,0,0]",13.000,"[0,0,3,2]",6.000,0
"[4,5,4,5]",10.000,"[0,0,0,3]",14.000,"[0,0,3,2]",4.000,0
"[4,5,4,6]",11.000,"[0,0,0,0]",15.000,"[0,0,3,0]",4.000,0
"[4,5,4,7]",13.000,"[0,0,0,0]",16.000,"[0,0,3,0]",3.000,0
"[4,5,4,8]",11.000,"[0,0,0,0]",17.000,"[0,0,3,2]",6.000,0
"[4,5,4,9]",15.000,"[0,0,0,0]",18.000,"[0,0,3,0]",3.000,0
"[4,5,4,10]",13.000,"[0,0,0,2]",19.000,"[0,0,3,2]",6.000,0
"[4,5,4,11]",17.000,"[0,0,0,0]",20.000,"[0,0,3,0]",3.000,0
"[4,5,4,12]",15.000,"[0,0,0,0]",21.000,"[0,0,3,2]",6.000,0
"[4,5,5,2]",7.000,"[0,0,0,0]",12.000,"[0,0,4,1]",5.000,0
"[4,5,5,3]",9.000,"[0,0,0,0]",13.000,"[0,0,4,0]",4.000,0
"[4,5,5,4]",7.000,"[0,0,0,0]",14.000,"[0,0,4,3]",7.000,0
"[4,5,5,5]",7.000,"[0,0,0,0]",15.000,"[0,0,4,3]",8.000,0
"[4,5,5,6]",11.000,"[0,0,0,0]",16.000,"[0,0,4,1]",5.000,0
"[4,5,5,7]",13.000,"[0,0,0,0]",17.000,"[0,0,4,0]",4.000,0
"[4,5,5,8]",11.000,"[0,0,0,0]",18.000,"[0,0,4,3]",7.000,0
"[4,5,5,9]",15.000,"[0,0,0,0]",19.000,"[0,0,4,0]",4.000,0
"[4,5,5,10]",11.000,"[0,0,0,0]",20.000,"[0,0,4,3]",9.000,0
"[4,5,5,11]",17.000,"[0,0,0,0]",21.000,"[0,0,4,0]",4.000,0
"[4,5,5,12]",15.000,"[0,0,0,0]",22.000,"[0,0,4,3]",7.000,0
"[4,5,6,2]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[4,5,6,3]",11.000,"[0,0,0,0]",14.000,"[0,0,1,0]",3.000,0
"[4,5,6,4]",11.000,"[0,0,0,0]",15.000,"[0,0,1,0]",4.000,0
"[4,5,6,5]",12.000,"[0,0,0,0]",16.000,"[0,0,1,4]",4.000,0
"[4,5,6,6]",11.000,"[0,0,0,0]",17.000,"[0,0,1,0]",6.000,0
"[4,5,6,7]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[4,5,6,8]",15.000,"[0,0,0,0]",19.000,"[0,0,1,0]",4.000,0
"[4,5,6,9]",17.000,"[0,0,0,0]",20.000,"[0,0,1,0]",3.000,0
"[4,5,6,10]",15.000,"[0,0,0,4]",21.000,"[0,0,1,4]",6.000,0
"[4,5,6,11]",21.000,"[0,0,0,0]",22.000,"[0,0,1,0]",1.000,0
"[4,5,6,12]",15.000,"[0,0,0,0]",23.000,"[0,0,1,0]",8.000,0
"[4,5,7,2]",13.000,"[0,0,0,0]",14.000,"[0,0,0,1]",1.000,0
"[4,5,7,3]",15.000,"[0,0,0,0]",15.000,"[0,0,0,0]",0.000,0
"[4,5,7,4]",13.000,"[0,0,0,2]",16.000,"[0,0,0,1]",3.000,0
"[4,5,7,5]",13.000,"[0,0,0,1]",17.000,"[0,0,0,0]",4.000,0
"[4,5,7,6]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[4,5,7,7]",13.000,"[0,0,0,0]",19.000,"[0,0,0,6]",6.000,0
"[4,5,7,8]",17.000,"[0,0,0,2]",20.000,"[0,0,0,1]",3.000,0
"[4,5,7,9]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[4,5,7,10]",17.000,"[0,0,0,6]",22.000,"[0,0,0,5]",5.000,0
"[4,5,7,11]",23.000,"[0,0,0,0]",23.000,"[0,0,0,0]",0.000,0
"[4,5,7,12]",21.000,"[0,0,0,2]",24.000,"[0,0,0,1]",3.000,0
"[4,5,8,2]",11.000,"[0,0,0,0]",15.000,"[0,0,3,0]",4.000,0
"[4,5,8,3]",13.000,"[0,0,0,0]",16.000,"[0,0,3,0]",3.000,0
"[4,5,8,4]",11.000,"[0,0,0,0]",17.000,"[0,0,3,2]",6.000,0
"[4,5,8,5]",14.000,"[0,0,0,2]",18.000,"[0,0,3,1]",4.000,0
"[4,5,8,6]",15.000,"[0,0,0,0]",19.000,"[0,0,3,0]",4.000,0
"[4,5,8,7]",17.000,"[0,0,0,0]",20.000,"[0,0,3,0]",3.000,0
"[4,5,8,8]",11.000,"[0,0,0,0]",21.000,"[0,0,3,2]",10.000,0
"[4,5,8,9]",19.000,"[0,0,0,0]",22.000,"[0,0,3,0]",3.000,0
"[4,5,8,10]",17.000,"[0,0,0,6]",23.000,"[0,0,3,6]",6.000,0
"[4,5,8,11]",21.000,"[0,0,0,0]",24.000,"[0,0,3,0]",3.000,0
"[4,5,8,12]",19.000,"[0,0,0,0]",25.000,"[0,0,3,2]",6.000,0
"[4,5,9,2]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[4,5,9,3]",15.000,"[0,0,0,0]",17.000,"[0,0,0,2]",2.000,0
"[4,5,9,4]",15.000,"[0,0,0,0]",18.000,"[0,0,0,3]",3.000,0
"[4,5,9,5]",15.000,"[0,0,0,3]",19.000,"[0,0,0,2]",4.000,0
"[4,5,9,6]",17.000,"[0,0,0,0]",20.000,"[0,0,0,5]",3.000,0
"[4,5,9,7]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[4,5,9,8]",19.000,"[0,0,0,0]",22.000,"[0,0,0,3]",3.000,0
"[4,5,9,9]",15.000,"[0,0,0,0]",23.000,"[0,0,0,8]",8.000,0
"[4,5,9,10]",19.000,"[0,0,0,8]",24.000,"[0,0,0,7]",5.000,0
"[4,5,9,11]",25.000,"[0,0,0,0]",25.000,"[0,0,0,0]",0.000,0
"[4,5,9,12]",21.000,"[0,0,0,6]",26.000,"[0,0,0,11]",5.000,0
"[4,5,10,2]",11.000,"[0,0,0,0]",17.000,"[0,0,9,0]",6.000,0
"[4,5,10,3]",13.000,"[0,0,0,0]",18.000,"[0,0,9,0]",5.000,0
"[4,5,10,4]",11.000,"[0,0,0,0]",19.000,"[0,0,9,0]",8.000,0
"[4,5,10,5]",11.000,"[0,0,0,0]",20.000,"[0,0,9,3]",9.000,0
"[4,5,10,6]",15.000,"[0,0,0,0]",21.000,"[0,0,9,0]",6.000,0
"[4,5,10,7]",17.000,"[0,0,0,0]",22.000,"[0,0,9,0]",5.000,0
"[4,5,10,8]",15.000,"[0,0,0,0]",23.000,"[0,0,9,0]",8.000,0
"[4,5,10,9]",19.000,"[0,0,0,0]",24.000,"[0,0,9,0]",5.000,0
"[4,5,10,10]",11.000,"[0,0,0,0]",25.000,"[0,0,9,8]",14.000,0
"[4,5,10,11]",21.000,"[0,0,0,0]",26.000,"[0,0,9,0]",5.000,0
"[4,5,10,12]",19.000,"[0,0,0,0]",27.000,"[0,0,9,0]",8.000,0
"[4,5,11,2]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[4,5,11,3]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[4,5,11,4]",17.000,"[0,0,0,2]",20.000,"[0,0,0,1]",3.000,0
"[4,5,11,5]",17.000,"[0,0,0,0]",21.000,"[0,0,0,4]",4.000,0
"[4,5,11,6]",21.000,"[0,0,0,0]",22.000,"[0,0,0,1]",1.000,0
"[4,5,11,7]",23.000,"[0,0,0,0]",23.000,"[0,0,0,0]",0.000,0
"[4,5,11,8]",21.000,"[0,0,0,2]",24.000,"[0,0,0,1]",3.000,0
"[4,5,11,9]",25.000,"[0,0,0,0]",25.000,"[0,0,0,0]",0.000,0
"[4,5,11,10]",21.000,"[0,0,0,0]",26.000,"[0,0,0,9]",5.000,0
