periods,seeds,zero_jitter,best_latency,"(latency, count)",sum_period,diff,sum_execution_time,max_diff_sync_LF,max_sync_original_LF,max_sync_zero_jitter_LF,max_offset_LF_read,max_offset_LF_write,min_diff_sync_LF,min_sync_original_LF,min_sync_zero_jitter_LF,min_offset_LF_read,min_offset_LF_write,max_diff_sync_FF,max_sync_original_FF,max_sync_zero_jitter_FF,max_offset_FF_read,max_offset_FF_write,min_diff_sync_FF,min_sync_original_FF,min_sync_zero_jitter_FF,min_offset_FF_read,min_offset_FF_write,max_diff_sync_LL,max_sync_original_LL,max_sync_zero_jitter_LL,max_offset_LL_read,max_offset_LL_write,min_diff_sync_LL,min_sync_original_LL,min_sync_zero_jitter_LL,min_offset_LL_read,min_offset_LL_write,max_diff_sync_FL,max_sync_original_FL,max_sync_zero_jitter_FL,max_offset_FL_read,max_offset_FL_write,min_diff_sync_FL,min_sync_original_FL,min_sync_zero_jitter_FL,min_offset_FL_read,min_offset_FL_write
"[3, 3, 3]",1770201401,7,7,"[(7, 2)]",9,"[-2, -2]",3,0,"[4, 7, 7, 10]","[4, 7, 7, 10]","[0, 0, 0]","[1, 1, 1]",0,"[4, 7, 7, 10]","[4, 7, 7, 10]","[0, 0, 0]","[1, 1, 1]",0,"[4, 7, 7, 10]","[4, 7, 7, 10]","[0, 0, 0]","[1, 1, 1]",0,"[4, 7, 7, 10]","[4, 7, 7, 10]","[0, 0, 0]","[1, 1, 1]",0,"[4, 7, 7, 10]","[4, 7, 7, 10]","[0, 0, 0]","[1, 1, 1]",0,"[4, 7, 7, 10]","[4, 7, 7, 10]","[0, 0, 0]","[1, 1, 1]",0,"[4, 7, 7, 10]","[4, 7, 7, 10]","[0, 0, 0]","[1, 1, 1]",0,"[4, 7, 7, 10]","[4, 7, 7, 10]","[0, 0, 0]","[1, 1, 1]"
"[3, 3, 4]",1770201401,7,7,"[(7, 2)]",10,"[-3, -3]",3,0,"[4, 8, 8, 11]","[4, 8, 8, 12]","[0, 0, 1]","[1, 1, 2]",-1,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 0, 0]","[1, 1, 1]",1,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 3]","[1, 1, 4]",0,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 0, 0]","[1, 1, 1]",1,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 3]","[1, 1, 4]",0,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 0, 0]","[1, 1, 1]",2,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 3]","[1, 1, 4]",0,"[4, 8, 8, 12]","[4, 8, 8, 12]","[0, 0, 2]","[1, 1, 3]"
"[3, 4, 3]",1770201401,7,7,"[(7, 2)]",10,"[-3, -3]",3,2,"[2, 5, 5, 8]","[4, 8, 8, 12]","[0, 0, 1]","[1, 1, 2]",-1,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 1]","[1, 2, 2]",3,"[2, 5, 5, 8]","[4, 8, 8, 12]","[0, 0, 1]","[1, 1, 2]",0,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 1]","[1, 2, 2]",3,"[2, 5, 5, 8]","[4, 8, 8, 12]","[0, 0, 1]","[1, 1, 2]",0,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 1]","[1, 2, 2]",4,"[2, 5, 5, 8]","[4, 8, 8, 12]","[0, 0, 1]","[1, 1, 2]",0,"[3, 6, 6, 12]","[4, 8, 8, 12]","[0, 3, 2]","[1, 4, 3]"
"[3, 4, 4]",1770201401,8,8,"[(8, 2)]",11,"[-3, -3]",3,0,"[5, 8, 8, 11]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]",-1,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 0]","[1, 2, 1]",1,"[5, 8, 8, 11]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]",0,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 0]","[1, 2, 1]",1,"[5, 8, 8, 11]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]",0,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 0]","[1, 2, 1]",2,"[5, 8, 8, 11]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]",0,"[2, 6, 6, 10]","[2, 6, 6, 10]","[0, 3, 0]","[1, 4, 1]"
"[4, 3, 3]",1770201401,7,7,"[(7, 2)]",10,"[-3, -3]",3,0,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 0]","[1, 1, 1]",0,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 0]","[1, 1, 1]",1,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 0]","[1, 1, 1]",0,"[3, 7, 7, 10]","[3, 7, 7, 11]","[0, 1, 0]","[1, 2, 1]",1,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 0]","[1, 1, 1]",0,"[3, 7, 7, 10]","[3, 7, 7, 11]","[0, 1, 0]","[1, 2, 1]",2,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 0]","[1, 1, 1]",0,"[2, 6, 6, 10]","[2, 6, 6, 10]","[0, 2, 0]","[1, 3, 1]"
"[4, 3, 4]",1770201401,5,5,"[(5, 2)]",11,"[-6, -6]",3,4,"[1, 5, 5, 9]","[5, 9, 9, 13]","[0, 0, 3]","[1, 1, 4]",0,"[2, 6, 6, 10]","[2, 6, 6, 10]","[0, 0, 0]","[1, 1, 1]",4,"[1, 5, 5, 9]","[5, 9, 9, 13]","[0, 0, 3]","[1, 1, 4]",0,"[2, 6, 6, 10]","[2, 6, 6, 10]","[0, 0, 0]","[1, 1, 1]",4,"[1, 5, 5, 9]","[5, 9, 9, 13]","[0, 0, 3]","[1, 1, 4]",0,"[2, 6, 6, 10]","[2, 6, 6, 10]","[0, 0, 0]","[1, 1, 1]",4,"[1, 5, 5, 9]","[5, 9, 9, 13]","[0, 0, 3]","[1, 1, 4]",0,"[2, 6, 6, 10]","[2, 6, 6, 10]","[0, 0, 0]","[1, 1, 1]"
"[4, 4, 3]",1770201401,8,8,"[(8, 2)]",11,"[-3, -3]",3,0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]",1,"[5, 8, 8, 11]","[5, 9, 9, 13]","[0, 0, 1]","[1, 1, 2]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]",1,"[5, 8, 8, 11]","[5, 9, 9, 13]","[0, 0, 1]","[1, 1, 2]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]",2,"[5, 8, 8, 11]","[5, 9, 9, 13]","[0, 0, 1]","[1, 1, 2]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0]","[1, 1, 1]"
"[4, 4, 4]",1770201401,9,9,"[(9, 2)]",12,"[-3, -3]",3,0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0]","[1, 1, 1]"
