periods,seeds,zero_jitter,best_latency,"(latency, count)",best_merge_pairsum_period,sum_execution_time,max_diff_sync_LF,max_sync_original_LF,max_sync_zero_jitter_LF,max_offset_LF_read,max_offset_LF_write,min_diff_sync_LF,min_sync_original_LF,min_sync_zero_jitter_LF,min_offset_LF_read,min_offset_LF_write,max_diff_sync_FF,max_sync_original_FF,max_sync_zero_jitter_FF,max_offset_FF_read,max_offset_FF_write,min_diff_sync_FF,min_sync_original_FF,min_sync_zero_jitter_FF,min_offset_FF_read,min_offset_FF_write,max_diff_sync_LL,max_sync_original_LL,max_sync_zero_jitter_LL,max_offset_LL_read,max_offset_LL_write,min_diff_sync_LL,min_sync_original_LL,min_sync_zero_jitter_LL,min_offset_LL_read,min_offset_LL_write,max_diff_sync_FL,max_sync_original_FL,max_sync_zero_jitter_FL,max_offset_FL_read,max_offset_FL_write,min_diff_sync_FL,min_sync_original_FL,min_sync_zero_jitter_FL,min_offset_FL_read,min_offset_FL_write
"[3, 4, 5]",1770991205,8,8,"[(8, 2)]",((0_1)_2),12,3,0,"[5, 10, 10, 15]","[5, 10, 10, 15]","[0, 0, 1]","[1, 1, 2]",-2,"[7, 10, 10, 14]","[5, 10, 10, 15]","[0, 1, 1]","[1, 2, 2]",1,"[5, 9, 9, 14]","[5, 10, 10, 15]","[0, 0, 4]","[1, 1, 5]",0,"[6, 10, 10, 15]","[5, 10, 10, 15]","[0, 0, 0]","[1, 1, 1]",1,"[5, 9, 9, 14]","[5, 10, 10, 15]","[0, 0, 4]","[1, 1, 5]",0,"[6, 10, 10, 15]","[5, 10, 10, 15]","[0, 0, 0]","[1, 1, 1]",1,"[5, 9, 9, 14]","[5, 10, 10, 15]","[0, 0, 4]","[1, 1, 5]",0,"[6, 10, 10, 15]","[5, 10, 10, 15]","[0, 0, 0]","[1, 1, 1]"
"[3, 4, 6]",1770991205,8,7,"[(7, 1), (8, 1)]",(0_(1_2)),13,3,0,"[2, 8, 8, 11]","[2, 8, 8, 14]","[0, 0, 1]","[1, 1, 2]",-3,"[7, 10, 10, 13]","[4, 10, 10, 16]","[0, 0, 0]","[1, 1, 1]",3,"[4, 7, 7, 10]","[4, 10, 10, 16]","[0, 0, 3]","[1, 1, 4]",0,"[7, 10, 10, 13]","[4, 10, 10, 16]","[0, 0, 0]","[1, 1, 1]",3,"[4, 7, 7, 10]","[4, 10, 10, 16]","[0, 0, 3]","[1, 1, 4]",0,"[7, 10, 10, 13]","[4, 10, 10, 16]","[0, 0, 0]","[1, 1, 1]",6,"[4, 7, 7, 10]","[4, 10, 10, 16]","[0, 0, 3]","[1, 1, 4]",0,"[5, 8, 8, 14]","[2, 8, 8, 14]","[0, 1, 4]","[1, 2, 5]"
"[3, 4, 7]",1770991205,8,8,"[(8, 2)]",((0_1)_2),14,3,0,"[5, 12, 12, 19]","[5, 12, 12, 19]","[0, 0, 1]","[1, 1, 2]",-4,"[9, 12, 12, 18]","[5, 12, 12, 19]","[0, 1, 1]","[1, 2, 2]",1,"[5, 11, 11, 18]","[5, 12, 12, 19]","[0, 0, 4]","[1, 1, 5]",0,"[8, 12, 12, 19]","[5, 12, 12, 19]","[0, 0, 0]","[1, 1, 1]",1,"[5, 11, 11, 18]","[5, 12, 12, 19]","[0, 0, 4]","[1, 1, 5]",0,"[8, 12, 12, 19]","[5, 12, 12, 19]","[0, 0, 0]","[1, 1, 1]",1,"[5, 11, 11, 18]","[5, 12, 12, 19]","[0, 0, 4]","[1, 1, 5]",0,"[8, 12, 12, 19]","[5, 12, 12, 19]","[0, 0, 0]","[1, 1, 1]"
"[3, 4, 8]",1770991205,8,8,"[(8, 2)]",((0_1)_2),15,3,0,"[2, 9, 9, 17]","[2, 10, 10, 18]","[0, 0, 1]","[1, 1, 2]",-5,"[9, 12, 12, 19]","[4, 12, 12, 20]","[0, 1, 0]","[1, 2, 1]",1,"[2, 9, 9, 17]","[2, 10, 10, 18]","[0, 0, 1]","[1, 1, 2]",0,"[9, 13, 13, 21]","[5, 13, 13, 21]","[0, 0, 0]","[1, 1, 1]",1,"[2, 9, 9, 17]","[2, 10, 10, 18]","[0, 0, 1]","[1, 1, 2]",0,"[9, 13, 13, 21]","[5, 13, 13, 21]","[0, 0, 0]","[1, 1, 1]",2,"[2, 10, 10, 16]","[2, 10, 10, 18]","[0, 3, 0]","[1, 4, 1]",0,"[9, 13, 13, 21]","[5, 13, 13, 21]","[0, 0, 0]","[1, 1, 1]"
"[3, 4, 9]",1770991205,8,7,"[(7, 1), (8, 1)]",(0_(1_2)),16,3,0,"[5, 14, 14, 20]","[5, 14, 14, 23]","[0, 0, 1]","[1, 1, 2]",-6,"[10, 13, 13, 22]","[4, 13, 13, 22]","[0, 0, 0]","[1, 1, 1]",3,"[5, 11, 11, 20]","[5, 14, 14, 23]","[0, 0, 4]","[1, 1, 5]",0,"[10, 13, 13, 22]","[4, 13, 13, 22]","[0, 0, 0]","[1, 1, 1]",3,"[5, 11, 11, 20]","[5, 14, 14, 23]","[0, 0, 4]","[1, 1, 5]",0,"[10, 13, 13, 22]","[4, 13, 13, 22]","[0, 0, 0]","[1, 1, 1]",3,"[5, 14, 14, 20]","[5, 14, 14, 23]","[0, 0, 1]","[1, 1, 2]",0,"[10, 13, 13, 22]","[4, 13, 13, 22]","[0, 0, 0]","[1, 1, 1]"
"[3, 4, 10]",1770991205,8,8,"[(8, 2)]",((0_1)_2),17,3,0,"[4, 14, 14, 23]","[4, 14, 14, 24]","[0, 0, 1]","[1, 1, 2]",-7,"[11, 14, 14, 23]","[4, 14, 14, 24]","[0, 1, 0]","[1, 2, 1]",1,"[4, 13, 13, 23]","[4, 14, 14, 24]","[0, 0, 3]","[1, 1, 4]",0,"[11, 15, 15, 25]","[5, 15, 15, 25]","[0, 0, 0]","[1, 1, 1]",1,"[4, 13, 13, 23]","[4, 14, 14, 24]","[0, 0, 3]","[1, 1, 4]",0,"[11, 15, 15, 25]","[5, 15, 15, 25]","[0, 0, 0]","[1, 1, 1]",1,"[4, 14, 14, 23]","[4, 14, 14, 24]","[0, 0, 1]","[1, 1, 2]",0,"[11, 15, 15, 25]","[5, 15, 15, 25]","[0, 0, 0]","[1, 1, 1]"
"[3, 5, 3]",1770991205,7,7,"[(7, 2)]",((0_1)_2),11,3,2,"[2, 8, 8, 11]","[4, 9, 9, 14]","[0, 0, 1]","[1, 1, 2]",-2,"[6, 9, 9, 12]","[4, 9, 9, 14]","[0, 2, 2]","[1, 3, 3]",3,"[3, 6, 6, 12]","[4, 9, 9, 14]","[0, 0, 2]","[1, 1, 3]",0,"[3, 9, 9, 12]","[4, 9, 9, 14]","[0, 1, 2]","[1, 2, 3]",3,"[3, 6, 6, 12]","[4, 9, 9, 14]","[0, 0, 2]","[1, 1, 3]",0,"[3, 9, 9, 12]","[4, 9, 9, 14]","[0, 1, 2]","[1, 2, 3]",4,"[4, 7, 7, 10]","[4, 9, 9, 14]","[0, 4, 0]","[1, 5, 1]",0,"[5, 8, 8, 14]","[4, 9, 9, 14]","[0, 1, 1]","[1, 2, 2]"
"[3, 5, 4]",1770991205,8,8,"[(8, 2)]",((0_1)_2),12,3,0,"[5, 10, 10, 15]","[5, 10, 10, 15]","[0, 0, 0]","[1, 1, 1]",-2,"[7, 10, 10, 15]","[5, 10, 10, 15]","[0, 2, 2]","[1, 3, 3]",1,"[5, 9, 9, 15]","[5, 10, 10, 15]","[0, 0, 1]","[1, 1, 2]",0,"[5, 10, 10, 15]","[5, 10, 10, 15]","[0, 0, 0]","[1, 1, 1]",1,"[5, 9, 9, 15]","[5, 10, 10, 15]","[0, 0, 1]","[1, 1, 2]",0,"[5, 10, 10, 15]","[5, 10, 10, 15]","[0, 0, 0]","[1, 1, 1]",1,"[5, 10, 10, 14]","[5, 10, 10, 15]","[0, 0, 2]","[1, 1, 3]",0,"[5, 10, 10, 15]","[5, 10, 10, 15]","[0, 0, 0]","[1, 1, 1]"
"[3, 5, 5]",1770991205,9,9,"[(9, 2)]",((0_1)_2),13,3,0,"[6, 10, 10, 15]","[6, 11, 11, 16]","[0, 0, 0]","[1, 1, 1]",-2,"[6, 9, 9, 13]","[4, 9, 9, 14]","[0, 2, 0]","[1, 3, 1]",1,"[6, 10, 10, 15]","[6, 11, 11, 16]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 15]","[5, 10, 10, 15]","[0, 1, 0]","[1, 2, 1]",1,"[6, 10, 10, 15]","[6, 11, 11, 16]","[0, 0, 0]","[1, 1, 1]",0,"[6, 10, 10, 15]","[5, 10, 10, 15]","[0, 1, 0]","[1, 2, 1]",2,"[2, 7, 7, 10]","[2, 7, 7, 12]","[0, 4, 0]","[1, 5, 1]",0,"[6, 10, 10, 15]","[5, 10, 10, 15]","[0, 1, 0]","[1, 2, 1]"
"[3, 5, 6]",1770991205,9,7,"[(7, 1), (9, 1)]",(0_(1_2)),14,3,0,"[5, 11, 11, 17]","[5, 11, 11, 17]","[0, 0, 1]","[1, 1, 2]",-3,"[7, 10, 10, 16]","[4, 10, 10, 16]","[0, 0, 0]","[1, 1, 1]",3,"[6, 9, 9, 15]","[6, 12, 12, 18]","[0, 0, 5]","[1, 1, 6]",0,"[7, 10, 10, 16]","[4, 10, 10, 16]","[0, 0, 0]","[1, 1, 1]",3,"[6, 9, 9, 15]","[6, 12, 12, 18]","[0, 0, 5]","[1, 1, 6]",0,"[7, 10, 10, 16]","[4, 10, 10, 16]","[0, 0, 0]","[1, 1, 1]",3,"[6, 9, 9, 15]","[6, 12, 12, 18]","[0, 0, 5]","[1, 1, 6]",0,"[7, 10, 10, 16]","[4, 10, 10, 16]","[0, 0, 0]","[1, 1, 1]"
"[3, 5, 7]",1770991205,9,9,"[(9, 2)]",((0_1)_2),15,3,0,"[6, 13, 13, 20]","[6, 13, 13, 20]","[0, 0, 1]","[1, 1, 2]",-4,"[10, 13, 13, 19]","[6, 13, 13, 20]","[0, 2, 2]","[1, 3, 3]",1,"[6, 12, 12, 19]","[6, 13, 13, 20]","[0, 0, 5]","[1, 1, 6]",0,"[8, 13, 13, 20]","[6, 13, 13, 20]","[0, 0, 0]","[1, 1, 1]",1,"[6, 12, 12, 19]","[6, 13, 13, 20]","[0, 0, 5]","[1, 1, 6]",0,"[8, 13, 13, 20]","[6, 13, 13, 20]","[0, 0, 0]","[1, 1, 1]",1,"[6, 12, 12, 19]","[6, 13, 13, 20]","[0, 0, 5]","[1, 1, 6]",0,"[8, 13, 13, 20]","[6, 13, 13, 20]","[0, 0, 0]","[1, 1, 1]"
"[3, 5, 8]",1770991205,9,9,"[(9, 2)]",((0_1)_2),16,3,0,"[6, 14, 14, 22]","[6, 14, 14, 22]","[0, 0, 1]","[1, 1, 2]",-5,"[11, 14, 14, 21]","[6, 14, 14, 22]","[0, 2, 2]","[1, 3, 3]",1,"[6, 13, 13, 21]","[6, 14, 14, 22]","[0, 0, 5]","[1, 1, 6]",0,"[9, 14, 14, 22]","[6, 14, 14, 22]","[0, 0, 0]","[1, 1, 1]",1,"[6, 13, 13, 21]","[6, 14, 14, 22]","[0, 0, 5]","[1, 1, 6]",0,"[9, 14, 14, 22]","[6, 14, 14, 22]","[0, 0, 0]","[1, 1, 1]",1,"[6, 13, 13, 21]","[6, 14, 14, 22]","[0, 0, 5]","[1, 1, 6]",0,"[9, 14, 14, 22]","[6, 14, 14, 22]","[0, 0, 0]","[1, 1, 1]"
"[3, 5, 9]",1770991205,9,7,"[(7, 1), (9, 1)]",(0_(1_2)),17,3,0,"[5, 14, 14, 23]","[5, 14, 14, 23]","[0, 0, 1]","[1, 1, 2]",-6,"[10, 13, 13, 22]","[4, 13, 13, 22]","[0, 0, 0]","[1, 1, 1]",3,"[6, 12, 12, 21]","[6, 15, 15, 24]","[0, 0, 5]","[1, 1, 6]",0,"[10, 13, 13, 22]","[4, 13, 13, 22]","[0, 0, 0]","[1, 1, 1]",3,"[6, 12, 12, 21]","[6, 15, 15, 24]","[0, 0, 5]","[1, 1, 6]",0,"[10, 13, 13, 22]","[4, 13, 13, 22]","[0, 0, 0]","[1, 1, 1]",3,"[5, 14, 14, 20]","[5, 14, 14, 23]","[0, 0, 4]","[1, 1, 5]",0,"[10, 13, 13, 22]","[4, 13, 13, 22]","[0, 0, 0]","[1, 1, 1]"
