seeds,num_tasks,per_jitter,zero_jitter,best_latency,run_time_order,"(latency, count)"
1755016110,5,0,508,508,0.0005297823809087276,"[(508, 12), (509, 12)]"
1755016111,5,0,484,484,0.0005238950252532959,"[(484, 24)]"
1755016112,5,0,657,613,0.0006343405693769455,"[(613, 4), (653, 4), (657, 16)]"
1755016113,5,0,588,588,0.0004302356392145157,"[(588, 24)]"
1755016114,5,0,507,507,0.00026271864771842957,"[(507, 24)]"
1755016115,5,0,698,698,0.0007624421268701553,"[(698, 12), (701, 12)]"
1755016116,5,0,401,401,0.00034569716081023216,"[(401, 11), (403, 10), (405, 3)]"
1755016117,5,0,317,317,0.0003692186437547207,"[(317, 24)]"
1755016118,5,0,520,520,0.0005378574132919312,"[(520, 12), (523, 12)]"
1755016119,5,0,269,269,0.00027219904586672783,"[(269, 24)]"
1755016120,5,0,401,397,0.000346464104950428,"[(397, 6), (398, 6), (400, 6), (401, 6)]"
1755016121,5,0,444,425,0.0005037477239966393,"[(425, 8), (444, 16)]"
1755016122,5,0,351,351,0.00034413207322359085,"[(351, 24)]"
1755016123,5,0,530,520,0.0003854711540043354,"[(520, 4), (523, 4), (530, 16)]"
1755016124,5,0,340,325,0.0003443988971412182,"[(325, 4), (326, 4), (340, 4), (342, 8), (343, 4)]"
1755016125,5,0,472,463,0.0003009168431162834,"[(463, 4), (472, 20)]"
1755016126,5,0,530,529,0.0004732511006295681,"[(529, 9), (530, 15)]"
1755016127,5,0,435,434,0.0004665236920118332,"[(434, 8), (435, 8), (483, 4), (484, 4)]"
1755016128,5,0,376,376,0.0004048198461532593,"[(376, 13), (377, 11)]"
1755016129,5,0,369,354,0.0003968672826886177,"[(354, 6), (356, 6), (369, 6), (371, 6)]"
1755016130,5,0,482,480,0.00039185304194688797,"[(480, 13), (482, 3), (484, 8)]"
1755016131,5,0,376,362,0.00029365019872784615,"[(362, 12), (376, 12)]"
1755016132,5,0,402,402,0.0002563260495662689,"[(402, 24)]"
1755016133,5,0,561,561,0.0007868828251957893,"[(561, 24)]"
1755016134,5,0,401,401,0.0004953620955348015,"[(401, 24)]"
1755016135,5,0,431,431,0.0006168792024254799,"[(431, 24)]"
1755016136,5,0,459,459,0.0004709470085799694,"[(459, 16), (467, 8)]"
