seeds,num_tasks,per_jitter,zero_jitter,best_latency,run_time_order,"(latency, count)",periods,read_offsets,write_offsets
1755016037,4,0,216,216,0.0001573949120938778,"[(216, 6)]","[89, 18, 25, 22]","[74, 6, 25, 3]","[163, 24, 50, 25]"
1755016038,4,0,323,323,0.00011002877727150917,"[(323, 6)]","[78, 27, 47, 51]","[23, 17, 29, 16]","[101, 44, 76, 67]"
1755016039,4,0,315,315,9.513925760984421e-05,"[(315, 6)]","[43, 45, 39, 65]","[10, 6, 29, 41]","[53, 51, 68, 106]"
1755016040,4,0,449,449,7.530394941568375e-05,"[(449, 1), (453, 2), (455, 1), (457, 2)]","[84, 80, 56, 54]","[30, 63, 13, 17]","[114, 143, 69, 71]"
1755016041,4,0,306,298,8.852081373333931e-05,"[(298, 1), (306, 5)]","[76, 17, 33, 68]","[27, 1, 17, 21]","[103, 18, 50, 89]"
1755016042,4,0,372,372,7.161591202020645e-05,"[(372, 6)]","[44, 60, 52, 72]","[4, 7, 15, 52]","[48, 67, 67, 124]"
1755016043,4,0,485,485,0.000155741348862648,"[(485, 6)]","[90, 83, 45, 71]","[46, 62, 30, 29]","[136, 145, 75, 100]"
1755016044,4,0,387,386,0.00013372767716646194,"[(386, 3), (387, 3)]","[61, 49, 44, 82]","[17, 0, 44, 60]","[78, 49, 88, 142]"
1755016045,4,0,504,503,0.00010205013677477837,"[(503, 3), (504, 3)]","[21, 92, 96, 94]","[3, 56, 52, 23]","[24, 148, 148, 117]"
1755016046,4,0,452,450,0.00016218889504671097,"[(450, 2), (452, 4)]","[89, 31, 62, 91]","[85, 3, 0, 5]","[174, 34, 62, 96]"
1755016047,4,0,327,324,7.406715303659439e-05,"[(324, 3), (327, 3)]","[33, 87, 12, 78]","[10, 36, 10, 58]","[43, 123, 22, 136]"
1755016048,4,0,412,412,0.00013380497694015503,"[(412, 4), (416, 2)]","[58, 87, 20, 89]","[48, 72, 4, 71]","[106, 159, 24, 160]"
1755016049,4,0,408,392,0.0001063058152794838,"[(392, 3), (408, 3)]","[17, 78, 85, 70]","[5, 46, 41, 56]","[22, 124, 126, 126]"
1755016050,4,0,372,372,9.153829887509346e-05,"[(372, 6)]","[52, 62, 56, 50]","[11, 15, 9, 9]","[63, 77, 65, 59]"
1755016051,4,0,522,522,0.00011372659355401993,"[(522, 3), (525, 3)]","[100, 100, 81, 64]","[98, 35, 5, 60]","[198, 135, 86, 124]"
1755016052,4,0,176,175,7.224502041935921e-05,"[(175, 3), (176, 3)]","[61, 34, 15, 10]","[21, 7, 12, 5]","[82, 41, 27, 15]"
1755016053,4,0,303,303,0.00011002598330378532,"[(303, 6)]","[49, 37, 96, 19]","[24, 28, 43, 12]","[73, 65, 139, 31]"
1755016054,4,0,399,395,0.00013489089906215668,"[(395, 2), (399, 4)]","[98, 39, 35, 78]","[24, 39, 9, 65]","[122, 78, 44, 143]"
1755016055,4,0,372,372,9.918119758367538e-05,"[(372, 6)]","[99, 84, 13, 41]","[78, 26, 9, 27]","[177, 110, 22, 68]"
1755016056,4,0,320,319,0.00015173479914665222,"[(319, 3), (320, 3)]","[29, 97, 38, 46]","[17, 53, 36, 30]","[46, 150, 74, 76]"
1755016057,4,0,340,340,9.792577475309372e-05,"[(340, 6)]","[74, 26, 64, 46]","[6, 26, 58, 38]","[80, 52, 122, 84]"
1755016058,4,0,360,355,0.00011783512309193611,"[(355, 2), (356, 2), (359, 1), (360, 1)]","[73, 45, 70, 30]","[17, 43, 51, 16]","[90, 88, 121, 46]"
1755016059,4,0,266,266,9.4566959887743e-05,"[(266, 6)]","[27, 85, 33, 32]","[20, 8, 3, 28]","[47, 93, 36, 60]"
1755016060,4,0,427,421,0.0001306617632508278,"[(421, 1), (423, 2), (426, 1), (427, 2)]","[40, 78, 55, 85]","[5, 45, 6, 76]","[45, 123, 61, 161]"
1755016061,4,0,302,302,0.00010314863175153732,"[(302, 6)]","[32, 94, 43, 31]","[27, 51, 17, 20]","[59, 145, 60, 51]"
1755016062,4,0,260,260,0.0001102592796087265,"[(260, 6)]","[27, 46, 35, 47]","[22, 12, 3, 9]","[49, 58, 38, 56]"
1755016063,4,0,315,309,6.489595398306847e-05,"[(309, 2), (311, 2), (313, 1), (315, 1)]","[70, 60, 18, 48]","[42, 47, 2, 15]","[112, 107, 20, 63]"
1755016064,4,0,283,279,7.503805682063103e-05,"[(279, 3), (283, 3)]","[50, 21, 84, 30]","[49, 13, 71, 10]","[99, 34, 155, 40]"
1755016065,4,0,481,481,0.0001034722663462162,"[(481, 6)]","[96, 98, 18, 80]","[0, 36, 0, 77]","[96, 134, 18, 157]"
1755016066,4,0,242,242,9.605195373296738e-05,"[(242, 4), (243, 2)]","[46, 12, 43, 45]","[1, 1, 37, 30]","[47, 13, 80, 75]"
1755016067,4,0,268,263,7.564015686511993e-05,"[(263, 3), (268, 3)]","[18, 81, 44, 33]","[6, 77, 19, 13]","[24, 158, 63, 46]"
1755016068,4,0,407,391,9.642215445637703e-05,"[(391, 1), (401, 3), (407, 2)]","[94, 24, 63, 72]","[48, 0, 51, 35]","[142, 24, 114, 107]"
1755016069,4,0,473,473,0.00011503789573907852,"[(473, 6)]","[93, 59, 90, 43]","[7, 22, 68, 18]","[100, 81, 158, 61]"
1755016070,4,0,393,392,8.98260623216629e-05,"[(392, 3), (393, 3)]","[27, 82, 96, 42]","[6, 24, 89, 38]","[33, 106, 185, 80]"
1755016071,4,0,510,510,0.0001930571161210537,"[(510, 6)]","[93, 38, 77, 97]","[30, 4, 9, 40]","[123, 42, 86, 137]"
1755016072,4,0,323,321,9.268475696444511e-05,"[(321, 5), (323, 1)]","[94, 39, 33, 44]","[0, 20, 15, 35]","[94, 59, 48, 79]"
1755016073,4,0,381,381,0.00013079028576612473,"[(381, 4), (392, 2)]","[32, 80, 41, 89]","[23, 75, 13, 47]","[55, 155, 54, 136]"
1755016074,4,0,389,389,0.0001578051596879959,"[(389, 2), (390, 4)]","[69, 47, 51, 64]","[4, 31, 17, 39]","[73, 78, 68, 103]"
1755016075,4,0,414,414,0.00013871118426322937,"[(414, 6)]","[82, 91, 51, 30]","[81, 19, 28, 3]","[163, 110, 79, 33]"
1755016076,4,0,252,250,7.670093327760696e-05,"[(250, 3), (252, 3)]","[66, 16, 28, 52]","[46, 16, 8, 38]","[112, 32, 36, 90]"
1755016077,4,0,246,246,7.877079769968987e-05,"[(246, 6)]","[13, 57, 35, 48]","[7, 8, 17, 22]","[20, 65, 52, 70]"
1755016078,4,0,354,354,0.0001060650683939457,"[(354, 6)]","[41, 28, 69, 81]","[2, 22, 14, 73]","[43, 50, 83, 154]"
1755016079,4,0,433,433,7.221288979053497e-05,"[(433, 6)]","[66, 96, 93, 12]","[24, 17, 46, 7]","[90, 113, 139, 19]"
1755016080,4,0,159,158,5.418993532657623e-05,"[(158, 2), (159, 1), (164, 1), (165, 1), (166, 1)]","[18, 18, 21, 56]","[16, 8, 19, 24]","[34, 26, 40, 80]"
1755016081,4,0,423,423,0.00014830613508820534,"[(423, 3), (425, 3)]","[59, 88, 28, 83]","[40, 28, 13, 33]","[99, 116, 41, 116]"
1755016082,4,0,137,137,7.39176757633686e-05,"[(137, 3), (138, 3)]","[11, 25, 15, 39]","[11, 11, 9, 17]","[22, 36, 24, 56]"
1755016083,4,0,222,222,8.360203355550766e-05,"[(222, 6)]","[34, 21, 93, 11]","[21, 21, 92, 7]","[55, 42, 185, 18]"
1755016084,4,0,360,359,0.00011937599629163742,"[(359, 3), (360, 3)]","[55, 54, 69, 38]","[28, 15, 10, 2]","[83, 69, 79, 40]"
1755016085,4,0,189,189,7.84061849117279e-05,"[(189, 6)]","[33, 14, 23, 54]","[24, 3, 16, 39]","[57, 17, 39, 93]"
1755016086,4,0,273,273,0.0001005660742521286,"[(273, 6)]","[94, 25, 23, 43]","[12, 7, 2, 26]","[106, 32, 25, 69]"
1755016087,4,0,426,426,8.421484380960464e-05,"[(426, 6)]","[56, 78, 57, 66]","[30, 42, 46, 64]","[86, 120, 103, 130]"
1755016088,4,0,207,207,7.798289880156517e-05,"[(207, 6)]","[80, 27, 21, 17]","[8, 2, 16, 8]","[88, 29, 37, 25]"
1755016089,4,0,504,504,0.00013662641867995262,"[(504, 6)]","[80, 73, 58, 86]","[58, 2, 6, 16]","[138, 75, 64, 102]"
1755016090,4,0,295,293,8.353404700756073e-05,"[(293, 4), (295, 2)]","[82, 25, 52, 32]","[15, 19, 40, 12]","[97, 44, 92, 44]"
1755016091,4,0,403,403,0.0001319977454841137,"[(403, 6)]","[94, 13, 70, 73]","[37, 10, 29, 52]","[131, 23, 99, 125]"
1755016092,4,0,443,443,0.00015756580978631973,"[(443, 6)]","[47, 97, 29, 100]","[47, 13, 9, 24]","[94, 110, 38, 124]"
1755016093,4,0,392,391,0.00013583386316895485,"[(391, 2), (392, 4)]","[47, 30, 72, 97]","[36, 15, 7, 37]","[83, 45, 79, 134]"
1755016094,4,0,370,369,0.00016728462651371956,"[(369, 3), (370, 3)]","[58, 73, 26, 66]","[34, 29, 2, 50]","[92, 102, 28, 116]"
1755016095,4,0,450,450,0.00012119021266698837,"[(450, 6)]","[95, 95, 46, 77]","[1, 17, 45, 10]","[96, 112, 91, 87]"
1755016096,4,0,360,360,7.206713780760765e-05,"[(360, 2), (393, 4)]","[63, 39, 63, 69]","[19, 33, 60, 34]","[82, 72, 123, 103]"
1755016097,4,0,482,482,0.00014904793351888657,"[(482, 3), (483, 3)]","[36, 81, 94, 79]","[16, 23, 46, 67]","[52, 104, 140, 146]"
1755016098,4,0,361,361,0.00013526808470487595,"[(361, 6)]","[55, 71, 78, 17]","[42, 66, 42, 17]","[97, 137, 120, 34]"
1755016099,4,0,432,432,0.0001490381546318531,"[(432, 6)]","[40, 51, 89, 82]","[1, 42, 19, 55]","[41, 93, 108, 137]"
1755016100,4,0,272,271,9.939167648553848e-05,"[(271, 3), (272, 3)]","[53, 24, 62, 30]","[7, 6, 36, 16]","[60, 30, 98, 46]"
1755016101,4,0,376,376,7.578497752547264e-05,"[(376, 6)]","[42, 38, 80, 72]","[2, 29, 31, 58]","[44, 67, 111, 130]"
1755016102,4,0,382,373,0.00012526614591479301,"[(373, 1), (381, 2), (382, 3)]","[89, 78, 57, 13]","[52, 34, 11, 7]","[141, 112, 68, 20]"
1755016103,4,0,346,345,0.0001240321435034275,"[(345, 3), (346, 3)]","[33, 61, 57, 54]","[18, 16, 54, 37]","[51, 77, 111, 91]"
1755016104,4,0,406,402,0.00012983893975615501,"[(402, 3), (406, 3)]","[82, 65, 91, 12]","[38, 14, 48, 3]","[120, 79, 139, 15]"
1755016105,4,0,170,170,5.890475586056709e-05,"[(170, 6)]","[35, 14, 49, 15]","[9, 5, 38, 15]","[44, 19, 87, 30]"
1755016106,4,0,383,383,9.408826008439064e-05,"[(383, 6)]","[58, 35, 76, 64]","[44, 21, 71, 31]","[102, 56, 147, 95]"
1755016107,4,0,269,269,6.625382229685783e-05,"[(269, 6)]","[39, 63, 42, 32]","[23, 39, 22, 23]","[62, 102, 64, 55]"
1755016108,4,0,279,277,8.161598816514015e-05,"[(277, 4), (279, 2)]","[86, 17, 42, 39]","[80, 9, 18, 39]","[166, 26, 60, 78]"
1755016109,4,0,374,372,0.00013064593076705933,"[(372, 2), (374, 4)]","[83, 45, 14, 93]","[25, 31, 6, 49]","[108, 76, 20, 142]"
1755016110,4,0,347,347,0.0001181773841381073,"[(347, 3), (348, 3)]","[30, 26, 97, 71]","[17, 15, 81, 21]","[47, 41, 178, 92]"
1755016111,4,0,403,403,0.000139573123306036,"[(403, 6)]","[59, 12, 94, 85]","[15, 2, 7, 61]","[74, 14, 101, 146]"
1755016112,4,0,496,485,0.00015546707436442375,"[(485, 2), (496, 4)]","[83, 77, 54, 77]","[71, 0, 45, 18]","[154, 77, 99, 95]"
1755016113,4,0,413,413,0.00013039633631706238,"[(413, 2), (415, 4)]","[100, 21, 65, 73]","[78, 7, 26, 11]","[178, 28, 91, 84]"
1755016114,4,0,376,376,0.00010340800508856773,"[(376, 6)]","[65, 42, 90, 38]","[60, 34, 27, 19]","[125, 76, 117, 57]"
1755016115,4,0,508,508,0.0001314328983426094,"[(508, 6)]","[89, 29, 90, 96]","[87, 3, 47, 87]","[176, 32, 137, 183]"
1755016116,4,0,273,273,8.576503023505211e-05,"[(273, 3), (275, 3)]","[92, 40, 12, 41]","[56, 11, 4, 0]","[148, 51, 16, 41]"
1755016117,4,0,237,237,9.826105087995529e-05,"[(237, 3), (238, 3)]","[22, 36, 47, 39]","[7, 33, 1, 8]","[29, 69, 48, 47]"
1755016118,4,0,385,385,0.00012467382475733757,"[(385, 3), (386, 3)]","[68, 56, 79, 31]","[59, 17, 68, 19]","[127, 73, 147, 50]"
1755016119,4,0,202,202,8.555315434932709e-05,"[(202, 6)]","[17, 39, 40, 28]","[6, 37, 8, 16]","[23, 76, 48, 44]"
