seeds,num_tasks,per_jitter,zero_jitter,best_latency,run_time_order,"(latency, count)",periods,read_offsets,write_offsets
1769172656,3,0,33,33,8.25272873044014e-05,"[(33, 2)]","[9, 7, 6]","[0, 0, 0]","[9, 7, 6]"
1769172656,3,0,31,31,5.0337985157966614e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 0, 1]","[9, 7, 7]"
1769172656,3,0,32,32,4.275096580386162e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 0, 2]","[9, 7, 8]"
1769172656,3,0,33,33,3.9501115679740906e-05,"[(33, 2)]","[9, 7, 6]","[0, 0, 3]","[9, 7, 9]"
1769172656,3,0,31,31,3.901775926351547e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 0, 4]","[9, 7, 10]"
1769172656,3,0,32,32,3.732088953256607e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 0, 5]","[9, 7, 11]"
1769172656,3,0,33,33,3.758817911148071e-05,"[(33, 2)]","[9, 7, 6]","[0, 1, 0]","[9, 8, 6]"
1769172656,3,0,31,31,3.9658043533563614e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 1, 1]","[9, 8, 7]"
1769172656,3,0,32,32,3.6038924008607864e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 1, 2]","[9, 8, 8]"
1769172656,3,0,33,33,3.4996308386325836e-05,"[(33, 2)]","[9, 7, 6]","[0, 1, 3]","[9, 8, 9]"
1769172656,3,0,31,31,3.512110561132431e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 1, 4]","[9, 8, 10]"
1769172656,3,0,32,32,3.466987982392311e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 1, 5]","[9, 8, 11]"
1769172656,3,0,33,33,3.546755760908127e-05,"[(33, 2)]","[9, 7, 6]","[0, 2, 0]","[9, 9, 6]"
1769172656,3,0,31,31,3.860285505652428e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 2, 1]","[9, 9, 7]"
1769172656,3,0,32,32,3.598816692829132e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 2, 2]","[9, 9, 8]"
1769172656,3,0,33,33,3.395508974790573e-05,"[(33, 2)]","[9, 7, 6]","[0, 2, 3]","[9, 9, 9]"
1769172656,3,0,31,31,3.5597942769527435e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 2, 4]","[9, 9, 10]"
1769172656,3,0,32,32,3.526965156197548e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 2, 5]","[9, 9, 11]"
1769172656,3,0,33,33,3.3857766538858414e-05,"[(33, 2)]","[9, 7, 6]","[0, 3, 0]","[9, 10, 6]"
1769172656,3,0,31,31,3.392435610294342e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 3, 1]","[9, 10, 7]"
1769172656,3,0,32,32,3.498885780572891e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 3, 2]","[9, 10, 8]"
1769172656,3,0,33,33,3.3629126846790314e-05,"[(33, 2)]","[9, 7, 6]","[0, 3, 3]","[9, 10, 9]"
1769172656,3,0,31,31,3.725988790392876e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 3, 4]","[9, 10, 10]"
1769172656,3,0,32,32,3.4797005355358124e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 3, 5]","[9, 10, 11]"
1769172656,3,0,33,33,3.46931628882885e-05,"[(33, 2)]","[9, 7, 6]","[0, 4, 0]","[9, 11, 6]"
1769172656,3,0,31,31,3.48137691617012e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 4, 1]","[9, 11, 7]"
1769172656,3,0,32,32,4.941178485751152e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 4, 2]","[9, 11, 8]"
1769172656,3,0,33,33,3.738701343536377e-05,"[(33, 2)]","[9, 7, 6]","[0, 4, 3]","[9, 11, 9]"
1769172656,3,0,31,31,3.4945085644721985e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 4, 4]","[9, 11, 10]"
1769172656,3,0,32,32,3.4430064260959625e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 4, 5]","[9, 11, 11]"
1769172656,3,0,33,33,7.286109030246735e-05,"[(33, 2)]","[9, 7, 6]","[0, 5, 0]","[9, 12, 6]"
1769172656,3,0,31,31,3.6158133298158646e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 5, 1]","[9, 12, 7]"
1769172656,3,0,32,32,3.944896161556244e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 5, 2]","[9, 12, 8]"
1769172656,3,0,33,33,3.38749960064888e-05,"[(33, 2)]","[9, 7, 6]","[0, 5, 3]","[9, 12, 9]"
1769172656,3,0,31,31,3.365101292729378e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 5, 4]","[9, 12, 10]"
1769172656,3,0,32,32,3.397604450583458e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 5, 5]","[9, 12, 11]"
1769172656,3,0,33,33,3.365008160471916e-05,"[(33, 2)]","[9, 7, 6]","[0, 6, 0]","[9, 13, 6]"
1769172656,3,0,31,31,3.353273496031761e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 6, 1]","[9, 13, 7]"
1769172656,3,0,32,32,3.565195947885513e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 6, 2]","[9, 13, 8]"
1769172656,3,0,33,33,3.4699682146310806e-05,"[(33, 2)]","[9, 7, 6]","[0, 6, 3]","[9, 13, 9]"
1769172656,3,0,31,31,3.8621947169303894e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[0, 6, 4]","[9, 13, 10]"
1769172656,3,0,32,32,3.429176285862923e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[0, 6, 5]","[9, 13, 11]"
1769172656,3,0,32,32,3.525661304593086e-05,"[(32, 1), (33, 1)]","[9, 7, 6]","[1, 0, 0]","[10, 7, 6]"
1769172656,3,0,33,33,3.4055206924676895e-05,"[(33, 2)]","[9, 7, 6]","[1, 0, 1]","[10, 7, 7]"
1769172656,3,0,31,31,3.567710518836975e-05,"[(31, 1), (33, 1)]","[9, 7, 6]","[1, 0, 2]","[10, 7, 8]"
