seeds,num_tasks,per_jitter,best_latency,run_time_order,"(latency, count)"
1755016037,3,0,165,7.890000415500253e-05,"[(165, 2)]"
1755016038,3,0,229,5.950000195298344e-05,"[(229, 2)]"
1755016039,3,0,218,5.880001117475331e-05,"[(218, 2)]"
1755016040,3,0,1039,6.079999729990959e-05,"[(1039, 2)]"
1755016041,3,0,1036,6.209999264683574e-05,"[(1036, 2)]"
1755016042,3,0,211,5.570000212173909e-05,"[(211, 2)]"
1755016043,3,0,260,6.0999998822808266e-05,"[(260, 2)]"
1755016044,3,0,2774,5.989999044686556e-05,"[(2774, 2)]"
1755016045,3,0,297,5.769998824689537e-05,"[(297, 2)]"
1755016046,3,0,1137,6.229999416973442e-05,"[(1137, 2)]"
1755016037,5,0,899,0.00027800000680144876,"[(899, 24)]"
1755016038,5,0,3209,0.0003304999991087243,"[(3209, 24)]"
1755016039,5,0,301,0.0003296000068075955,"[(301, 24)]"
1755016040,5,0,241,0.00030869999318383634,"[(241, 24)]"
1755016041,5,0,212,0.00031370000215247273,"[(212, 24)]"
1755016042,5,0,123,0.00033599999733269215,"[(123, 12), (133, 12)]"
1755016043,5,0,100,0.005194400000618771,"[(100, 24)]"
1755016044,5,0,1145,0.000337799996486865,"[(1145, 24)]"
1755016045,5,0,1148,0.00033880000410135835,"[(1148, 24)]"
1755016046,5,0,37,0.00030929999775253236,"[(37, 24)]"
1755016037,8,0,640,0.07516870000108611,"[(640, 5040)]"
1755016038,8,0,1231,0.07332399999722838,"[(1231, 5040)]"
1755016039,8,0,4550,0.07256099999358412,"[(4550, 5040)]"
1755016040,8,0,1454,0.0740934999921592,"[(1454, 5040)]"
1755016041,8,0,1072,0.06455049999931362,"[(1072, 5040)]"
1755016042,8,0,1542,0.0709560999966925,"[(1542, 5040)]"
1755016043,8,0,2691,0.06326779999653809,"[(2691, 5040)]"
1755016044,8,0,574,0.06663429999025539,"[(574, 5040)]"
1755016045,8,0,1361,0.07032050000270829,"[(1361, 5040)]"
1755016046,8,0,2740,0.06826960000034887,"[(2740, 5040)]"
1755016037,10,0,2081,5.189741399997729,"[(2081, 362880)]"
1755016038,10,0,561,5.871221099994727,"[(561, 362880)]"
1755016039,10,0,2957,5.968372200004524,"[(2957, 362880)]"
1755016040,10,0,1674,4.666127399992547,"[(1674, 362880)]"
1755016041,10,0,663,5.587452499996289,"[(663, 362880)]"
1755016042,10,0,693,5.806653499996173,"[(693, 362880)]"
1755016043,10,0,2924,6.283367900003213,"[(2924, 362880)]"
1755016044,10,0,3074,4.151388400001451,"[(3074, 362880)]"
1755016045,10,0,3039,6.70267139999487,"[(3039, 362880)]"
1755016046,10,0,2445,4.369019399993704,"[(2445, 362880)]"
