seeds,num_tasks,per_jitter,zero_jitter,best_latency,run_time_order,"(latency, count)",periods,read_offsets,write_offsets
1769504004,3,0,17,17,7.28219747543335e-05,"[(17, 2)]","[5, 3, 4]","[0, 0, 0]","[5, 3, 4]"
1769504004,3,0,17,17,4.271138459444046e-05,"[(17, 2)]","[5, 3, 4]","[0, 0, 1]","[5, 3, 5]"
1769504004,3,0,17,17,4.1185878217220306e-05,"[(17, 2)]","[5, 3, 4]","[0, 0, 2]","[5, 3, 6]"
1769504004,3,0,17,17,3.2479409128427505e-05,"[(17, 2)]","[5, 3, 4]","[0, 0, 3]","[5, 3, 7]"
1769504004,3,0,17,17,3.1348783522844315e-05,"[(17, 2)]","[5, 3, 4]","[0, 1, 0]","[5, 4, 4]"
1769504004,3,0,17,17,3.373716026544571e-05,"[(17, 2)]","[5, 3, 4]","[0, 1, 1]","[5, 4, 5]"
1769504004,3,0,17,17,3.506196662783623e-05,"[(17, 2)]","[5, 3, 4]","[0, 1, 2]","[5, 4, 6]"
1769504004,3,0,17,17,3.0502211302518845e-05,"[(17, 2)]","[5, 3, 4]","[0, 1, 3]","[5, 4, 7]"
1769504004,3,0,17,17,3.3196061849594116e-05,"[(17, 2)]","[5, 3, 4]","[0, 2, 0]","[5, 5, 4]"
1769504004,3,0,17,17,2.820417284965515e-05,"[(17, 2)]","[5, 3, 4]","[0, 2, 1]","[5, 5, 5]"
1769504004,3,0,17,17,3.284774720668793e-05,"[(17, 2)]","[5, 3, 4]","[0, 2, 2]","[5, 5, 6]"
1769504004,3,0,17,17,2.8742942959070206e-05,"[(17, 2)]","[5, 3, 4]","[0, 2, 3]","[5, 5, 7]"
1769504004,3,0,17,17,2.80807726085186e-05,"[(17, 2)]","[5, 3, 4]","[1, 0, 0]","[6, 3, 4]"
1769504004,3,0,17,17,3.219814971089363e-05,"[(17, 2)]","[5, 3, 4]","[1, 0, 1]","[6, 3, 5]"
1769504004,3,0,17,17,3.240909427404404e-05,"[(17, 2)]","[5, 3, 4]","[1, 0, 2]","[6, 3, 6]"
1769504004,3,0,17,17,3.253994509577751e-05,"[(17, 2)]","[5, 3, 4]","[1, 0, 3]","[6, 3, 7]"
1769504004,3,0,17,17,3.409292548894882e-05,"[(17, 2)]","[5, 3, 4]","[1, 1, 0]","[6, 4, 4]"
1769504004,3,0,17,17,3.407895565032959e-05,"[(17, 2)]","[5, 3, 4]","[1, 1, 1]","[6, 4, 5]"
1769504004,3,0,17,17,3.221305087208748e-05,"[(17, 2)]","[5, 3, 4]","[1, 1, 2]","[6, 4, 6]"
1769504004,3,0,17,17,3.4079886972904205e-05,"[(17, 2)]","[5, 3, 4]","[1, 1, 3]","[6, 4, 7]"
1769504004,3,0,17,17,3.210734575986862e-05,"[(17, 2)]","[5, 3, 4]","[1, 2, 0]","[6, 5, 4]"
1769504004,3,0,17,17,3.186706453561783e-05,"[(17, 2)]","[5, 3, 4]","[1, 2, 1]","[6, 5, 5]"
1769504004,3,0,17,17,3.2057985663414e-05,"[(17, 2)]","[5, 3, 4]","[1, 2, 2]","[6, 5, 6]"
1769504004,3,0,17,17,3.078719601035118e-05,"[(17, 2)]","[5, 3, 4]","[1, 2, 3]","[6, 5, 7]"
1769504004,3,0,17,17,3.4697819501161575e-05,"[(17, 2)]","[5, 3, 4]","[2, 0, 0]","[7, 3, 4]"
1769504004,3,0,17,17,3.1054019927978516e-05,"[(17, 2)]","[5, 3, 4]","[2, 0, 1]","[7, 3, 5]"
1769504004,3,0,17,17,3.274809569120407e-05,"[(17, 2)]","[5, 3, 4]","[2, 0, 2]","[7, 3, 6]"
1769504004,3,0,17,17,3.217998892068863e-05,"[(17, 2)]","[5, 3, 4]","[2, 0, 3]","[7, 3, 7]"
1769504004,3,0,17,17,3.468291833996773e-05,"[(17, 2)]","[5, 3, 4]","[2, 1, 0]","[7, 4, 4]"
1769504004,3,0,17,17,3.3235177397727966e-05,"[(17, 2)]","[5, 3, 4]","[2, 1, 1]","[7, 4, 5]"
1769504004,3,0,17,17,3.316905349493027e-05,"[(17, 2)]","[5, 3, 4]","[2, 1, 2]","[7, 4, 6]"
1769504004,3,0,17,17,3.162585198879242e-05,"[(17, 2)]","[5, 3, 4]","[2, 1, 3]","[7, 4, 7]"
1769504004,3,0,17,17,3.152899444103241e-05,"[(17, 2)]","[5, 3, 4]","[2, 2, 0]","[7, 5, 4]"
1769504004,3,0,17,17,3.1366944313049316e-05,"[(17, 2)]","[5, 3, 4]","[2, 2, 1]","[7, 5, 5]"
1769504004,3,0,17,17,3.352435305714607e-05,"[(17, 2)]","[5, 3, 4]","[2, 2, 2]","[7, 5, 6]"
1769504004,3,0,17,17,3.206683322787285e-05,"[(17, 2)]","[5, 3, 4]","[2, 2, 3]","[7, 5, 7]"
1769504004,3,0,17,17,6.205262616276741e-05,"[(17, 2)]","[5, 3, 4]","[3, 0, 0]","[8, 3, 4]"
1769504004,3,0,17,17,3.300188109278679e-05,"[(17, 2)]","[5, 3, 4]","[3, 0, 1]","[8, 3, 5]"
1769504004,3,0,17,17,3.14321368932724e-05,"[(17, 2)]","[5, 3, 4]","[3, 0, 2]","[8, 3, 6]"
1769504004,3,0,17,17,3.314809873700142e-05,"[(17, 2)]","[5, 3, 4]","[3, 0, 3]","[8, 3, 7]"
1769504004,3,0,17,17,3.1227245926856995e-05,"[(17, 2)]","[5, 3, 4]","[3, 1, 0]","[8, 4, 4]"
1769504004,3,0,17,17,3.56561504304409e-05,"[(17, 2)]","[5, 3, 4]","[3, 1, 1]","[8, 4, 5]"
1769504004,3,0,17,17,3.203703090548515e-05,"[(17, 2)]","[5, 3, 4]","[3, 1, 2]","[8, 4, 6]"
1769504004,3,0,17,17,3.289105370640755e-05,"[(17, 2)]","[5, 3, 4]","[3, 1, 3]","[8, 4, 7]"
1769504004,3,0,17,17,3.362027928233147e-05,"[(17, 2)]","[5, 3, 4]","[3, 2, 0]","[8, 5, 4]"
1769504004,3,0,17,17,3.17147932946682e-05,"[(17, 2)]","[5, 3, 4]","[3, 2, 1]","[8, 5, 5]"
1769504004,3,0,17,17,3.149406984448433e-05,"[(17, 2)]","[5, 3, 4]","[3, 2, 2]","[8, 5, 6]"
1769504004,3,0,17,17,3.114202991127968e-05,"[(17, 2)]","[5, 3, 4]","[3, 2, 3]","[8, 5, 7]"
1769504004,3,0,17,17,3.140885382890701e-05,"[(17, 2)]","[5, 3, 4]","[4, 0, 0]","[9, 3, 4]"
1769504004,3,0,17,17,3.292271867394447e-05,"[(17, 2)]","[5, 3, 4]","[4, 0, 1]","[9, 3, 5]"
1769504004,3,0,17,17,3.151409327983856e-05,"[(17, 2)]","[5, 3, 4]","[4, 0, 2]","[9, 3, 6]"
1769504004,3,0,17,17,3.06018628180027e-05,"[(17, 2)]","[5, 3, 4]","[4, 0, 3]","[9, 3, 7]"
1769504004,3,0,17,17,3.368314355611801e-05,"[(17, 2)]","[5, 3, 4]","[4, 1, 0]","[9, 4, 4]"
1769504004,3,0,17,17,3.2729003578424454e-05,"[(17, 2)]","[5, 3, 4]","[4, 1, 1]","[9, 4, 5]"
1769504004,3,0,17,17,3.217300400137901e-05,"[(17, 2)]","[5, 3, 4]","[4, 1, 2]","[9, 4, 6]"
1769504004,3,0,17,17,2.994481474161148e-05,"[(17, 2)]","[5, 3, 4]","[4, 1, 3]","[9, 4, 7]"
1769504004,3,0,17,17,2.9906630516052246e-05,"[(17, 2)]","[5, 3, 4]","[4, 2, 0]","[9, 5, 4]"
1769504004,3,0,17,17,3.131013363599777e-05,"[(17, 2)]","[5, 3, 4]","[4, 2, 1]","[9, 5, 5]"
1769504004,3,0,17,17,3.145821392536163e-05,"[(17, 2)]","[5, 3, 4]","[4, 2, 2]","[9, 5, 6]"
1769504004,3,0,17,17,3.229500725865364e-05,"[(17, 2)]","[5, 3, 4]","[4, 2, 3]","[9, 5, 7]"
