seeds,num_tasks,per_jitter,zero_jitter,best_latency,run_time_order,"(latency, count)",periods,read_offsets,write_offsets
1755016037,3,0,173,173,0.00014831917360424995,"[(173, 2)]","[89, 18, 25]","[12, 18, 24]","[101, 36, 49]"
1755016038,3,0,222,222,7.061706855893135e-05,"[(222, 1), (224, 1)]","[78, 27, 47]","[41, 5, 35]","[119, 32, 82]"
1755016039,3,0,207,207,6.578536704182625e-05,"[(207, 2)]","[43, 45, 39]","[27, 10, 6]","[70, 55, 45]"
1755016040,3,0,351,347,4.061637446284294e-05,"[(347, 1), (351, 1)]","[84, 80, 56]","[44, 30, 31]","[128, 110, 87]"
1755016041,3,0,174,174,4.5623164623975754e-05,"[(174, 2)]","[76, 17, 33]","[58, 6, 3]","[134, 23, 36]"
1755016042,3,0,245,245,3.382796421647072e-05,"[(245, 2)]","[44, 60, 52]","[31, 51, 4]","[75, 111, 56]"
1755016043,3,0,330,330,6.283214315772057e-05,"[(330, 1), (344, 1)]","[90, 83, 45]","[61, 46, 31]","[151, 129, 76]"
1755016044,3,0,245,245,5.262717604637146e-05,"[(245, 2)]","[61, 49, 44]","[36, 17, 0]","[97, 66, 44]"
1755016045,3,0,318,317,4.08063642680645e-05,"[(317, 1), (318, 1)]","[21, 92, 96]","[21, 15, 56]","[42, 107, 152]"
1755016046,3,0,273,271,5.0859060138463974e-05,"[(271, 1), (273, 1)]","[89, 31, 62]","[81, 3, 0]","[170, 34, 62]"
1755016047,3,0,174,174,3.0135270208120346e-05,"[(174, 2)]","[33, 87, 12]","[10, 36, 10]","[43, 123, 22]"
1755016048,3,0,217,217,2.758624032139778e-05,"[(217, 2)]","[58, 87, 20]","[39, 72, 4]","[97, 159, 24]"
1755016049,3,0,273,269,5.9077050536870956e-05,"[(269, 1), (273, 1)]","[17, 78, 85]","[15, 22, 46]","[32, 100, 131]"
1755016050,3,0,275,275,4.220101982355118e-05,"[(275, 2)]","[52, 62, 56]","[20, 11, 15]","[72, 73, 71]"
1755016051,3,0,423,423,5.8721285313367844e-05,"[(423, 2)]","[100, 100, 81]","[92, 54, 35]","[192, 154, 116]"
1755016052,3,0,157,157,4.67090867459774e-05,"[(157, 2)]","[61, 34, 15]","[0, 21, 3]","[61, 55, 18]"
1755016053,3,0,266,266,5.382159724831581e-05,"[(266, 2)]","[49, 37, 96]","[4, 24, 90]","[53, 61, 186]"
1755016054,3,0,242,242,4.30266372859478e-05,"[(242, 1), (244, 1)]","[98, 39, 35]","[68, 12, 9]","[166, 51, 44]"
1755016055,3,0,291,291,3.98978590965271e-05,"[(291, 2)]","[99, 84, 13]","[31, 78, 13]","[130, 162, 26]"
1755016056,3,0,229,229,4.795799031853676e-05,"[(229, 2)]","[29, 97, 38]","[9, 70, 26]","[38, 167, 64]"
1755016057,3,0,252,252,3.824988380074501e-05,"[(252, 2)]","[74, 26, 64]","[36, 1, 58]","[110, 27, 122]"
1755016058,3,0,301,300,5.9519894421100616e-05,"[(300, 1), (301, 1)]","[73, 45, 70]","[20, 8, 51]","[93, 53, 121]"
1755016059,3,0,203,203,4.1546765714883804e-05,"[(203, 2)]","[27, 85, 33]","[5, 82, 4]","[32, 167, 37]"
1755016060,3,0,266,266,5.274266004562378e-05,"[(266, 2)]","[40, 78, 55]","[37, 10, 40]","[77, 88, 95]"
1755016061,3,0,241,241,4.570465534925461e-05,"[(241, 2)]","[32, 94, 43]","[10, 54, 25]","[42, 148, 68]"
1755016062,3,0,168,168,4.358822479844093e-05,"[(168, 2)]","[27, 46, 35]","[9, 45, 12]","[36, 91, 47]"
1755016063,3,0,218,218,2.6674941182136536e-05,"[(218, 2)]","[70, 60, 18]","[38, 21, 2]","[108, 81, 20]"
1755016064,3,0,224,208,3.910018131136894e-05,"[(208, 1), (224, 1)]","[50, 21, 84]","[48, 5, 52]","[98, 26, 136]"
1755016065,3,0,323,323,4.551885649561882e-05,"[(323, 2)]","[96, 98, 18]","[70, 0, 9]","[166, 98, 27]"
1755016066,3,0,154,154,3.9233826100826263e-05,"[(154, 2)]","[46, 12, 43]","[17, 0, 5]","[63, 12, 48]"
1755016067,3,0,199,199,3.998074680566788e-05,"[(199, 2)]","[18, 81, 44]","[5, 27, 38]","[23, 108, 82]"
1755016068,3,0,265,265,5.686189979314804e-05,"[(265, 2)]","[94, 24, 63]","[62, 12, 1]","[156, 36, 64]"
1755016069,3,0,388,388,6.364705041050911e-05,"[(388, 2)]","[93, 59, 90]","[33, 57, 7]","[126, 116, 97]"
