seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016093,5,0.2,2259.4,2182.06963504543,0.9657739377911968,safe,0.3,"(0, 1)",0.23
1755016094,5,0.2,209.0,208.32832305148384,0.996786234696095,safe,0.3,"(0, 1)",0.23
1755016095,5,0.2,2690.6,2460.8268670672405,0.9146015264503236,safe,0.3,"(0, 1)",0.23
1755016096,5,0.2,0.0,4286.458506327901,,,0.3,0,0.23
1755016097,5,0.2,3082.2,2890.307206092275,0.9377416151100756,safe,0.3,"(0, 1)",0.23
1755016098,5,0.2,0.0,78.81639216956819,,,0.3,0,0.23
1755016099,5,0.2,2763.2,2652.0086833883543,0.9597599462175572,safe,0.3,"(0, 1)",0.23
1755016100,5,0.2,0.0,4333.517433239496,,,0.3,0,0.23
1755016101,5,0.2,309.20000000000005,298.51096739071363,0.9654300368393064,safe,0.3,"(2, 3)",0.23
1755016102,5,0.2,585.2,529.9537426475245,0.9055942287209918,safe,0.3,"(0, 1)",0.23
1755016103,5,0.2,2651.0,2518.417655538302,0.9499877991468508,safe,0.3,"(0, 1)",0.23
1755016104,5,0.2,3750.0,3716.102353499997,0.9909606275999993,safe,0.3,"(0, 1)",0.23
1755016105,5,0.2,488.4,471.1429322828772,0.9646661185153096,safe,0.3,"(0, 1)",0.23
1755016106,5,0.2,0.0,448.72932503865695,,,0.3,0,0.23
1755016107,5,0.2,2968.4,2873.70277352567,0.9680982258205332,safe,0.2,"(1, 2)",0.23
1755016108,5,0.2,479.6,457.17402799349975,0.9532402585352372,safe,0.2,"(0, 1)",0.23
1755016109,5,0.2,756.0,685.696270151464,0.9070056483484972,safe,0.2,"(0, 1)",0.23
1755016110,5,0.2,0.0,844.892395402363,,,0.2,0,0.23
1755016111,5,0.2,0.0,527.6536131139583,,,0.2,0,0.23
1755016112,5,0.2,539.0,502.19614899987937,0.9317182727270488,safe,0.2,"(0, 1)",0.23
1755016113,5,0.2,686.4000000000001,607.485227567664,0.8850309259435662,safe,0.2,"(0, 1)",0.23
1755016114,5,0.2,2261.6,2140.223021502571,0.9463313678380664,safe,0.2,"(0, 1)",0.23
1755016115,5,0.2,2435.4,2218.8695820180305,0.9110904089751296,safe,0.2,"(0, 1)",0.23
1755016116,5,0.2,2756.5999999999995,2509.047516673694,0.9101964436892168,safe,0.2,"(1, 2)",0.23
1755016117,5,0.2,928.4,839.9548184053438,0.9047337552836534,safe,0.4,"(0, 1)",0.23
