n,periods,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[20, 2, 50]",300,1.808221,6.027402e-03,59,"[0, 0, 0]",69,"[0, 1, 0]"
4,"[1000, 2, 1, 2]",16,1.769694,1.106059e-01,999,"[0, 0, 0, 0]",1001,"[0, 1, 0, 0]"
5,"[10, 20, 50, 5, 50]",1250000,2.649051,2.119241e-06,59,"[0, 0, 0, 0, 0]",130,"[0, 9, 8, 2, 11]"
6,"[10, 1, 10, 20, 10, 50]",600000,2.879344,4.798906e-06,59,"[0, 0, 0, 0, 0, 0]",95,"[0, 0, 9, 8, 7, 6]"
7,"[100, 1, 1000, 10, 500, 5, 20]",3500000000,2951.743122,8.433552e-07,999,"[0, 0, 0, 0, 0, 0, 0]",1629,"[0, 0, 99, 8, 107, 1, 10]"
