n,periods,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[50, 1, 100]",300,775.863584,2.586212e+00,99,"[0, 0, 0]",148,"[0, 0, 49]"
4,"[200, 1, 200, 5]",4000,1016.553750,2.541384e-01,199,"[0, 0, 0, 0]",402,"[0, 0, 199, 3]"
5,"[1, 1000, 2, 100, 1]",1000000,1048.951333,1.048951e-03,999,"[0, 0, 0, 0, 0]",1099,"[0, 0, 1, 0, 0]"
