n,periods,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[200, 10, 500]",15000,491.314457,3.275430e-02,599,"[0, 0, 0]",707,"[0, 9, 8]"
4,"[500, 1, 1000, 20]",80000,6281.675896,7.852095e-02,999,"[0, 0, 0, 0]",1517,"[0, 0, 499, 18]"
5,"[2, 1, 1, 200, 1000]",1000000,347.389045,3.473890e-04,999,"[0, 0, 0, 0, 0]",1199,"[0, 0, 0, 1, 0]"
6,"[100, 1000, 2, 5, 10, 5]",3000000,7943.053165,2.647684e-03,999,"[0, 0, 0, 0, 0, 0]",1116,"[0, 99, 0, 4, 3, 2]"
7,"[50, 10, 5, 1000, 1000, 2, 5]",3500000000,2813094.508342,8.037413e-04,999,"[0, 0, 0, 0, 0, 0, 0]",2065,"[0, 9, 3, 12, 11, 0, 1]"
