n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[200, 1, 2]",1777902894,6,0.181222,3.020363e-02,199,"[0, 0, 0]",200,"[0, 0, 1]"
4,"[50, 200, 1, 200]",1777902894,160000,2.612110,1.632569e-05,199,"[0, 0, 0, 0]",447,"[0, 49, 0, 48]"
5,"[20, 1, 1, 5, 10]",1777902894,250,0.193613,7.744514e-04,19,"[0, 0, 0, 0, 0]",32,"[0, 0, 0, 4, 3]"
6,"[1, 5, 100, 10, 10, 1000]",1777902894,300000000,15.871882,5.290627e-08,999,"[0, 0, 0, 0, 0, 0]",1120,"[0, 0, 4, 3, 2, 21]"
3,"[5, 2, 5]",1777902895,30,0.193037,6.434574e-03,5,"[0, 0, 1]",9,"[0, 0, 0]"
4,"[100, 50, 20, 20]",1777902895,80000,1.417052,1.771315e-05,99,"[0, 0, 0, 0]",186,"[0, 49, 8, 7]"
5,"[1, 50, 5, 1000, 20]",1777902895,25000000,6.917670,2.767068e-07,999,"[0, 0, 0, 0, 0]",1071,"[0, 0, 4, 3, 2]"
6,"[50, 1, 10, 50, 1, 100]",1777902895,300000,1.624423,5.414742e-06,99,"[0, 0, 0, 0, 0, 0]",206,"[0, 0, 9, 8, 0, 7]"
3,"[1000, 20, 10]",1777902896,600,0.427712,7.128528e-04,999,"[0, 0, 0]",1027,"[0, 19, 8]"
4,"[1, 2, 20, 10]",1777902896,1600,0.187323,1.170770e-04,19,"[0, 0, 0, 0]",29,"[0, 0, 1, 0]"
5,"[5, 1, 1, 2, 500]",1777902896,5000,0.203327,4.066546e-05,499,"[0, 0, 0, 0, 0]",504,"[0, 0, 0, 0, 5]"
6,"[10, 2, 100, 50, 2, 20]",1777902896,2400000,1.655132,6.896384e-07,99,"[0, 0, 0, 0, 0, 0]",178,"[0, 1, 0, 49, 0, 9]"
3,"[5, 1000, 5]",1777902897,15000,0.238165,1.587767e-05,999,"[0, 0, 0]",1007,"[0, 4, 3]"
4,"[1, 200, 2, 10]",1777902897,16000,0.200459,1.252871e-05,199,"[0, 0, 0, 0]",209,"[0, 0, 1, 0]"
5,"[2, 20, 500, 10, 2]",1777902897,1000000,0.735124,7.351241e-07,499,"[0, 0, 0, 0, 0]",529,"[0, 1, 0, 9, 0]"
6,"[1, 20, 20, 20, 1, 100]",1777902897,4800000,1.297161,2.702419e-07,99,"[0, 0, 0, 0, 0, 0]",156,"[0, 0, 19, 18, 0, 17]"
3,"[2, 20, 100]",1777902898,6000,0.190596,3.176594e-05,99,"[0, 0, 0]",119,"[0, 1, 0]"
4,"[5, 50, 1000, 50]",1777902898,10000000,12.390739,1.239074e-06,999,"[0, 0, 0, 0]",1101,"[0, 4, 3, 2]"
5,"[100, 20, 5, 100, 1]",1777902898,50000,1.501225,3.002450e-05,99,"[0, 0, 0, 0, 0]",221,"[0, 19, 3, 22, 0]"
6,"[100, 500, 2, 1, 100, 5]",1777902898,3000000,8.211601,2.737200e-06,499,"[0, 0, 0, 0, 0, 0]",702,"[0, 99, 0, 0, 99, 3]"
3,"[50, 1000, 1000]",1777902899,3000000,11.812862,3.937621e-06,999,"[0, 0, 0]",2047,"[0, 49, 48]"
4,"[2, 1000, 500, 20]",1777902899,40000000,13.242639,3.310660e-07,999,"[0, 0, 0, 0]",1518,"[0, 1, 0, 19]"
5,"[20, 5, 5, 50, 2]",1777902899,12500,0.259976,2.079807e-05,59,"[0, 0, 0, 0, 0]",77,"[0, 4, 3, 7, 0]"
6,"[10, 200, 5, 500, 2, 5]",1777902899,30000000,14.051265,4.683755e-07,599,"[0, 0, 0, 0, 0, 0]",716,"[0, 9, 3, 12, 1, 2]"
3,"[200, 5, 50]",1777902900,750,0.258332,3.444427e-04,199,"[0, 0, 0]",252,"[0, 4, 3]"
