n,periods,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[10, 100, 20]",6000,0.042492,7.081968e-06,99,"[0, 0, 0]",127,"[0, 9, 8]"
4,"[20, 1, 200, 10]",8000,0.052660,6.582487e-06,199,"[0, 0, 0, 0]",227,"[0, 0, 19, 8]"
5,"[20, 1000, 200, 100, 100]",10000000000,3709.015909,3.709016e-07,999,"[0, 0, 0, 0, 0]",1415,"[0, 19, 18, 17, 16]"
6,"[5, 2, 50, 20, 50, 10]",6000000,0.798196,1.330326e-07,59,"[0, 0, 0, 0, 10, 0]",131,"[0, 0, 5, 4, 23, 2]"
7,"[20, 1000, 10, 50, 5, 2, 50]",1750000000,557.099563,3.183426e-07,999,"[0, 0, 0, 0, 0, 0, 0]",1130,"[0, 19, 8, 27, 1, 0, 31]"
