n,periods,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[500, 1000, 5]",15000,1.436510,9.576733e-05,999,"[0, 0, 0]",1502,"[0, 499, 3]"
4,"[1, 2, 100, 20]",16000,0.029742,1.858850e-06,99,"[0, 0, 0, 0]",119,"[0, 0, 1, 0]"
5,"[1, 500, 10, 100, 1]",2500000,0.369774,1.479095e-07,499,"[0, 0, 0, 0, 0]",607,"[0, 0, 9, 8, 0]"
6,"[1, 200, 500, 5, 500, 200]",300000000000,4537.467369,1.512489e-08,599,"[0, 0, 0, 0, 0, 0]",1400,"[0, 0, 99, 3, 102, 1]"
7,"[1000, 20, 2, 2, 2, 2, 5]",11200,1.310825,1.170379e-04,999,"[0, 0, 0, 0, 0, 0, 0]",1026,"[0, 19, 0, 1, 0, 1, 2]"
