n,periods,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[100, 200, 1]",600,1.378583,2.297638e-03,199,"[0, 0, 0]",298,"[0, 99, 0]"
4,"[200, 50, 2, 1000]",400000,3.147870,7.869675e-06,999,"[0, 0, 0, 0]",1248,"[0, 49, 0, 49]"
5,"[1, 500, 10, 500, 200]",2500000000,27.125477,1.085019e-08,599,"[0, 0, 0, 0, 0]",1206,"[0, 0, 9, 8, 7]"
6,"[100, 50, 2, 20, 10, 1]",120000,2.965214,2.471012e-05,99,"[0, 0, 0, 0, 0, 0]",177,"[0, 49, 0, 9, 8, 0]"
7,"[10, 50, 10, 100, 20, 20, 5]",700000000,570.575820,8.151083e-07,99,"[0, 0, 0, 0, 0, 0, 0]",208,"[0, 9, 8, 17, 16, 15, 4]"
