seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016037,10,0.0,0.0,353.0,,,1.0,0,0.5
1755016037,10,0.02,0.0,353.1738494403908,,,1.0,0,0.5
1755016037,10,0.05,0.0,373.3331557595702,,,1.0,0,0.5
1755016037,10,0.1,0.0,383.3331254367731,,,1.0,0,0.5
1755016037,10,0.2,0.0,432.2419805074678,,,1.0,0,0.5
1755016037,10,0.3,0.0,438.287392997805,,,1.0,0,0.5
1755016037,10,0.4,0.0,451.9317733868084,,,1.0,0,1.0
1755016037,10,0.5,0.0,457.610352495364,,,1.0,0,1.0
1755016038,10,0.0,4322.0,3544.0,0.8199907450254512,safe,0.0,"(0, 1)",0.5
1755016038,10,0.02,4348.54,4225.019256714048,0.9715948931627738,safe,0.0,"(0, 1)",0.5
1755016038,10,0.05,4388.35,4217.975361076347,0.9611756949824756,safe,0.0,"(0, 1)",0.5
1755016038,10,0.1,4454.700000000001,4179.99007816843,0.938332565193712,safe,0.0,"(0, 1)",0.5
1755016038,10,0.2,4587.4,4379.939317603033,0.9547759771554764,safe,0.0,"(0, 1)",0.5
1755016038,10,0.3,4720.1,4414.241494414209,0.9352008420190692,safe,0.0,"(0, 1)",0.5
1755016038,10,0.4,0.0,4518.9134715118025,,,1.0,0,1.0
1755016038,10,0.5,0.0,4620.961986688181,,,1.0,0,1.0
