periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[2, 2, 2]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,3,2.5,0.5,3,"[(2, 1), (3, 1)]"
"[2, 2, 3]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,4,2.5,0.957,3,"[(1, 1), (2, 2), (3, 2), (4, 1)]"
"[2, 2, 4]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,5,3.5,1.118,3,"[(2, 1), (3, 1), (4, 1), (5, 1)]"
"[2, 2, 5]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,6,3.5,1.5,3,"[(1, 1), (2, 2), (3, 2), (4, 2), (5, 2), (6, 1)]"
"[2, 2, 6]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,7,4.5,1.708,3,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]"
"[2, 2, 7]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,8,4.5,2.062,3,"[(1, 1), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 1)]"
"[2, 2, 8]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,9,5.5,2.291,3,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
"[2, 2, 9]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,10,5.5,2.63,3,"[(1, 1), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 1)]"
"[2, 2, 10]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,11,6.5,2.872,3,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[2, 2, 11]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,12,6.5,3.202,3,"[(1, 1), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 1)]"
"[2, 2, 12]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,13,7.5,3.452,3,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[2, 3, 2]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,4,2.167,1.067,3,"[(1, 2), (2, 2), (3, 1), (4, 1)]"
"[2, 3, 3]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,5,3.5,0.957,3,"[(2, 1), (3, 2), (4, 2), (5, 1)]"
"[2, 3, 4]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,6,3.167,1.462,3,"[(1, 2), (2, 2), (3, 3), (4, 3), (5, 1), (6, 1)]"
"[2, 3, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,7,3.5,1.708,3,"[(0, 1), (1, 3), (2, 5), (3, 6), (4, 6), (5, 5), (6, 3), (7, 1)]"
"[2, 3, 6]",1755016037,"[0, 0, 5]","[0, 0, 5]",3,8,5.5,1.708,3,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]"
"[2, 3, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,9,4.5,2.217,3,"[(0, 1), (1, 3), (2, 5), (3, 6), (4, 6), (5, 6), (6, 6), (7, 5), (8, 3), (9, 1)]"
"[2, 3, 8]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,10,5.167,2.478,3,"[(1, 2), (2, 2), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 1), (10, 1)]"
"[2, 3, 9]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,11,6.5,2.63,3,"[(2, 1), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 1)]"
"[2, 3, 10]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,12,6.167,3.023,3,"[(1, 2), (2, 2), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 1), (12, 1)]"
"[2, 3, 11]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,13,6.5,3.304,3,"[(0, 1), (1, 3), (2, 5), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 5), (12, 3), (13, 1)]"
"[2, 3, 12]",1755016037,"[0, 0, 5]","[0, 0, 5]",3,14,8.5,3.452,3,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[2, 4, 2]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,5,3.5,1.118,3,"[(2, 1), (3, 1), (4, 1), (5, 1)]"
"[2, 4, 3]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,6,3.5,1.384,3,"[(1, 1), (2, 2), (3, 3), (4, 3), (5, 2), (6, 1)]"
"[2, 4, 4]",1755016037,"[0, 1, 0]","[0, 1, 0]",4,7,5.5,1.118,3,"[(4, 1), (5, 1), (6, 1), (7, 1)]"
"[2, 4, 5]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,8,4.5,1.803,3,"[(1, 1), (2, 2), (3, 3), (4, 4), (5, 4), (6, 3), (7, 2), (8, 1)]"
"[2, 4, 6]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,9,5.5,1.979,3,"[(2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 2), (8, 1), (9, 1)]"
"[2, 4, 7]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,10,5.5,2.291,3,"[(1, 1), (2, 2), (3, 3), (4, 4), (5, 4), (6, 4), (7, 4), (8, 3), (9, 2), (10, 1)]"
"[2, 4, 8]",1755016037,"[0, 1, 0]","[0, 1, 0]",4,11,7.5,2.291,3,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[2, 4, 9]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,12,6.5,2.814,3,"[(1, 1), (2, 2), (3, 3), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 3), (11, 2), (12, 1)]"
"[2, 4, 10]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,13,7.5,3.041,3,"[(2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 1), (13, 1)]"
"[2, 4, 11]",1755016037,"[0, 1, 0]","[0, 1, 0]",1,14,7.5,3.354,3,"[(1, 1), (2, 2), (3, 3), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 3), (13, 2), (14, 1)]"
"[2, 4, 12]",1755016037,"[0, 1, 0]","[0, 1, 0]",4,15,9.5,3.452,3,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[2, 5, 2]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,6,3.1,1.578,3,"[(1, 2), (2, 2), (3, 2), (4, 2), (5, 1), (6, 1)]"
"[2, 5, 3]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,7,3.5,1.708,3,"[(0, 1), (1, 3), (2, 5), (3, 6), (4, 6), (5, 5), (6, 3), (7, 1)]"
"[2, 5, 4]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,8,4.1,1.868,3,"[(1, 2), (2, 2), (3, 4), (4, 4), (5, 3), (6, 3), (7, 1), (8, 1)]"
"[2, 5, 5]",1755016037,"[0, 0, 4]","[0, 0, 4]",4,9,6.5,1.5,3,"[(4, 1), (5, 2), (6, 2), (7, 2), (8, 2), (9, 1)]"
"[2, 5, 6]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,10,5.1,2.271,3,"[(1, 2), (2, 2), (3, 4), (4, 4), (5, 5), (6, 5), (7, 3), (8, 3), (9, 1), (10, 1)]"
"[2, 5, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,11,5.5,2.5,3,"[(0, 1), (1, 3), (2, 5), (3, 7), (4, 9), (5, 10), (6, 10), (7, 9), (8, 7), (9, 5), (10, 3), (11, 1)]"
"[2, 5, 8]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,12,6.1,2.737,3,"[(1, 2), (2, 2), (3, 4), (4, 4), (5, 5), (6, 5), (7, 5), (8, 5), (9, 3), (10, 3), (11, 1), (12, 1)]"
"[2, 5, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,13,6.5,2.986,3,"[(0, 1), (1, 3), (2, 5), (3, 7), (4, 9), (5, 10), (6, 10), (7, 10), (8, 10), (9, 9), (10, 7), (11, 5), (12, 3), (13, 1)]"
