periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[15, 10, 9]",1755016051,"[0, 1, 4]","[0, 1, 4]",1,27,14.0,5.802,7,"[(1, 1), (2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 4), (8, 4), (9, 4), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 5), (17, 5), (18, 5), (19, 4), (20, 4), (21, 4), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016052,"[0, 1, 5]","[0, 1, 5]",2,28,15.0,5.802,6,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 4), (9, 4), (10, 4), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 4), (21, 4), (22, 4), (23, 2), (24, 2), (25, 2), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 9]",1755016053,"[0, 1, 6]","[0, 1, 6]",3,26,14.5,5.188,8,"[(3, 1), (4, 1), (5, 1), (6, 3), (7, 3), (8, 3), (9, 5), (10, 5), (11, 5), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 3), (22, 3), (23, 3), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 9]",1755016054,"[0, 1, 7]","[0, 1, 7]",1,27,14.0,5.802,7,"[(1, 1), (2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 4), (8, 4), (9, 4), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 5), (17, 5), (18, 5), (19, 4), (20, 4), (21, 4), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016055,"[0, 1, 8]","[0, 1, 8]",2,28,15.0,5.802,6,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 4), (9, 4), (10, 4), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 4), (21, 4), (22, 4), (23, 2), (24, 2), (25, 2), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 9]",1755016056,"[0, 1, 9]","[0, 1, 9]",3,26,14.5,5.188,8,"[(3, 1), (4, 1), (5, 1), (6, 3), (7, 3), (8, 3), (9, 5), (10, 5), (11, 5), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 3), (22, 3), (23, 3), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 9]",1755016057,"[0, 2, 0]","[0, 2, 0]",3,29,16.0,5.802,5,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 4), (10, 4), (11, 4), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 4), (22, 4), (23, 4), (24, 2), (25, 2), (26, 2), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016058,"[0, 2, 1]","[0, 2, 1]",4,27,15.5,5.188,7,"[(4, 1), (5, 1), (6, 1), (7, 3), (8, 3), (9, 3), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 3), (23, 3), (24, 3), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016059,"[0, 2, 2]","[0, 2, 2]",2,28,15.0,5.802,6,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 4), (9, 4), (10, 4), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 4), (21, 4), (22, 4), (23, 2), (24, 2), (25, 2), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 9]",1755016060,"[0, 2, 3]","[0, 2, 3]",3,29,16.0,5.802,5,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 4), (10, 4), (11, 4), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 4), (22, 4), (23, 4), (24, 2), (25, 2), (26, 2), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016061,"[0, 2, 4]","[0, 2, 4]",4,27,15.5,5.188,7,"[(4, 1), (5, 1), (6, 1), (7, 3), (8, 3), (9, 3), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 3), (23, 3), (24, 3), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016062,"[0, 2, 5]","[0, 2, 5]",2,28,15.0,5.802,6,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 4), (9, 4), (10, 4), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 4), (21, 4), (22, 4), (23, 2), (24, 2), (25, 2), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 9]",1755016063,"[0, 2, 6]","[0, 2, 6]",3,29,16.0,5.802,5,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 4), (10, 4), (11, 4), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 4), (22, 4), (23, 4), (24, 2), (25, 2), (26, 2), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016064,"[0, 2, 7]","[0, 2, 7]",4,27,15.5,5.188,7,"[(4, 1), (5, 1), (6, 1), (7, 3), (8, 3), (9, 3), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 3), (23, 3), (24, 3), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016065,"[0, 2, 8]","[0, 2, 8]",2,28,15.0,5.802,6,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 4), (9, 4), (10, 4), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 4), (21, 4), (22, 4), (23, 2), (24, 2), (25, 2), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 9]",1755016066,"[0, 2, 9]","[0, 2, 9]",3,29,16.0,5.802,5,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 4), (10, 4), (11, 4), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 4), (22, 4), (23, 4), (24, 2), (25, 2), (26, 2), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016067,"[0, 3, 0]","[0, 3, 0]",3,29,16.0,5.802,5,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 4), (10, 4), (11, 4), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 4), (22, 4), (23, 4), (24, 2), (25, 2), (26, 2), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016068,"[0, 3, 1]","[0, 3, 1]",4,30,17.0,5.802,4,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 4), (11, 4), (12, 4), (13, 5), (14, 5), (15, 5), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 4), (23, 4), (24, 4), (25, 2), (26, 2), (27, 2), (28, 1), (29, 1), (30, 1)]"
"[15, 10, 9]",1755016069,"[0, 3, 2]","[0, 3, 2]",5,28,16.5,5.188,6,"[(5, 1), (6, 1), (7, 1), (8, 3), (9, 3), (10, 3), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 5), (21, 5), (22, 5), (23, 3), (24, 3), (25, 3), (26, 1), (27, 1), (28, 1)]"
