periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[2, 5, 10]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,9,4.5,2.872,8,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
"[2, 5, 10]",1755016038,"[0, 0, 1]","[0, 0, 1]",1,10,5.5,2.872,7,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[2, 5, 10]",1755016039,"[0, 0, 2]","[0, 0, 2]",2,11,6.5,2.872,6,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[2, 5, 10]",1755016040,"[0, 0, 3]","[0, 0, 3]",3,12,7.5,2.872,5,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[2, 5, 10]",1755016041,"[0, 0, 4]","[0, 0, 4]",4,13,8.5,2.872,4,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[2, 5, 10]",1755016042,"[0, 0, 5]","[0, 0, 5]",1,10,5.5,2.872,7,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[2, 5, 10]",1755016043,"[0, 0, 6]","[0, 0, 6]",2,11,6.5,2.872,6,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[2, 5, 10]",1755016044,"[0, 0, 7]","[0, 0, 7]",3,12,7.5,2.872,5,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[2, 5, 10]",1755016045,"[0, 0, 8]","[0, 0, 8]",4,13,8.5,2.872,4,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[2, 5, 10]",1755016046,"[0, 0, 9]","[0, 0, 9]",5,14,9.5,2.872,3,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[2, 5, 10]",1755016047,"[0, 0, 10]","[0, 0, 10]",0,9,4.5,2.872,8,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
"[2, 5, 10]",1755016048,"[0, 1, 0]","[0, 1, 0]",4,13,8.5,2.872,4,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[2, 5, 10]",1755016049,"[0, 1, 1]","[0, 1, 1]",1,10,5.5,2.872,7,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[2, 5, 10]",1755016050,"[0, 1, 2]","[0, 1, 2]",2,11,6.5,2.872,6,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[2, 5, 10]",1755016051,"[0, 1, 3]","[0, 1, 3]",3,12,7.5,2.872,5,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[2, 5, 10]",1755016052,"[0, 1, 4]","[0, 1, 4]",4,13,8.5,2.872,4,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
