periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[4, 12, 6]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,11,5.5,3.452,11,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[4, 12, 6]",1755016038,"[0, 0, 1]","[0, 0, 1]",1,12,6.5,3.452,10,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[4, 12, 6]",1755016039,"[0, 0, 2]","[0, 0, 2]",2,13,7.5,3.452,9,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[4, 12, 6]",1755016040,"[0, 0, 3]","[0, 0, 3]",3,14,8.5,3.452,8,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[4, 12, 6]",1755016041,"[0, 0, 4]","[0, 0, 4]",4,15,9.5,3.452,7,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[4, 12, 6]",1755016042,"[0, 0, 5]","[0, 0, 5]",5,16,10.5,3.452,6,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1)]"
"[4, 12, 6]",1755016043,"[0, 0, 6]","[0, 0, 6]",0,11,5.5,3.452,11,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[4, 12, 6]",1755016044,"[0, 1, 0]","[0, 1, 0]",6,17,11.5,3.452,5,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1)]"
"[4, 12, 6]",1755016045,"[0, 1, 1]","[0, 1, 1]",1,12,6.5,3.452,10,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[4, 12, 6]",1755016046,"[0, 1, 2]","[0, 1, 2]",2,13,7.5,3.452,9,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[4, 12, 6]",1755016047,"[0, 1, 3]","[0, 1, 3]",3,14,8.5,3.452,8,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[4, 12, 6]",1755016048,"[0, 1, 4]","[0, 1, 4]",4,15,9.5,3.452,7,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[4, 12, 6]",1755016049,"[0, 1, 5]","[0, 1, 5]",5,16,10.5,3.452,6,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1)]"
