periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[8, 8, 8]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,7,3.5,2.291,17,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]"
"[8, 8, 8]",1755016038,"[0, 0, 1]","[0, 0, 1]",1,8,4.5,2.291,16,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]"
"[8, 8, 8]",1755016039,"[0, 0, 2]","[0, 0, 2]",2,9,5.5,2.291,15,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
"[8, 8, 8]",1755016040,"[0, 0, 3]","[0, 0, 3]",3,10,6.5,2.291,14,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[8, 8, 8]",1755016041,"[0, 0, 4]","[0, 0, 4]",4,11,7.5,2.291,13,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[8, 8, 8]",1755016042,"[0, 0, 5]","[0, 0, 5]",5,12,8.5,2.291,12,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[8, 8, 8]",1755016043,"[0, 0, 6]","[0, 0, 6]",6,13,9.5,2.291,11,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[8, 8, 8]",1755016044,"[0, 0, 7]","[0, 0, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016045,"[0, 0, 8]","[0, 0, 8]",0,7,3.5,2.291,17,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]"
"[8, 8, 8]",1755016046,"[0, 1, 0]","[0, 1, 0]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016047,"[0, 1, 1]","[0, 1, 1]",1,8,4.5,2.291,16,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]"
"[8, 8, 8]",1755016048,"[0, 1, 2]","[0, 1, 2]",2,9,5.5,2.291,15,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
"[8, 8, 8]",1755016049,"[0, 1, 3]","[0, 1, 3]",3,10,6.5,2.291,14,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[8, 8, 8]",1755016050,"[0, 1, 4]","[0, 1, 4]",4,11,7.5,2.291,13,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[8, 8, 8]",1755016051,"[0, 1, 5]","[0, 1, 5]",5,12,8.5,2.291,12,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[8, 8, 8]",1755016052,"[0, 1, 6]","[0, 1, 6]",6,13,9.5,2.291,11,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[8, 8, 8]",1755016053,"[0, 1, 7]","[0, 1, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016054,"[0, 1, 8]","[0, 1, 8]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016055,"[0, 2, 0]","[0, 2, 0]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016056,"[0, 2, 1]","[0, 2, 1]",9,16,12.5,2.291,8,"[(9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1)]"
"[8, 8, 8]",1755016057,"[0, 2, 2]","[0, 2, 2]",2,9,5.5,2.291,15,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
"[8, 8, 8]",1755016058,"[0, 2, 3]","[0, 2, 3]",3,10,6.5,2.291,14,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[8, 8, 8]",1755016059,"[0, 2, 4]","[0, 2, 4]",4,11,7.5,2.291,13,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[8, 8, 8]",1755016060,"[0, 2, 5]","[0, 2, 5]",5,12,8.5,2.291,12,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[8, 8, 8]",1755016061,"[0, 2, 6]","[0, 2, 6]",6,13,9.5,2.291,11,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[8, 8, 8]",1755016062,"[0, 2, 7]","[0, 2, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016063,"[0, 2, 8]","[0, 2, 8]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016064,"[0, 3, 0]","[0, 3, 0]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016065,"[0, 3, 1]","[0, 3, 1]",9,16,12.5,2.291,8,"[(9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1)]"
"[8, 8, 8]",1755016066,"[0, 3, 2]","[0, 3, 2]",10,17,13.5,2.291,7,"[(10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1)]"
"[8, 8, 8]",1755016067,"[0, 3, 3]","[0, 3, 3]",3,10,6.5,2.291,14,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[8, 8, 8]",1755016068,"[0, 3, 4]","[0, 3, 4]",4,11,7.5,2.291,13,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[8, 8, 8]",1755016069,"[0, 3, 5]","[0, 3, 5]",5,12,8.5,2.291,12,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[8, 8, 8]",1755016070,"[0, 3, 6]","[0, 3, 6]",6,13,9.5,2.291,11,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[8, 8, 8]",1755016071,"[0, 3, 7]","[0, 3, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016072,"[0, 3, 8]","[0, 3, 8]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016073,"[0, 4, 0]","[0, 4, 0]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016074,"[0, 4, 1]","[0, 4, 1]",9,16,12.5,2.291,8,"[(9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1)]"
"[8, 8, 8]",1755016075,"[0, 4, 2]","[0, 4, 2]",10,17,13.5,2.291,7,"[(10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1)]"
"[8, 8, 8]",1755016076,"[0, 4, 3]","[0, 4, 3]",11,18,14.5,2.291,6,"[(11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]"
"[8, 8, 8]",1755016077,"[0, 4, 4]","[0, 4, 4]",4,11,7.5,2.291,13,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[8, 8, 8]",1755016078,"[0, 4, 5]","[0, 4, 5]",5,12,8.5,2.291,12,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[8, 8, 8]",1755016079,"[0, 4, 6]","[0, 4, 6]",6,13,9.5,2.291,11,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[8, 8, 8]",1755016080,"[0, 4, 7]","[0, 4, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016081,"[0, 4, 8]","[0, 4, 8]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016082,"[0, 5, 0]","[0, 5, 0]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016083,"[0, 5, 1]","[0, 5, 1]",9,16,12.5,2.291,8,"[(9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1)]"
"[8, 8, 8]",1755016084,"[0, 5, 2]","[0, 5, 2]",10,17,13.5,2.291,7,"[(10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1)]"
"[8, 8, 8]",1755016085,"[0, 5, 3]","[0, 5, 3]",11,18,14.5,2.291,6,"[(11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]"
"[8, 8, 8]",1755016086,"[0, 5, 4]","[0, 5, 4]",12,19,15.5,2.291,5,"[(12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1)]"
"[8, 8, 8]",1755016087,"[0, 5, 5]","[0, 5, 5]",5,12,8.5,2.291,12,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[8, 8, 8]",1755016088,"[0, 5, 6]","[0, 5, 6]",6,13,9.5,2.291,11,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[8, 8, 8]",1755016089,"[0, 5, 7]","[0, 5, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016090,"[0, 5, 8]","[0, 5, 8]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016091,"[0, 6, 0]","[0, 6, 0]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016092,"[0, 6, 1]","[0, 6, 1]",9,16,12.5,2.291,8,"[(9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1)]"
"[8, 8, 8]",1755016093,"[0, 6, 2]","[0, 6, 2]",10,17,13.5,2.291,7,"[(10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1)]"
"[8, 8, 8]",1755016094,"[0, 6, 3]","[0, 6, 3]",11,18,14.5,2.291,6,"[(11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]"
"[8, 8, 8]",1755016095,"[0, 6, 4]","[0, 6, 4]",12,19,15.5,2.291,5,"[(12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1)]"
"[8, 8, 8]",1755016096,"[0, 6, 5]","[0, 6, 5]",13,20,16.5,2.291,4,"[(13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1)]"
"[8, 8, 8]",1755016097,"[0, 6, 6]","[0, 6, 6]",6,13,9.5,2.291,11,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[8, 8, 8]",1755016098,"[0, 6, 7]","[0, 6, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016099,"[0, 6, 8]","[0, 6, 8]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016100,"[0, 7, 0]","[0, 7, 0]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016101,"[0, 7, 1]","[0, 7, 1]",9,16,12.5,2.291,8,"[(9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1)]"
"[8, 8, 8]",1755016102,"[0, 7, 2]","[0, 7, 2]",10,17,13.5,2.291,7,"[(10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1)]"
"[8, 8, 8]",1755016103,"[0, 7, 3]","[0, 7, 3]",11,18,14.5,2.291,6,"[(11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]"
"[8, 8, 8]",1755016104,"[0, 7, 4]","[0, 7, 4]",12,19,15.5,2.291,5,"[(12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1)]"
"[8, 8, 8]",1755016105,"[0, 7, 5]","[0, 7, 5]",13,20,16.5,2.291,4,"[(13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1)]"
"[8, 8, 8]",1755016106,"[0, 7, 6]","[0, 7, 6]",14,21,17.5,2.291,3,"[(14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1)]"
"[8, 8, 8]",1755016107,"[0, 7, 7]","[0, 7, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016108,"[0, 7, 8]","[0, 7, 8]",8,15,11.5,2.291,9,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]"
"[8, 8, 8]",1755016109,"[0, 8, 0]","[0, 8, 0]",0,7,3.5,2.291,17,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]"
"[8, 8, 8]",1755016110,"[0, 8, 1]","[0, 8, 1]",1,8,4.5,2.291,16,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]"
"[8, 8, 8]",1755016111,"[0, 8, 2]","[0, 8, 2]",2,9,5.5,2.291,15,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
"[8, 8, 8]",1755016112,"[0, 8, 3]","[0, 8, 3]",3,10,6.5,2.291,14,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[8, 8, 8]",1755016113,"[0, 8, 4]","[0, 8, 4]",4,11,7.5,2.291,13,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[8, 8, 8]",1755016114,"[0, 8, 5]","[0, 8, 5]",5,12,8.5,2.291,12,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
"[8, 8, 8]",1755016115,"[0, 8, 6]","[0, 8, 6]",6,13,9.5,2.291,11,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]"
"[8, 8, 8]",1755016116,"[0, 8, 7]","[0, 8, 7]",7,14,10.5,2.291,10,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1)]"
"[8, 8, 8]",1755016117,"[0, 8, 8]","[0, 8, 8]",0,7,3.5,2.291,17,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]"
