periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[6, 6, 6]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,5,2.5,1.708,13,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]"
"[6, 6, 6]",1755016038,"[0, 0, 1]","[0, 0, 1]",1,6,3.5,1.708,12,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1)]"
"[6, 6, 6]",1755016039,"[0, 0, 2]","[0, 0, 2]",2,7,4.5,1.708,11,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]"
"[6, 6, 6]",1755016040,"[0, 0, 3]","[0, 0, 3]",3,8,5.5,1.708,10,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]"
"[6, 6, 6]",1755016041,"[0, 0, 4]","[0, 0, 4]",4,9,6.5,1.708,9,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
"[6, 6, 6]",1755016042,"[0, 0, 5]","[0, 0, 5]",5,10,7.5,1.708,8,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)]"
"[6, 6, 6]",1755016043,"[0, 0, 6]","[0, 0, 6]",0,5,2.5,1.708,13,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]"
"[6, 6, 6]",1755016044,"[0, 1, 0]","[0, 1, 0]",6,11,8.5,1.708,7,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]"
"[6, 6, 6]",1755016045,"[0, 1, 1]","[0, 1, 1]",1,6,3.5,1.708,12,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1)]"
"[6, 6, 6]",1755016046,"[0, 1, 2]","[0, 1, 2]",2,7,4.5,1.708,11,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]"
"[6, 6, 6]",1755016047,"[0, 1, 3]","[0, 1, 3]",3,8,5.5,1.708,10,"[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]"
"[6, 6, 6]",1755016048,"[0, 1, 4]","[0, 1, 4]",4,9,6.5,1.708,9,"[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]"
