periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[6, 7, 8]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016038,"[0, 0, 1]","[0, 0, 1]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016039,"[0, 0, 2]","[0, 0, 2]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016040,"[0, 0, 3]","[0, 0, 3]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016041,"[0, 0, 4]","[0, 0, 4]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016042,"[0, 0, 5]","[0, 0, 5]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016043,"[0, 0, 6]","[0, 0, 6]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016044,"[0, 0, 7]","[0, 0, 7]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016045,"[0, 0, 8]","[0, 0, 8]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016046,"[0, 1, 0]","[0, 1, 0]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016047,"[0, 1, 1]","[0, 1, 1]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016048,"[0, 1, 2]","[0, 1, 2]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016049,"[0, 1, 3]","[0, 1, 3]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016050,"[0, 1, 4]","[0, 1, 4]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016051,"[0, 1, 5]","[0, 1, 5]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016052,"[0, 1, 6]","[0, 1, 6]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016053,"[0, 1, 7]","[0, 1, 7]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016054,"[0, 1, 8]","[0, 1, 8]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016055,"[0, 2, 0]","[0, 2, 0]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016056,"[0, 2, 1]","[0, 2, 1]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016057,"[0, 2, 2]","[0, 2, 2]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016058,"[0, 2, 3]","[0, 2, 3]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016059,"[0, 2, 4]","[0, 2, 4]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016060,"[0, 2, 5]","[0, 2, 5]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016061,"[0, 2, 6]","[0, 2, 6]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016062,"[0, 2, 7]","[0, 2, 7]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016063,"[0, 2, 8]","[0, 2, 8]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016064,"[0, 3, 0]","[0, 3, 0]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016065,"[0, 3, 1]","[0, 3, 1]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016066,"[0, 3, 2]","[0, 3, 2]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016067,"[0, 3, 3]","[0, 3, 3]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016068,"[0, 3, 4]","[0, 3, 4]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016069,"[0, 3, 5]","[0, 3, 5]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016070,"[0, 3, 6]","[0, 3, 6]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016071,"[0, 3, 7]","[0, 3, 7]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016072,"[0, 3, 8]","[0, 3, 8]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016073,"[0, 4, 0]","[0, 4, 0]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016074,"[0, 4, 1]","[0, 4, 1]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016075,"[0, 4, 2]","[0, 4, 2]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016076,"[0, 4, 3]","[0, 4, 3]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016077,"[0, 4, 4]","[0, 4, 4]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016078,"[0, 4, 5]","[0, 4, 5]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016079,"[0, 4, 6]","[0, 4, 6]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016080,"[0, 4, 7]","[0, 4, 7]",1,18,9.071,3.487,3,"[(1, 2), (2, 2), (3, 6), (4, 6), (5, 12), (6, 12), (7, 17), (8, 17), (9, 18), (10, 18), (11, 15), (12, 15), (13, 9), (14, 9), (15, 4), (16, 4), (17, 1), (18, 1)]"
"[6, 7, 8]",1755016081,"[0, 4, 8]","[0, 4, 8]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
"[6, 7, 8]",1755016082,"[0, 5, 0]","[0, 5, 0]",0,17,8.929,3.487,4,"[(0, 1), (1, 1), (2, 4), (3, 4), (4, 9), (5, 9), (6, 15), (7, 15), (8, 18), (9, 18), (10, 17), (11, 17), (12, 12), (13, 12), (14, 6), (15, 6), (16, 2), (17, 2)]"
