periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[7, 8, 8]",1755016037,"[0, 0, 7]","[0, 0, 7]",7,20,25.643,16.895,3,"[(7, 1), (8, 4), (9, 5), (10, 7), (11, 9), (12, 11), (13, 13), (14, 13), (15, 12), (16, 10), (17, 8), (18, 6), (19, 4), (20, 2)]"
"[7, 8, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,21,21.0,15.885,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 42), (6, 56), (7, 70), (8, 82), (9, 90), (10, 94), (11, 94), (12, 90), (13, 82), (14, 70), (15, 56), (16, 42), (17, 30), (18, 20), (19, 12), (20, 6), (21, 2)]"
"[7, 8, 10]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,22,22.996,17.237,3,"[(1, 1), (2, 4), (3, 8), (4, 12), (5, 18), (6, 24), (7, 32), (8, 38), (9, 44), (10, 48), (11, 50), (12, 50), (13, 48), (14, 44), (15, 38), (16, 32), (17, 24), (18, 18), (19, 12), (20, 8), (21, 4), (22, 2)]"
"[7, 9, 3]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,16,17.81,13.1,3,"[(2, 1), (3, 4), (4, 6), (5, 8), (6, 10), (7, 12), (8, 14), (9, 14), (10, 13), (11, 12), (12, 10), (13, 8), (14, 6), (15, 4), (16, 2)]"
"[7, 9, 4]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,17,17.0,12.974,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 28), (5, 36), (6, 44), (7, 50), (8, 54), (9, 54), (10, 50), (11, 44), (12, 36), (13, 28), (14, 20), (15, 12), (16, 6), (17, 2)]"
"[7, 9, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,18,18.0,13.687,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 40), (6, 50), (7, 58), (8, 64), (9, 66), (10, 64), (11, 58), (12, 50), (13, 40), (14, 30), (15, 20), (16, 12), (17, 6), (18, 2)]"
"[7, 9, 6]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,19,20.881,15.429,3,"[(2, 1), (3, 4), (4, 6), (5, 10), (6, 14), (7, 18), (8, 22), (9, 24), (10, 26), (11, 26), (12, 24), (13, 21), (14, 18), (15, 14), (16, 10), (17, 6), (18, 4), (19, 2)]"
"[7, 9, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,20,20.0,15.158,3,"[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2), (20, 2)]"
"[7, 9, 8]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,21,21.0,15.885,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 42), (6, 56), (7, 70), (8, 82), (9, 90), (10, 94), (11, 94), (12, 90), (13, 82), (14, 70), (15, 56), (16, 42), (17, 30), (18, 20), (19, 12), (20, 6), (21, 2)]"
"[7, 9, 9]",1755016037,"[0, 0, 8]","[0, 0, 8]",8,22,28.429,18.667,3,"[(8, 1), (9, 4), (10, 5), (11, 7), (12, 9), (13, 11), (14, 13), (15, 13), (16, 13), (17, 12), (18, 10), (19, 8), (20, 6), (21, 4), (22, 2)]"
"[7, 9, 10]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,23,23.0,17.388,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 42), (6, 56), (7, 70), (8, 84), (9, 96), (10, 104), (11, 108), (12, 108), (13, 104), (14, 96), (15, 84), (16, 70), (17, 56), (18, 42), (19, 30), (20, 20), (21, 12), (22, 6), (23, 2)]"
"[7, 10, 3]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,17,17.0,13.051,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 24), (5, 30), (6, 36), (7, 40), (8, 42), (9, 42), (10, 40), (11, 36), (12, 30), (13, 24), (14, 18), (15, 12), (16, 6), (17, 2)]"
"[7, 10, 4]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,18,18.993,14.297,3,"[(1, 1), (2, 4), (3, 8), (4, 12), (5, 16), (6, 20), (7, 24), (8, 26), (9, 28), (10, 28), (11, 26), (12, 24), (13, 20), (14, 16), (15, 12), (16, 8), (17, 4), (18, 2)]"
"[7, 10, 5]",1755016037,"[0, 0, 4]","[0, 0, 4]",4,19,22.429,15.932,3,"[(4, 1), (5, 4), (6, 6), (7, 8), (8, 10), (9, 12), (10, 14), (11, 13), (12, 13), (13, 13), (14, 12), (15, 10), (16, 8), (17, 6), (18, 4), (19, 2)]"
"[7, 10, 6]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,20,20.995,15.755,3,"[(1, 1), (2, 4), (3, 8), (4, 12), (5, 18), (6, 24), (7, 30), (8, 34), (9, 38), (10, 40), (11, 40), (12, 38), (13, 34), (14, 30), (15, 24), (16, 18), (17, 12), (18, 8), (19, 4), (20, 2)]"
