periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[15, 10, 12]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,29,14.5,6.922,8,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 12]",1755016038,"[0, 0, 1]","[0, 0, 1]",1,30,15.5,6.922,7,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1)]"
"[15, 10, 12]",1755016039,"[0, 0, 2]","[0, 0, 2]",2,25,13.5,5.47,12,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 3), (18, 3), (19, 3), (20, 2), (21, 2), (22, 2), (23, 1), (24, 1), (25, 1)]"
"[15, 10, 12]",1755016040,"[0, 0, 3]","[0, 0, 3]",3,26,14.5,5.47,11,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 3), (10, 3), (11, 3), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (18, 3), (19, 3), (20, 3), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 12]",1755016041,"[0, 0, 4]","[0, 0, 4]",4,27,15.5,5.47,10,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 3), (11, 3), (12, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (18, 4), (19, 3), (20, 3), (21, 3), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 12]",1755016042,"[0, 0, 5]","[0, 0, 5]",5,28,16.5,5.47,9,"[(5, 1), (6, 1), (7, 1), (8, 2), (9, 2), (10, 2), (11, 3), (12, 3), (13, 3), (14, 4), (15, 4), (16, 4), (17, 4), (18, 4), (19, 4), (20, 3), (21, 3), (22, 3), (23, 2), (24, 2), (25, 2), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 12]",1755016043,"[0, 0, 6]","[0, 0, 6]",0,29,14.5,6.922,8,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 12]",1755016044,"[0, 0, 7]","[0, 0, 7]",1,30,15.5,6.922,7,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1)]"
"[15, 10, 12]",1755016045,"[0, 0, 8]","[0, 0, 8]",2,25,13.5,5.47,12,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 3), (18, 3), (19, 3), (20, 2), (21, 2), (22, 2), (23, 1), (24, 1), (25, 1)]"
"[15, 10, 12]",1755016046,"[0, 0, 9]","[0, 0, 9]",3,26,14.5,5.47,11,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 3), (10, 3), (11, 3), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (18, 3), (19, 3), (20, 3), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 12]",1755016047,"[0, 0, 10]","[0, 0, 10]",4,27,15.5,5.47,10,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 3), (11, 3), (12, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (18, 4), (19, 3), (20, 3), (21, 3), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 12]",1755016048,"[0, 0, 11]","[0, 0, 11]",5,28,16.5,5.47,9,"[(5, 1), (6, 1), (7, 1), (8, 2), (9, 2), (10, 2), (11, 3), (12, 3), (13, 3), (14, 4), (15, 4), (16, 4), (17, 4), (18, 4), (19, 4), (20, 3), (21, 3), (22, 3), (23, 2), (24, 2), (25, 2), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 12]",1755016049,"[0, 0, 12]","[0, 0, 12]",0,29,14.5,6.922,8,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1)]"
