n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
9,"[100, 2, 10, 5, 5, 100, 2, 100, 1]",58,90000000,86509.665261,9.612185e-04,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",316.000,"[0, 1, 0, 4, 3, 17, 0, 17, 0]"
10,"[5, 10, 200, 20, 1, 2, 5, 2, 1, 2]",58,16000000,1599.557406,9.997234e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",238.000,"[0, 4, 3, 2, 0, 1, 2, 0, 0, 1]"
3,"[2, 100, 500]",59,150000,254.273692,1.695158e-03,499.000,"[0, 0, 0]",599.000,"[0, 1, 0]"
4,"[50, 1000, 1000, 2]",59,8000000,31310.774688,3.913847e-03,999.000,"[0, 0, 0, 0]",2048.000,"[0, 49, 48, 1]"
5,"[50, 5, 500, 50, 20]",59,12500000,23919.335487,1.913547e-03,499.000,"[0, 0, 0, 0, 0]",620.000,"[0, 4, 3, 2, 11]"
6,"[10, 50, 10, 10, 1, 5]",59,150000,364.719528,2.431464e-03,49.000,"[0, 0, 0, 0, 0, 0]",80.000,"[0, 9, 8, 7, 0, 1]"
7,"[10, 2, 500, 500, 10, 1, 50]",59,1750000000,242242.064209,1.384240e-04,499.000,"[0, 0, 0, 0, 0, 0, 0]",1066.000,"[0, 1, 0, 499, 8, 0, 7]"
8,"[1000, 200, 50, 1, 2, 2, 1, 20]",59,6400000,161698.967671,2.526546e-02,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1268.000,"[0, 199, 48, 0, 1, 0, 0, 9]"
9,"[1, 5, 100, 5, 100, 1, 2, 2, 10]",59,90000000,1578.963652,1.754404e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",217.000,"[0, 0, 4, 3, 7, 0, 0, 1, 8]"
10,"[10, 20, 1, 1, 1000, 2, 20, 1, 20, 2]",59,320000000,86611.434044,2.706607e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1067.000,"[0, 9, 0, 0, 8, 1, 8, 0, 7, 0]"
3,"[50, 1000, 1000]",60,3000000,15457.090425,5.152363e-03,999.000,"[0, 0, 0]",2047.000,"[0, 49, 48]"
4,"[1000, 5, 1000, 50]",60,1000000,63123.067246,6.312307e-02,999.000,"[0, 0, 0, 0]",2051.000,"[0, 4, 3, 2]"
5,"[10, 50, 1000, 2, 1000]",60,500000000,179303.830488,3.586077e-04,999.000,"[0, 0, 0, 0, 0]",2057.000,"[0, 9, 8, 1, 8]"
6,"[200, 500, 1, 200, 2, 1]",60,1200000,9425.562175,7.854635e-03,599.000,"[0, 0, 0, 0, 0, 0]",898.000,"[0, 99, 0, 98, 1, 0]"
7,"[2, 50, 100, 10, 1000, 20, 2]",60,14000000000,411559.723306,2.939712e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",1177.000,"[0, 1, 0, 9, 8, 7, 0]"
8,"[2, 100, 20, 2, 20, 20, 5, 20]",60,1280000000,34629.110797,2.705399e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0]",181.000,"[0, 1, 0, 1, 0, 19, 3, 2]"
9,"[10, 100, 2, 2, 50, 2, 1, 5, 1000]",60,1800000000,291662.217810,1.620346e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1163.000,"[0, 9, 0, 1, 10, 1, 0, 0, 64]"
10,"[5, 1, 1, 5, 2, 20, 20, 1, 20, 2]",60,1600000,420.948136,2.630926e-04,19.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",67.000,"[0, 0, 0, 4, 0, 9, 8, 0, 7, 0]"
3,"[50, 5, 1000]",61,15000,214.841708,1.432278e-02,999.000,"[0, 0, 0]",1052.000,"[0, 4, 3]"
4,"[2, 5, 200, 50]",61,200000,185.683233,9.284162e-04,199.000,"[0, 0, 0, 0]",253.000,"[0, 0, 9, 8]"
5,"[10, 500, 1, 50, 20]",61,2500000,1399.752842,5.599011e-04,499.000,"[0, 0, 0, 0, 0]",576.000,"[0, 9, 0, 8, 17]"
6,"[200, 1, 1, 2, 5, 100]",61,6000,208.894914,3.481582e-02,199.000,"[0, 0, 0, 0, 0, 0]",303.000,"[0, 0, 0, 1, 0, 4]"
7,"[5, 200, 2, 5, 1, 50, 500]",61,350000000,47299.170836,1.351405e-04,599.000,"[0, 0, 0, 0, 0, 0, 0]",756.000,"[0, 4, 1, 4, 0, 8, 57]"
8,"[2, 200, 1000, 1000, 2, 1, 2, 2]",61,12800000000,368415.510118,2.878246e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",2201.000,"[0, 1, 0, 999, 0, 0, 1, 0]"
9,"[1000, 500, 2, 500, 2, 1, 1, 1, 10]",61,90000000,495781.552247,5.508684e-03,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2008.000,"[0, 499, 0, 499, 0, 0, 0, 0, 9]"
10,"[5, 50, 500, 2, 1, 1, 5, 2, 1000, 1]",61,5000000000,328194.889144,6.563898e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1557.000,"[0, 4, 3, 0, 0, 0, 3, 1, 8, 0]"
3,"[1000, 20, 1000]",62,60000,7321.572308,1.220262e-01,999.000,"[0, 0, 0]",2017.000,"[0, 19, 18]"
4,"[10, 200, 1, 10]",62,8000,2.607256,3.259070e-04,199.000,"[0, 0, 0, 0]",217.000,"[0, 9, 0, 8]"
5,"[200, 1, 1, 1000, 20]",62,100000,1888.801995,1.888802e-02,999.000,"[0, 0, 0, 0, 0]",1217.000,"[0, 0, 0, 199, 18]"
6,"[5, 10, 2, 1000, 5, 200]",62,120000000,31636.077965,2.636340e-04,999.000,"[0, 0, 0, 0, 0, 0]",1216.000,"[0, 4, 1, 4, 3, 7]"
7,"[100, 100, 2, 100, 2, 200, 2]",62,112000000,129447.128071,1.155778e-03,199.000,"[0, 0, 0, 0, 0, 0, 0]",499.000,"[0, 99, 0, 99, 0, 99, 0]"
8,"[1, 10, 2, 5, 1000, 1, 100, 2]",62,160000000,7845.276117,4.903298e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1113.000,"[0, 0, 1, 0, 4, 0, 3, 0]"
9,"[10, 1, 100, 2, 1, 1, 20, 200, 10]",62,72000000,13221.623867,1.836337e-04,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",336.000,"[0, 0, 9, 0, 0, 0, 9, 28, 7]"
10,"[2, 1, 100, 10, 1, 100, 50, 2, 2, 2]",62,400000000,11146.449841,2.786612e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",260.000,"[0, 0, 1, 0, 0, 9, 8, 1, 0, 1]"
3,"[1000, 200, 20]",63,12000,1750.545949,1.458788e-01,999.000,"[0, 0, 0]",1217.000,"[0, 199, 18]"
4,"[10, 1, 1, 200]",63,800,0.001272,1.590000e-06,199.000,"[0, 0, 0, 0]",208.000,"[0, 0, 0, 9]"
5,"[200, 10, 2, 200, 50]",63,1000000,5742.408809,5.742409e-03,199.000,"[0, 0, 0, 0, 0]",457.000,"[0, 9, 0, 9, 8]"
6,"[5, 100, 2, 10, 10, 5]",63,600000,452.499991,7.541667e-04,99.000,"[0, 0, 0, 0, 0, 0]",126.000,"[0, 4, 1, 4, 3, 2]"
7,"[100, 1000, 2, 1, 2, 5, 500]",63,70000000,188603.484507,2.694335e-03,999.000,"[0, 0, 0, 0, 0, 0, 0]",1603.000,"[0, 99, 0, 0, 1, 0, 104]"
8,"[2, 500, 10, 2, 2, 1, 5, 20]",63,16000000,1236.200998,7.726256e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",534.000,"[0, 1, 0, 1, 0, 0, 1, 15]"
9,"[5, 1000, 1, 20, 2, 1, 1, 200, 5]",63,360000000,59516.102541,1.653225e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1226.000,"[0, 4, 0, 3, 0, 0, 0, 23, 2]"
10,"[1, 10, 500, 5, 20, 50, 1, 1, 50, 2]",63,25000000000,258904.542477,1.035618e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",630.000,"[0, 0, 9, 3, 12, 31, 0, 0, 30, 1]"
3,"[10, 1, 20]",64,60,0.000136,2.266667e-06,19.000,"[0, 0, 0]",28.000,"[0, 0, 9]"
4,"[200, 5, 20, 2]",64,800,188.195610,2.352445e-01,199.000,"[0, 0, 0, 0]",223.000,"[0, 4, 3, 0]"
5,"[5, 50, 50, 2, 100]",64,2500000,464.533084,1.858132e-04,99.000,"[0, 0, 0, 0, 0]",202.000,"[0, 4, 3, 0, 3]"
6,"[100, 500, 2, 200, 20, 20]",64,480000000,442358.092698,9.215794e-04,599.000,"[0, 0, 0, 0, 0, 0]",836.000,"[0, 99, 0, 99, 18, 17]"
7,"[1, 2, 5, 20, 100, 10, 2]",64,2800000,42.022681,1.500810e-05,99.000,"[0, 0, 0, 0, 0, 0, 0]",133.000,"[0, 0, 0, 9, 8, 7, 0]"
8,"[5, 10, 1, 100, 2, 20, 20, 1000]",64,6400000000,416776.798500,6.512137e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1150.000,"[0, 4, 0, 3, 0, 3, 2, 41]"
9,"[1, 2, 100, 200, 20, 1, 5, 10, 20]",64,7200000000,86569.440674,1.202353e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",350.000,"[0, 0, 1, 0, 19, 0, 3, 2, 11]"
10,"[5, 1, 1, 10, 5, 100, 1, 1, 1, 1000]",64,50000000,10190.929469,2.038186e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1115.000,"[0, 0, 0, 4, 3, 7, 0, 0, 0, 6]"
3,"[10, 5, 20]",65,300,0.000906,3.020000e-06,19.000,"[0, 0, 0]",32.000,"[0, 4, 3]"
4,"[500, 50, 50, 1000]",65,10000000,205224.031836,2.052240e-02,999.000,"[0, 0, 0, 0]",1596.000,"[0, 49, 48, 97]"
5,"[5, 500, 50, 50, 100]",65,625000000,88335.164608,1.413363e-04,499.000,"[0, 0, 0, 0, 0]",700.000,"[0, 4, 3, 2, 1]"
6,"[2, 500, 2, 20, 5, 2]",65,1200000,164.204695,1.368372e-04,499.000,"[0, 0, 0, 0, 0, 0]",525.000,"[0, 1, 0, 1, 0, 0]"
7,"[50, 10, 10, 2, 50, 2, 20]",65,2800000,2327.682924,8.313153e-04,59.000,"[0, 0, 0, 0, 0, 0, 0]",137.000,"[0, 9, 8, 1, 18, 1, 8]"
8,"[2, 1, 200, 20, 1, 1, 100, 10]",65,32000000,1577.484306,4.929638e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0]",327.000,"[0, 0, 1, 0, 0, 0, 19, 8]"
9,"[200, 2, 10, 2, 1, 1000, 2, 20, 5]",65,72000000,256291.737754,3.559607e-03,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1233.000,"[0, 1, 0, 1, 0, 10, 1, 10, 4]"
10,"[2, 5, 50, 20, 2, 5, 2, 2, 2, 50]",65,200000000,4615.961615,2.307981e-05,59.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]",130.000,"[0, 0, 9, 8, 1, 3, 0, 1, 0, 35]"
3,"[200, 2, 50]",66,300,7.663642,2.554547e-02,199.000,"[0, 0, 0]",249.000,"[0, 1, 0]"
4,"[5, 500, 50, 10]",66,1000000,529.224691,5.292247e-04,499.000,"[0, 0, 0, 0]",561.000,"[0, 4, 3, 2]"
5,"[100, 2, 100, 1000, 2]",66,2000000,14398.397415,7.199199e-03,999.000,"[0, 0, 0, 0, 0]",1199.000,"[0, 1, 0, 99, 0]"
6,"[1, 20, 100, 100, 1000, 1]",66,1200000000,57553.606717,4.796134e-05,999.000,"[0, 0, 0, 0, 0, 0]",1216.000,"[0, 0, 19, 18, 17, 0]"
7,"[20, 200, 100, 5, 200, 1, 2]",66,280000000,80479.204373,2.874257e-04,199.000,"[0, 0, 0, 0, 0, 0, 0]",521.000,"[0, 19, 18, 2, 121, 0, 0]"
8,"[1, 1, 200, 20, 2, 1000, 10, 1]",66,640000000,27741.436739,4.334599e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1227.000,"[0, 0, 0, 19, 0, 19, 8, 0]"
9,"[1, 5, 100, 1, 1000, 50, 20, 1, 5]",66,22500000000,326927.621743,1.453012e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1174.000,"[0, 0, 4, 0, 3, 2, 11, 0, 0]"
10,"[20, 5, 50, 10, 5, 10, 1, 1, 1, 1]",66,1250000,495.164736,3.961318e-04,59.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",94.000,"[0, 4, 3, 2, 1, 5, 0, 0, 0, 0]"
3,"[500, 10, 50]",67,1500,300.095402,2.000636e-01,499.000,"[0, 0, 0]",557.000,"[0, 9, 8]"
4,"[5, 1, 100, 200]",67,80000,1.771135,2.213919e-05,199.000,"[0, 0, 0, 0]",302.000,"[0, 0, 4, 3]"
5,"[100, 10, 100, 10, 5]",67,250000,619.186486,2.476746e-03,99.000,"[0, 0, 0, 0, 0]",220.000,"[0, 9, 8, 7, 1]"
6,"[1, 100, 100, 1, 1, 5]",67,300000,3.803035,1.267678e-05,99.000,"[0, 0, 0, 0, 0, 0]",202.000,"[0, 0, 99, 0, 0, 3]"
7,"[1, 500, 1, 200, 1, 500, 2]",67,700000000,23127.660061,3.303951e-05,599.000,"[0, 0, 0, 0, 0, 100, 0]",1198.000,"[0, 0, 0, 99, 0, 198, 1]"
8,"[1, 10, 1000, 1, 20, 10, 200, 1]",67,3200000000,99503.387884,3.109481e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1235.000,"[0, 0, 9, 0, 8, 7, 36, 0]"
9,"[10, 10, 10, 2, 20, 50, 10, 1, 2]",67,36000000,4703.627591,1.306563e-04,59.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",106.000,"[0, 9, 8, 1, 8, 7, 6, 0, 1]"
10,"[10, 2, 10, 50, 2, 1, 1, 5, 200, 1]",67,20000000,3764.767112,1.882384e-04,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",272.000,"[0, 1, 0, 9, 0, 0, 0, 4, 13, 0]"
3,"[5, 100, 1]",68,300,0.000317,1.056667e-06,99.000,"[0, 0, 0]",103.000,"[0, 4, 0]"
4,"[100, 1000, 100, 2]",68,800000,7761.452316,9.701815e-03,999.000,"[0, 0, 0, 0]",1198.000,"[0, 99, 98, 1]"
5,"[1, 100, 100, 200, 5]",68,50000000,1631.588330,3.263177e-05,199.000,"[0, 0, 0, 0, 0]",401.000,"[0, 0, 99, 98, 2]"
6,"[100, 1000, 1, 50, 1, 50]",68,15000000,67350.184794,4.490012e-03,999.000,"[0, 0, 0, 0, 0, 0]",1196.000,"[0, 99, 0, 48, 0, 47]"
7,"[1, 2, 2, 1000, 5, 100, 500]",68,7000000000,185154.175473,2.645060e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",1603.000,"[0, 0, 1, 0, 4, 3, 102]"
8,"[5, 50, 200, 1, 2, 1, 5, 500]",68,400000000,48672.597550,1.216815e-04,599.000,"[0, 0, 0, 0, 0, 0, 0, 0]",756.000,"[0, 4, 3, 0, 0, 0, 3, 7]"
9,"[1, 1, 10, 20, 5, 200, 50, 10, 5]",68,4500000000,60867.055323,1.352601e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",293.000,"[0, 0, 0, 9, 3, 12, 11, 0, 4]"
10,"[1, 200, 1, 200, 10, 2, 100, 1, 10, 1]",68,8000000000,89251.526308,1.115644e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",516.000,"[0, 0, 0, 199, 8, 1, 8, 0, 7, 0]"
3,"[5, 1000, 1]",69,3000,1.144981,3.816603e-04,999.000,"[0, 0, 0]",1003.000,"[0, 4, 0]"
4,"[1, 5, 1, 50]",69,1000,0.001169,1.169000e-06,49.000,"[0, 0, 0, 0]",53.000,"[0, 0, 0, 4]"
5,"[20, 50, 2, 2, 10]",69,10000,36.416110,3.641611e-03,59.000,"[0, 0, 0, 0, 0]",79.000,"[0, 9, 0, 1, 0]"
6,"[10, 200, 1, 50, 50, 500]",69,1500000000,242873.584014,1.619157e-04,599.000,"[0, 0, 0, 0, 0, 0]",805.000,"[0, 9, 0, 8, 7, 6]"
7,"[20, 20, 20, 10, 50, 1, 10]",69,14000000,4216.670166,3.011907e-04,59.000,"[0, 0, 0, 0, 0, 0, 0]",124.000,"[0, 19, 18, 7, 6, 0, 5]"
8,"[1, 1, 100, 20, 50, 5, 1000, 10]",69,40000000000,446638.068112,1.116595e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1179.000,"[0, 0, 0, 19, 18, 2, 71, 0]"
9,"[1, 1, 500, 1, 1, 2, 1, 10, 1]",69,90000,243.677652,2.707529e-03,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",509.000,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
10,"[2, 1000, 2, 1, 50, 10, 2, 5, 5, 5]",69,2500000000,122065.715331,4.882629e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1072.000,"[0, 1, 0, 0, 1, 0, 1, 0, 4, 3]"
3,"[100, 2, 1]",70,6,0.000274,4.566667e-05,99.000,"[0, 0, 0]",100.000,"[0, 1, 0]"
4,"[1, 20, 2, 1000]",70,160000,240.821440,1.505134e-03,999.000,"[0, 0, 0, 0]",1019.000,"[0, 0, 1, 0]"
5,"[20, 200, 2, 50, 20]",70,2000000,1282.902006,6.414510e-04,199.000,"[0, 0, 0, 0, 0]",287.000,"[0, 19, 0, 19, 8]"
6,"[500, 20, 2, 100, 100, 20]",70,48000000,314152.001120,6.544833e-03,499.000,"[0, 0, 0, 0, 0, 0]",736.000,"[0, 19, 0, 19, 18, 17]"
7,"[5, 200, 500, 5, 20, 10, 2]",70,1400000000,134801.682078,9.628692e-05,599.000,"[0, 0, 0, 0, 0, 0, 0]",735.000,"[0, 4, 3, 2, 6, 5, 0]"
8,"[1, 10, 10, 1, 1, 1000, 20, 50]",70,800000000,33097.732913,4.137217e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1085.000,"[0, 0, 9, 0, 0, 8, 7, 26]"
9,"[10, 1, 500, 20, 2, 5, 1, 100, 20]",70,1800000000,214565.308075,1.192029e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",650.000,"[0, 0, 9, 8, 1, 3, 0, 32, 11]"
10,"[1, 20, 2, 5, 20, 10, 2, 2, 100, 2]",70,320000000,5156.242450,1.611326e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",154.000,"[0, 0, 1, 0, 4, 3, 0, 1, 14, 1]"
3,"[1, 20, 2]",71,120,0.000115,9.583333e-07,19.000,"[0, 0, 0]",20.000,"[0, 0, 1]"
4,"[20, 200, 2, 10]",71,16000,188.766481,1.179791e-02,199.000,"[0, 0, 0, 0]",228.000,"[0, 19, 0, 9]"
5,"[500, 1, 2, 20, 20]",71,4000,379.180183,9.479505e-02,499.000,"[0, 0, 0, 0, 0]",538.000,"[0, 0, 1, 0, 19]"
6,"[5, 10, 5, 1, 200, 50]",71,3000000,585.091693,1.950306e-04,199.000,"[0, 0, 0, 0, 0, 0]",265.000,"[0, 4, 3, 0, 7, 6]"
7,"[5, 20, 200, 1000, 2, 200, 1]",71,11200000000,484163.964180,4.322893e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",1421.000,"[0, 4, 3, 2, 1, 2, 0]"
8,"[200, 10, 2, 2, 500, 2, 20, 20]",71,128000000,286572.465914,2.238847e-03,599.000,"[0, 0, 0, 0, 0, 0, 0, 0]",748.000,"[0, 9, 0, 1, 10, 1, 10, 9]"
9,"[5, 1, 1, 10, 100, 1000, 100, 1, 10]",71,9000000000,450338.837128,5.003765e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1219.000,"[0, 0, 0, 4, 3, 2, 1, 0, 0]"
10,"[2, 2, 2, 1000, 2, 5, 2, 500, 2, 1]",71,800000000,49597.690157,6.199711e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1508.000,"[0, 1, 0, 1, 0, 1, 1, 6, 1, 0]"
3,"[1, 200, 2]",72,1200,0.002326,1.938333e-06,199.000,"[0, 0, 0]",200.000,"[0, 0, 1]"
4,"[20, 1, 2, 2]",72,16,0.000154,9.625000e-06,19.000,"[0, 0, 0, 0]",21.000,"[0, 0, 1, 0]"
5,"[2, 5, 2, 500, 200]",72,5000000,626.828913,1.253658e-04,599.000,"[0, 0, 0, 0, 0]",704.000,"[0, 0, 1, 0, 99]"
6,"[5, 100, 5, 20, 200, 1]",72,12000000,1823.658064,1.519715e-04,199.000,"[0, 0, 0, 0, 0, 0]",325.000,"[0, 4, 3, 7, 26, 0]"
7,"[100, 500, 5, 1, 100, 1, 200]",72,350000000,359667.381399,1.027621e-03,599.000,"[0, 0, 0, 0, 0, 0, 0]",900.000,"[0, 99, 3, 0, 2, 0, 1]"
8,"[1, 50, 10, 100, 20, 1, 5, 200]",72,8000000000,98602.174707,1.232527e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0]",379.000,"[0, 0, 9, 8, 7, 0, 1, 30]"
9,"[10, 2, 10, 500, 1, 2, 10, 2, 1]",72,3600000,1364.594986,3.790542e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",529.000,"[0, 1, 0, 9, 0, 0, 9, 0, 0]"
10,"[1, 2, 1, 1, 2, 20, 20, 5, 1000, 100]",72,8000000000,166632.756241,2.082909e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1142.000,"[0, 0, 0, 0, 1, 0, 19, 3, 2, 1]"
3,"[20, 1000, 50]",73,150000,581.207876,3.874719e-03,999.000,"[0, 0, 0]",1067.000,"[0, 19, 18]"
4,"[500, 5, 100, 50]",73,100000,3123.580363,3.123580e-02,499.000,"[0, 0, 0, 0]",651.000,"[0, 4, 3, 2]"
5,"[5, 50, 5, 5, 1]",73,6250,0.064620,1.033920e-05,49.000,"[0, 0, 0, 0, 0]",61.000,"[0, 4, 3, 2, 0]"
6,"[50, 1, 5, 50, 50, 2]",73,150000,411.218730,2.741458e-03,49.000,"[0, 0, 0, 0, 0, 0]",152.000,"[0, 0, 4, 3, 2, 1]"
7,"[1, 2, 10, 20, 100, 50, 20]",73,280000000,5253.744611,1.876337e-05,99.000,"[0, 0, 0, 0, 0, 0, 0]",196.000,"[0, 0, 1, 0, 19, 18, 7]"
8,"[20, 500, 1, 5, 20, 20, 2, 10]",73,160000000,70007.046831,4.375440e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",570.000,"[0, 19, 0, 3, 2, 1, 0, 1]"
9,"[2, 2, 100, 5, 10, 1, 10, 2, 50]",73,90000000,2850.779358,3.167533e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",173.000,"[0, 1, 0, 4, 3, 0, 2, 1, 22]"
10,"[10, 1, 100, 5, 1, 200, 1000, 2, 2, 2]",73,8000000000,487604.149184,6.095052e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1313.000,"[0, 0, 9, 3, 0, 12, 11, 0, 1, 0]"
3,"[20, 5, 100]",74,1500,63.054523,4.203635e-02,99.000,"[0, 0, 0]",122.000,"[0, 4, 3]"
4,"[500, 50, 100, 1000]",74,20000000,317278.018404,1.586390e-02,999.000,"[0, 0, 0, 0]",1646.000,"[0, 49, 48, 147]"
5,"[5, 500, 100, 100, 1]",74,25000000,6020.682388,2.408273e-04,499.000,"[0, 0, 0, 0, 0]",701.000,"[0, 4, 3, 2, 0]"
6,"[100, 2, 10, 5, 1000, 200]",74,120000000,280065.374057,2.333878e-03,999.000,"[0, 0, 0, 0, 0, 0]",1311.000,"[0, 1, 0, 4, 13, 12]"
7,"[5, 1, 2, 10, 5, 1, 1]",74,700,0.000259,3.700000e-07,9.000,"[0, 0, 0, 0, 0, 0, 0]",18.000,"[0, 0, 0, 5, 4, 0, 0]"
8,"[20, 10, 10, 100, 2, 10, 1, 5]",74,8000000,3048.469131,3.810586e-04,99.000,"[0, 0, 0, 0, 0, 0, 0, 0]",150.000,"[0, 9, 8, 17, 0, 7, 0, 1]"
9,"[5, 2, 10, 500, 1, 5, 1, 500, 20]",74,4500000000,252981.294621,5.621807e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1035.000,"[0, 0, 5, 4, 0, 3, 0, 7, 6]"
10,"[20, 50, 1, 2, 20, 1, 50, 2, 50, 2]",74,200000000,39812.823189,1.990641e-04,69.000,"[0, 0, 0, 0, 0, 0, 10, 0, 10, 0]",188.000,"[0, 9, 0, 0, 9, 0, 28, 1, 28, 1]"
3,"[500, 50, 100]",75,15000,864.140247,5.760935e-02,499.000,"[0, 0, 0]",647.000,"[0, 49, 48]"
4,"[5, 500, 100, 10]",75,2000000,739.221211,3.696106e-04,499.000,"[0, 0, 0, 0]",611.000,"[0, 4, 3, 2]"
5,"[100, 1, 200, 1, 2]",75,2000,6.559093,3.279546e-03,199.000,"[0, 0, 0, 0, 0]",299.000,"[0, 0, 99, 0, 0]"
6,"[1000, 100, 20, 1, 10, 50]",75,6000000,185670.433380,3.094507e-02,999.000,"[0, 0, 0, 0, 0, 0]",1175.000,"[0, 99, 18, 0, 7, 26]"
7,"[20, 100, 20, 5, 5, 5, 20]",75,35000000,11962.693213,3.417912e-04,99.000,"[0, 0, 0, 0, 0, 0, 0]",168.000,"[0, 19, 18, 2, 1, 0, 9]"
8,"[2, 2, 1000, 200, 2, 2, 10, 50]",75,6400000000,253850.470204,3.966414e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1260.000,"[0, 1, 0, 199, 0, 1, 0, 9]"
9,"[1, 100, 2, 20, 100, 1, 1, 5, 1]",75,18000000,443.805584,2.465587e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",222.000,"[0, 0, 1, 0, 19, 0, 0, 3, 0]"
10,"[2, 10, 1, 2, 100, 20, 2, 1, 50, 10]",75,400000000,10646.119530,2.661530e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",188.000,"[0, 1, 0, 0, 1, 0, 1, 0, 20, 9]"
3,"[500, 200, 100]",76,60000,2454.441321,4.090736e-02,599.000,"[0, 0, 0]",797.000,"[0, 99, 98]"
4,"[5, 1, 200, 200]",76,160000,369.644678,2.310279e-03,199.000,"[0, 0, 0, 0]",402.000,"[0, 0, 4, 3]"
5,"[100, 10, 200, 20, 5]",76,1000000,2939.187189,2.939187e-03,199.000,"[0, 0, 0, 0, 0]",330.000,"[0, 9, 8, 7, 1]"
6,"[1, 100, 500, 1, 20, 20]",76,120000000,4969.553889,4.141295e-05,499.000,"[0, 0, 0, 0, 0, 0]",636.000,"[0, 0, 99, 0, 18, 17]"
7,"[5, 1, 100, 200, 50, 2, 100]",76,1400000000,95630.576471,6.830755e-05,199.000,"[0, 0, 0, 0, 0, 0, 0]",451.000,"[0, 0, 4, 3, 2, 1, 52]"
8,"[20, 50, 20, 20, 50, 10, 2, 2]",76,320000000,61231.384923,1.913481e-04,69.000,"[0, 0, 0, 0, 10, 0, 0, 0]",166.000,"[0, 9, 8, 7, 46, 5, 0, 1]"
9,"[2, 2, 1000, 2, 200, 10, 2, 10, 2]",76,2880000000,138943.930806,4.824442e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1221.000,"[0, 1, 0, 1, 0, 9, 0, 9, 0]"
