n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
10,"[5, 5, 1, 2, 1, 500, 5, 5, 500, 5]",45,3125000000,190710.909103,6.102749e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1019.000,"[0, 4, 0, 0, 0, 9, 3, 2, 16, 0]"
3,"[10, 100, 5]",46,1500,73.370362,4.891357e-02,99.000,"[0, 0, 0]",112.000,"[0, 9, 3]"
4,"[200, 10, 5, 1]",46,200,0.128540,6.427000e-04,199.000,"[0, 0, 0, 0]",212.000,"[0, 9, 3, 0]"
5,"[2, 100, 5, 100, 2]",46,500000,144.676983,2.893540e-04,99.000,"[0, 0, 0, 0, 0]",204.000,"[0, 1, 0, 4, 1]"
6,"[50, 1000, 10, 10, 1, 500]",46,300000000,318345.289776,1.061151e-03,999.000,"[0, 0, 0, 0, 0, 0]",1565.000,"[0, 49, 8, 7, 0, 66]"
7,"[1, 5, 1000, 5, 10, 5, 20]",46,175000000,10054.828640,5.745616e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",1039.000,"[0, 0, 4, 3, 7, 1, 0]"
8,"[1, 20, 1000, 1, 20, 1, 1, 100]",46,320000000,15023.353375,4.694798e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1136.000,"[0, 0, 19, 0, 18, 0, 0, 37]"
9,"[2, 2, 100, 20, 200, 1, 10, 10, 5]",46,3600000000,87489.873072,2.430274e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",341.000,"[0, 1, 0, 19, 18, 0, 7, 6, 0]"
10,"[2, 2, 1, 5, 200, 1, 50, 5, 100, 5]",46,2500000000,61960.605390,2.478424e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",361.000,"[0, 1, 0, 0, 4, 0, 3, 2, 56, 0]"
3,"[10, 1000, 5]",47,15000,13.240200,8.826800e-04,999.000,"[0, 0, 0]",1012.000,"[0, 9, 3]"
4,"[200, 5, 5, 20]",47,2000,11.440629,5.720314e-03,199.000,"[0, 0, 0, 0]",226.000,"[0, 4, 3, 7]"
5,"[2, 1000, 10, 1, 5]",47,250000,411.529274,1.646117e-03,999.000,"[0, 0, 0, 0, 0]",1013.000,"[0, 1, 0, 0, 4]"
6,"[50, 5, 10, 2, 1, 1000]",47,600000,2288.727979,3.814547e-03,999.000,"[0, 0, 0, 0, 0, 0]",1062.000,"[0, 4, 3, 0, 0, 13]"
7,"[200, 5, 1000, 100, 2, 10, 1]",47,70000000,288621.316757,4.123162e-03,999.000,"[0, 0, 0, 0, 0, 0, 0]",1311.000,"[0, 4, 3, 2, 1, 2, 0]"
8,"[10, 200, 20, 10, 2, 5, 5, 50]",47,800000000,96908.070842,1.211351e-04,199.000,"[0, 0, 0, 0, 0, 0, 0, 0]",294.000,"[0, 9, 8, 7, 0, 2, 1, 45]"
9,"[200, 5, 1, 5, 10, 50, 200, 2, 2]",47,90000000,170035.980048,1.889289e-03,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",466.000,"[0, 4, 0, 3, 7, 16, 65, 0, 1]"
10,"[1, 20, 1, 2, 10, 20, 1, 2, 500, 10]",47,800000000,19459.555828,2.432444e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",557.000,"[0, 0, 0, 1, 0, 9, 0, 0, 9, 8]"
3,"[200, 2, 100]",48,600,204.757217,3.412620e-01,199.000,"[0, 0, 0]",299.000,"[0, 1, 0]"
