n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[1, 50, 50]",1778651066,7500,0.000000,0.000000e+00,49.000,"[0, 0, 0]",98.000,"[0, 0, 49]"
4,"[2, 1000, 10, 2]",1778651066,80000,0.008000,1.000000e-07,999.000,"[0, 0, 0, 0]",1010.000,"[0, 1, 0, 1]"
5,"[10, 1, 5, 200, 200]",1778651066,1000000,0.205000,2.050000e-07,199.000,"[0, 0, 0, 0, 0]",411.000,"[0, 0, 4, 3, 2]"
6,"[10, 1000, 1, 200, 1, 50]",1778651066,60000000,21.996000,3.666000e-07,999.000,"[0, 0, 0, 0, 0, 0]",1256.000,"[0, 9, 0, 8, 0, 7]"
3,"[1, 500, 1]",1778651067,1500,0.000000,0.000000e+00,499.000,"[0, 0, 0]",499.000,"[0, 0, 0]"
4,"[1000, 5, 20, 5]",1778651067,2000,0.101000,5.050000e-05,999.000,"[0, 0, 0, 0]",1026.000,"[0, 4, 3, 2]"
5,"[10, 5, 200, 500, 5]",1778651067,12500000,3.543000,2.834400e-07,599.000,"[0, 0, 0, 0, 0]",715.000,"[0, 4, 3, 2, 1]"
6,"[2, 1, 2, 1000, 10, 100]",1778651067,12000000,0.879000,7.325000e-08,999.000,"[0, 0, 0, 0, 0, 0]",1109.000,"[0, 0, 1, 0, 9, 8]"
3,"[1, 2, 100]",1778651068,600,0.000000,0.000000e+00,99.000,"[0, 0, 0]",100.000,"[0, 0, 1]"
4,"[100, 50, 50, 10]",1778651068,100000,0.175000,1.750000e-06,99.000,"[0, 0, 0, 0]",206.000,"[0, 49, 48, 7]"
5,"[200, 200, 5, 10, 10]",1778651068,500000,1.975000,3.950000e-06,199.000,"[0, 0, 0, 0, 0]",420.000,"[0, 199, 3, 2, 1]"
6,"[50, 1000, 1, 5, 10, 5]",1778651068,1500000,2.752000,1.834667e-06,999.000,"[0, 0, 0, 0, 0, 0]",1065.000,"[0, 49, 0, 3, 2, 1]"
3,"[1, 50, 2]",1778651069,300,0.000000,0.000000e+00,49.000,"[0, 0, 0]",50.000,"[0, 0, 1]"
4,"[10, 500, 200, 20]",1778651069,8000000,2.730000,3.412500e-07,599.000,"[0, 0, 0, 0]",726.000,"[0, 9, 8, 7]"
5,"[2, 5, 20, 500, 5]",1778651069,1250000,0.084000,6.720000e-08,499.000,"[0, 0, 0, 0, 0]",527.000,"[0, 0, 9, 8, 2]"
6,"[50, 10, 1, 100, 10, 10]",1778651069,600000,0.435000,7.250000e-07,99.000,"[0, 0, 0, 0, 0, 0]",175.000,"[0, 9, 0, 8, 7, 6]"
3,"[1, 500, 200]",1778651070,300000,0.013000,4.333333e-08,599.000,"[0, 0, 0]",698.000,"[0, 0, 99]"
4,"[2, 2, 500, 50]",1778651070,200000,0.013000,6.500000e-08,499.000,"[0, 0, 0, 0]",550.000,"[0, 1, 0, 49]"
5,"[2, 200, 5, 500, 5]",1778651070,12500000,0.714000,5.712000e-08,599.000,"[0, 0, 0, 0, 0]",707.000,"[0, 1, 0, 4, 3]"
6,"[100, 1, 10, 2, 200, 50]",1778651070,1200000,2.182000,1.818333e-06,199.000,"[0, 0, 0, 0, 0, 0]",357.000,"[0, 0, 9, 0, 9, 8]"
3,"[1, 2, 5]",1778651071,30,0.000000,0.000000e+00,5.000,"[0, 0, 0]",5.000,"[0, 0, 0]"
4,"[1, 5, 1, 500]",1778651071,10000,0.001000,1.000000e-07,499.000,"[0, 0, 0, 0]",503.000,"[0, 0, 0, 4]"
5,"[5, 200, 5, 10, 1000]",1778651071,50000000,11.192000,2.238400e-07,999.000,"[0, 0, 0, 0, 0]",1215.000,"[0, 4, 3, 7, 16]"
6,"[20, 500, 2, 500, 2, 1]",1778651071,6000000,3.238000,5.396667e-07,499.000,"[0, 0, 0, 0, 0, 0]",1019.000,"[0, 19, 0, 19, 0, 0]"
3,"[1, 20, 200]",1778651072,12000,0.001000,8.333333e-08,199.000,"[0, 0, 0]",218.000,"[0, 0, 19]"
4,"[50, 500, 1, 200]",1778651072,400000,0.683000,1.707500e-06,599.000,"[0, 0, 0, 0]",747.000,"[0, 49, 0, 48]"
5,"[5, 200, 50, 1, 1]",1778651072,50000,0.006000,1.200000e-07,199.000,"[0, 0, 0, 0, 0]",252.000,"[0, 4, 3, 0, 0]"
6,"[100, 1, 5, 1000, 10, 20]",1778651072,6000000,22.323000,3.720500e-06,999.000,"[0, 0, 0, 0, 0, 0]",1130.000,"[0, 0, 4, 3, 2, 11]"
3,"[1, 500, 10]",1778651073,15000,0.001000,6.666667e-08,499.000,"[0, 0, 0]",508.000,"[0, 0, 9]"
4,"[10, 2, 2, 500]",1778651073,8000,0.002000,2.500000e-07,499.000,"[0, 0, 0, 0]",510.000,"[0, 1, 0, 1]"
5,"[2, 5, 100, 1000, 20]",1778651073,50000000,4.248000,8.496000e-08,999.000,"[0, 0, 0, 0, 0]",1122.000,"[0, 0, 9, 8, 7]"
6,"[5, 100, 10, 1, 1000, 2]",1778651073,12000000,2.349000,1.957500e-07,999.000,"[0, 0, 0, 0, 0, 0]",1112.000,"[0, 4, 3, 0, 12, 1]"
3,"[1, 2, 500]",1778651074,3000,0.000000,0.000000e+00,499.000,"[0, 0, 0]",500.000,"[0, 0, 1]"
4,"[1, 20, 10, 1000]",1778651074,800000,0.043000,5.375000e-08,999.000,"[0, 0, 0, 0]",1027.000,"[0, 0, 9, 8]"
5,"[200, 500, 10, 20, 5]",1778651074,2500000,14.725000,5.890000e-06,599.000,"[0, 0, 0, 0, 0]",730.000,"[0, 99, 8, 7, 1]"
6,"[10, 50, 1, 2, 1000, 2]",1778651074,1200000,0.469000,3.908333e-07,999.000,"[0, 0, 0, 0, 0, 0]",1059.000,"[0, 9, 0, 0, 9, 0]"
3,"[1, 20, 20]",1778651075,1200,0.000000,0.000000e+00,19.000,"[0, 0, 0]",38.000,"[0, 0, 19]"
4,"[200, 200, 20, 1]",1778651075,16000,0.073000,4.562500e-06,199.000,"[0, 0, 0, 0]",417.000,"[0, 199, 18, 0]"
5,"[100, 5, 5, 500, 5]",1778651075,312500,0.910000,2.912000e-06,499.000,"[0, 0, 0, 0, 0]",610.000,"[0, 4, 3, 7, 1]"
6,"[20, 10, 1, 1, 1, 500]",1778651075,30000,0.017000,5.666667e-07,499.000,"[0, 0, 0, 0, 0, 0]",527.000,"[0, 9, 0, 0, 0, 8]"
