n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[10, 2, 100]",1,600,0.011654,1.942333e-05,99.000,"[0, 0, 0]",109.000,"[0, 1, 0]"
4,"[200, 20, 100, 500]",1,4000000,39411.418246,9.852855e-03,599.000,"[0, 0, 0, 0]",816.000,"[0, 19, 18, 17]"
5,"[2, 200, 10, 50, 10]",1,5000000,315.800178,6.316004e-05,199.000,"[0, 0, 0, 0, 0]",267.000,"[0, 1, 0, 9, 8]"
6,"[50, 1, 10, 2, 50, 50]",1,300000,360.414019,1.201380e-03,49.000,"[0, 0, 0, 0, 0, 0]",157.000,"[0, 0, 9, 0, 9, 8]"
7,"[2, 10, 100, 50, 50, 200, 5]",1,17500000000,452861.351580,2.587779e-05,199.000,"[0, 0, 0, 0, 0, 0, 0]",410.000,"[0, 1, 0, 49, 48, 97, 1]"
8,"[2, 10, 1, 10, 1000, 2, 1, 10]",1,16000000,1936.991425,1.210620e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1028.000,"[0, 1, 0, 0, 9, 0, 0, 9]"
9,"[20, 10, 1000, 20, 5, 10, 1, 10, 2]",1,1800000000,816445.042443,4.535806e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1069.000,"[0, 9, 8, 7, 1, 0, 0, 9, 0]"
10,"[1, 1, 10, 2, 5, 5, 200, 50, 5, 500]",1,125000000000,1245576.401416,9.964611e-06,599.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",769.000,"[0, 0, 0, 1, 0, 4, 8, 7, 1, 60]"
3,"[10, 20, 100]",2,6000,0.811118,1.351863e-04,99.000,"[0, 0, 0]",127.000,"[0, 9, 8]"
4,"[200, 200, 200, 5]",2,800000,6004.139088,7.505174e-03,199.000,"[0, 0, 0, 0]",601.000,"[0, 199, 198, 2]"
5,"[2, 1, 200, 1000, 500]",2,500000000,63219.594191,1.264392e-04,999.000,"[0, 0, 0, 0, 0]",1698.000,"[0, 0, 1, 0, 499]"
6,"[50, 10, 10, 50, 100, 2]",2,6000000,6084.223605,1.014037e-03,99.000,"[0, 0, 0, 0, 0, 0]",216.000,"[0, 9, 8, 17, 16, 1]"
7,"[1, 20, 2, 2, 100, 5, 200]",2,56000000,1516.572451,2.708165e-05,199.000,"[0, 0, 0, 0, 0, 0, 0]",323.000,"[0, 0, 1, 0, 1, 0, 4]"
8,"[10, 10, 20, 2, 10, 1, 20, 50]",2,32000000,4657.521467,1.455475e-04,59.000,"[0, 0, 0, 0, 0, 0, 0, 0]",115.000,"[0, 9, 8, 1, 8, 0, 17, 6]"
