n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
9,"[1, 20, 50, 20, 2, 2, 1, 200, 20]",2,2880000000,47654.918653,1.654685e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",307.000,"[0, 0, 9, 8, 1, 0, 0, 29, 8]"
10,"[5, 1000, 2, 2, 100, 5, 2, 100, 1, 20]",2,80000000000,2706878.341144,3.383598e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1227.000,"[0, 4, 1, 0, 5, 4, 0, 9, 0, 8]"
3,"[200, 100, 200]",3,60000,463.874371,7.731240e-03,199.000,"[0, 0, 0]",497.000,"[0, 99, 98]"
4,"[2, 1000, 200, 100]",3,80000000,14531.751979,1.816469e-04,999.000,"[0, 0, 0, 0]",1298.000,"[0, 1, 0, 99]"
5,"[50, 5, 200, 10, 500]",3,25000000,50873.681026,2.034947e-03,599.000,"[0, 0, 0, 0, 0]",760.000,"[0, 4, 3, 2, 11]"
6,"[2, 500, 50, 2, 1, 10]",3,3000000,446.150910,1.487170e-04,499.000,"[0, 0, 0, 0, 0, 0]",559.000,"[0, 1, 0, 1, 0, 0]"
7,"[10, 500, 20, 50, 50, 5, 5]",3,4375000000,758710.466280,1.734195e-04,499.000,"[0, 0, 0, 0, 0, 0, 0]",633.000,"[0, 9, 8, 27, 26, 0, 4]"
8,"[5, 1, 10, 200, 500, 5, 2, 100]",3,8000000000,616310.943307,7.703887e-05,599.000,"[0, 0, 0, 0, 0, 0, 0, 0]",815.000,"[0, 0, 4, 3, 2, 1, 1, 6]"
9,"[2, 1, 1, 50, 50, 2, 5, 500, 20]",3,2250000000,99824.336860,4.436637e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",622.000,"[0, 0, 0, 1, 0, 1, 0, 4, 3]"
10,"[1, 100, 1, 2, 2, 1, 100, 10, 50, 5]",3,1000000000,14821.195607,1.482120e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",262.000,"[0, 0, 0, 1, 0, 0, 1, 0, 9, 3]"
3,"[200, 1000, 200]",4,600000,14276.821154,2.379470e-02,999.000,"[0, 0, 0]",1397.000,"[0, 199, 198]"
4,"[2, 5, 200, 1]",4,4000,0.299768,7.494200e-05,199.000,"[0, 0, 0, 0]",204.000,"[0, 0, 9, 0]"
5,"[20, 10, 200, 200, 100]",4,200000000,87704.815981,4.385241e-04,199.000,"[0, 0, 0, 0, 0]",525.000,"[0, 9, 8, 7, 6]"
6,"[20, 50, 2, 50, 20, 50]",4,30000000,9540.347433,3.180116e-04,69.000,"[0, 0, 0, 0, 0, 10]",186.000,"[0, 9, 0, 9, 18, 27]"
7,"[1000, 10, 50, 1000, 2, 5, 1]",4,35000000,929479.793360,2.655657e-02,999.000,"[0, 0, 0, 0, 0, 0, 0]",2061.000,"[0, 9, 8, 57, 0, 2, 0]"
8,"[100, 500, 1, 20, 100, 5, 2, 2]",4,160000000,302965.433383,1.893534e-03,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",722.000,"[0, 99, 0, 18, 17, 1, 0, 1]"
9,"[200, 20, 10, 5, 1, 5, 10, 2, 1000]",4,900000000,2237329.283322,2.485921e-03,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1244.000,"[0, 19, 8, 2, 0, 1, 5, 0, 45]"
10,"[1, 50, 2, 20, 20, 2, 20, 2, 1000, 2]",4,64000000000,1080128.175874,1.687700e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1109.000,"[0, 0, 1, 0, 19, 0, 19, 0, 59, 0]"
3,"[2, 5, 200]",5,3000,1.080470,3.601567e-04,199.000,"[0, 0, 0]",204.000,"[0, 0, 9]"
4,"[50, 50, 500, 50]",5,5000000,13399.267267,2.679853e-03,499.000,"[0, 0, 0, 0]",646.000,"[0, 49, 48, 47]"
5,"[1000, 500, 500, 2, 1]",5,2500000,149317.418681,5.972697e-02,999.000,"[0, 0, 0, 0, 0]",1998.000,"[0, 499, 498, 1, 0]"
6,"[10, 2, 500, 2, 500, 1000]",5,6000000000,1378819.226803,2.298032e-04,999.000,"[0, 0, 0, 0, 0, 0]",2008.000,"[0, 1, 0, 1, 0, 499]"
7,"[1, 1, 50, 200, 1000, 50, 2]",5,7000000000,251698.331013,3.595690e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",1297.000,"[0, 0, 0, 49, 48, 47, 0]"
8,"[10, 2, 10, 50, 10, 10, 1, 50]",5,40000000,6068.893545,1.517223e-04,49.000,"[0, 0, 0, 0, 0, 0, 0, 0]",135.000,"[0, 1, 0, 9, 8, 7, 0, 26]"
9,"[100, 1, 5, 50, 1, 20, 50, 500, 2]",5,2250000000,1873698.180462,8.327547e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",720.000,"[0, 0, 4, 3, 0, 12, 21, 20, 1]"
10,"[1, 20, 200, 2, 2, 1, 100, 20, 500, 1]",5,160000000000,1471425.685457,9.196411e-06,599.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",837.000,"[0, 0, 19, 0, 1, 0, 20, 19, 38, 0]"
3,"[2, 1, 5]",6,15,0.000252,1.680000e-05,5.000,"[0, 0, 0]",5.000,"[0, 0, 0]"
4,"[50, 200, 5, 1000]",6,4000000,18453.558041,4.613390e-03,999.000,"[0, 0, 0, 0]",1251.000,"[0, 49, 3, 52]"
5,"[1000, 1, 500, 1000, 1]",6,2500000,141203.444529,5.648138e-02,999.000,"[0, 0, 0, 0, 0]",2497.000,"[0, 0, 499, 498, 0]"
6,"[10, 10, 1000, 50, 10, 20]",6,600000000,270660.325672,4.511005e-04,999.000,"[0, 0, 0, 0, 0, 0]",1094.000,"[0, 9, 8, 7, 6, 5]"
7,"[2, 100, 1000, 2, 2, 20, 1000]",6,56000000000,1850362.006416,3.304218e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",2119.000,"[0, 1, 0, 1, 0, 1, 20]"
8,"[10, 1000, 2, 1, 5, 200, 2, 1000]",6,32000000000,2698403.939281,8.432512e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",2212.000,"[0, 9, 0, 0, 4, 13, 0, 213]"
9,"[2, 1, 10, 50, 2, 20, 20, 100, 10]",6,3600000000,91374.705429,2.538186e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",206.000,"[0, 0, 1, 0, 1, 0, 19, 38, 7]"
10,"[2, 20, 20, 2, 50, 2, 1, 1000, 10, 1]",6,8000000000,407298.041487,5.091226e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1098.000,"[0, 1, 0, 1, 0, 1, 0, 50, 9, 0]"
3,"[50, 10, 5]",7,150,0.000899,5.993333e-06,49.000,"[0, 0, 0]",62.000,"[0, 9, 3]"
4,"[1000, 100, 5, 200]",7,400000,37316.824780,9.329206e-02,999.000,"[0, 0, 0, 0]",1301.000,"[0, 99, 3, 102]"
5,"[10, 10, 10, 10, 50]",7,250000,12.841240,5.136496e-05,49.000,"[0, 0, 0, 0, 0]",85.000,"[0, 9, 8, 7, 6]"
6,"[2, 100, 100, 5, 2, 10]",7,6000000,359.988667,5.999811e-05,99.000,"[0, 0, 0, 0, 0, 0]",213.000,"[0, 1, 0, 4, 1, 4]"
7,"[2, 1000, 1, 50, 5, 50, 5]",7,437500000,46389.805399,1.060338e-04,999.000,"[0, 0, 0, 0, 0, 0, 0]",1106.000,"[0, 1, 0, 0, 4, 3, 2]"
8,"[50, 5, 1, 5, 1, 1000, 200, 2]",7,80000000,147001.254453,1.837516e-03,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1256.000,"[0, 4, 0, 3, 0, 7, 6, 1]"
9,"[200, 2, 5, 10, 100, 500, 10, 1, 5]",7,2250000000,2645527.357960,1.175790e-03,599.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",824.000,"[0, 1, 0, 4, 13, 12, 1, 0, 0]"
10,"[500, 100, 5, 1, 5, 500, 1, 1, 5, 5]",7,312500000,1512138.058084,4.838842e-03,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1113.000,"[0, 99, 3, 0, 2, 106, 0, 0, 0, 4]"
3,"[1000, 100, 5]",8,1500,412.067485,2.747117e-01,999.000,"[0, 0, 0]",1102.000,"[0, 99, 3]"
4,"[10, 1000, 10, 2]",8,80000,86.450678,1.080633e-03,999.000,"[0, 0, 0, 0]",1018.000,"[0, 9, 8, 1]"
5,"[200, 50, 10, 200, 100]",8,50000000,185706.065403,3.714121e-03,199.000,"[0, 0, 0, 0, 0]",555.000,"[0, 49, 8, 57, 56]"
6,"[2, 500, 10, 10, 20, 2]",8,12000000,1179.473342,9.828945e-05,499.000,"[0, 0, 0, 0, 0, 0]",538.000,"[0, 1, 0, 9, 18, 1]"
7,"[50, 2, 1, 1000, 5, 1, 1000]",8,70000000,154605.950480,2.208656e-03,999.000,"[0, 0, 0, 0, 0, 0, 0]",2052.000,"[0, 1, 0, 0, 4, 0, 3]"
8,"[1, 20, 1, 100, 2, 1, 1, 500]",8,16000000,607.478237,3.796739e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",618.000,"[0, 0, 0, 19, 0, 0, 0, 19]"
9,"[20, 200, 2, 5, 10, 1, 50, 50, 1]",8,450000000,130208.819633,2.893529e-04,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",330.000,"[0, 19, 0, 4, 3, 0, 32, 31, 0]"
10,"[500, 1, 2, 5, 2, 20, 1, 10, 20, 10]",8,8000000,83278.215111,1.040978e-02,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",561.000,"[0, 0, 1, 0, 0, 5, 0, 4, 13, 2]"
3,"[1000, 500, 10]",9,15000,2331.785081,1.554523e-01,999.000,"[0, 0, 0]",1507.000,"[0, 499, 8]"
4,"[10, 2, 10, 50]",9,4000,1.680955,4.202388e-04,49.000,"[0, 0, 0, 0]",68.000,"[0, 1, 0, 9]"
5,"[200, 20, 10, 2, 100]",9,200000,1164.652152,5.823261e-03,199.000,"[0, 0, 0, 0, 0]",327.000,"[0, 19, 8, 1, 28]"
6,"[2, 2, 20, 200, 50, 5]",9,12000000,761.448421,6.345404e-05,199.000,"[0, 0, 0, 0, 0, 0]",273.000,"[0, 1, 0, 19, 18, 2]"
7,"[50, 20, 20, 10, 10, 5, 5]",9,7000000,5437.112727,7.767304e-04,59.000,"[0, 0, 0, 0, 0, 0, 0]",113.000,"[0, 9, 8, 7, 6, 0, 4]"
8,"[10, 200, 2, 50, 20, 10, 5, 10]",9,1600000000,211794.561233,1.323716e-04,199.000,"[0, 0, 0, 0, 0, 0, 0, 0]",299.000,"[0, 9, 0, 9, 18, 7, 1, 0]"
9,"[20, 1, 2, 1, 20, 50, 500, 5, 100]",9,4500000000,1051540.225855,2.336756e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",690.000,"[0, 0, 1, 0, 0, 9, 8, 2, 11]"
10,"[2, 2, 20, 2, 1000, 500, 2, 1, 20, 2]",9,32000000000,1144455.246648,3.576423e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1541.000,"[0, 1, 0, 1, 0, 499, 0, 0, 19, 0]"
3,"[10, 2, 10]",10,60,0.149083,2.484717e-03,9.000,"[0, 0, 0]",19.000,"[0, 1, 0]"
4,"[200, 20, 10, 1000]",10,800000,14585.696681,1.823212e-02,999.000,"[0, 0, 0, 0]",1226.000,"[0, 19, 8, 27]"
5,"[2, 200, 20, 50, 200]",10,200000000,10643.517058,5.321759e-05,199.000,"[0, 0, 0, 0, 0]",467.000,"[0, 1, 0, 19, 68]"
6,"[50, 1, 20, 2, 50, 10]",10,120000,169.500670,1.412506e-03,59.000,"[0, 0, 0, 0, 10, 0]",127.000,"[0, 0, 9, 0, 19, 8]"
7,"[5, 20, 1, 10, 50, 1, 1000]",10,70000000,20599.793031,2.942828e-04,999.000,"[0, 0, 0, 0, 0, 0, 0]",1080.000,"[0, 4, 0, 3, 2, 0, 1]"
8,"[20, 1, 50, 500, 100, 200, 1, 5]",10,20000000000,2602693.445444,1.301347e-04,599.000,"[0, 0, 0, 0, 0, 0, 0, 0]",869.000,"[0, 0, 9, 8, 7, 6, 0, 0]"
9,"[200, 20, 100, 1, 1, 1, 2, 100, 50]",10,180000000,380903.391854,2.116130e-03,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",466.000,"[0, 19, 18, 0, 0, 0, 1, 18, 17]"
10,"[5, 100, 5, 1, 10, 1, 100, 200, 20, 1]",10,20000000000,788369.672805,3.941848e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",433.000,"[0, 4, 3, 0, 7, 0, 16, 15, 14, 0]"
3,"[10, 10, 200]",11,6000,5.779080,9.631800e-04,199.000,"[0, 0, 0]",217.000,"[0, 9, 8]"
4,"[200, 100, 500, 10]",11,2000000,23192.983196,1.159649e-02,599.000,"[0, 0, 0, 0]",806.000,"[0, 99, 98, 7]"
5,"[2, 1000, 20, 1000, 500]",11,50000000000,2169156.413081,4.338313e-05,999.000,"[0, 0, 0, 0, 0]",2517.000,"[0, 1, 0, 19, 18]"
6,"[100, 5, 50, 50, 1, 1000]",11,75000000,317407.779704,4.232104e-03,999.000,"[0, 0, 0, 0, 0, 0]",1200.000,"[0, 4, 3, 2, 0, 1]"
7,"[5, 1, 500, 2, 2, 5, 1]",11,70000,229.891771,3.284168e-03,499.000,"[0, 0, 0, 0, 0, 0, 0]",509.000,"[0, 0, 4, 1, 0, 0, 0]"
8,"[50, 500, 20, 20, 2, 2, 100, 1]",11,640000000,519220.789152,8.112825e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",687.000,"[0, 49, 8, 7, 0, 1, 88, 0]"
9,"[10, 10, 20, 2, 1, 10, 20, 5, 10]",11,36000000,5000.823978,1.389118e-04,19.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",79.000,"[0, 9, 8, 1, 0, 8, 17, 1, 0]"
10,"[50, 20, 1, 100, 1000, 5, 20, 2, 2, 1]",11,8000000000,2721452.932755,3.401816e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1191.000,"[0, 9, 0, 68, 67, 1, 10, 1, 0, 0]"
3,"[200, 100, 500]",12,150000,2241.179672,1.494120e-02,599.000,"[0, 0, 0]",797.000,"[0, 99, 98]"
4,"[2, 1000, 500, 200]",12,400000000,67831.735292,1.695793e-04,999.000,"[0, 0, 0, 0]",1698.000,"[0, 1, 0, 99]"
5,"[50, 5, 1000, 10, 500]",12,125000000,293787.405054,2.350299e-03,999.000,"[0, 0, 0, 0, 0]",1560.000,"[0, 4, 3, 2, 11]"
6,"[1, 50, 50, 10, 2, 1]",12,300000,11.609375,3.869792e-05,49.000,"[0, 0, 0, 0, 0, 0]",108.000,"[0, 0, 49, 8, 1, 0]"
7,"[1000, 100, 2, 5, 20, 10, 100]",12,140000000,2083059.119145,1.487899e-02,999.000,"[0, 0, 0, 0, 0, 0, 0]",1230.000,"[0, 99, 0, 4, 3, 2, 31]"
8,"[20, 1, 1000, 2, 20, 5, 500, 2]",12,1600000000,742783.063099,4.642394e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1542.000,"[0, 0, 19, 0, 19, 3, 42, 1]"
9,"[5, 1, 200, 5, 1, 50, 200, 2, 500]",12,90000000000,2607092.212741,2.896769e-05,599.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",955.000,"[0, 0, 4, 3, 0, 7, 56, 1, 56]"
10,"[50, 1, 10, 2, 5, 100, 20, 10, 2, 10]",12,400000000,189072.991220,4.726825e-04,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",200.000,"[0, 0, 9, 0, 4, 13, 12, 1, 0, 1]"
3,"[200, 1000, 500]",13,1500000,35928.575211,2.395238e-02,999.000,"[0, 0, 0]",1697.000,"[0, 199, 198]"
4,"[2, 5, 500, 2]",13,20000,3.522687,1.761344e-04,499.000,"[0, 0, 0, 0]",505.000,"[0, 0, 9, 0]"
5,"[100, 50, 1000, 200, 10]",13,500000000,1369335.200476,2.738670e-03,999.000,"[0, 0, 0, 0, 0]",1355.000,"[0, 49, 48, 47, 6]"
6,"[1, 500, 1000, 200, 2, 50]",13,60000000000,1378275.743076,2.297126e-05,999.000,"[0, 0, 0, 0, 0, 0]",1747.000,"[0, 0, 499, 98, 1, 48]"
7,"[20, 2, 100, 20, 1, 50, 5]",13,7000000,2812.841981,4.018346e-04,99.000,"[0, 0, 0, 0, 0, 0, 0]",191.000,"[0, 1, 0, 19, 0, 18, 2]"
8,"[20, 1, 20, 20, 50, 20, 5, 20]",13,320000000,68259.593537,2.133112e-04,59.000,"[0, 0, 0, 0, 0, 0, 0, 0]",148.000,"[0, 0, 19, 18, 7, 6, 0, 9]"
9,"[1000, 5, 2, 10, 1, 20, 100, 5, 50]",13,450000000,2776632.709197,6.170295e-03,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1184.000,"[0, 4, 1, 4, 0, 13, 32, 1, 35]"
10,"[1, 1, 2, 200, 1, 5, 2, 20, 5, 20]",13,80000000,1398.899013,1.748624e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",247.000,"[0, 0, 0, 1, 0, 0, 0, 5, 4, 8]"
3,"[2, 2, 500]",14,3000,0.002615,8.716667e-07,499.000,"[0, 0, 0]",501.000,"[0, 1, 0]"
4,"[100, 20, 1000, 50]",14,4000000,33219.574488,8.304894e-03,999.000,"[0, 0, 0, 0]",1166.000,"[0, 19, 18, 17]"
5,"[1, 200, 1000, 50, 20]",14,1000000000,63770.984262,6.377098e-05,999.000,"[0, 0, 0, 0, 0]",1266.000,"[0, 0, 199, 48, 7]"
6,"[20, 1, 1, 2, 5, 200]",14,12000,5.561669,4.634724e-04,199.000,"[0, 0, 0, 0, 0, 0]",223.000,"[0, 0, 0, 1, 0, 4]"
7,"[500, 10, 1, 500, 1, 1, 50]",14,1750000,28267.368353,1.615278e-02,499.000,"[0, 0, 0, 0, 0, 0, 0]",1056.000,"[0, 9, 0, 8, 0, 0, 7]"
8,"[5, 100, 1, 20, 10, 1, 1, 2]",14,320000,48.528990,1.516531e-04,99.000,"[0, 0, 0, 0, 0, 0, 0, 0]",132.000,"[0, 4, 0, 3, 2, 0, 0, 1]"
9,"[20, 5, 5, 1, 5, 500, 5, 1, 1000]",14,2812500000,1051891.748974,3.740060e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1533.000,"[0, 4, 3, 0, 2, 11, 0, 0, 14]"
10,"[2, 1, 10, 1, 200, 1, 2, 20, 5, 2]",14,8000000,278.687479,3.483593e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",234.000,"[0, 0, 1, 0, 0, 0, 1, 0, 4, 1]"
3,"[2, 20, 1000]",15,60000,224.759125,3.745985e-03,999.000,"[0, 0, 0]",1019.000,"[0, 1, 0]"
4,"[100, 200, 1000, 10]",15,8000000,62768.948230,7.846119e-03,999.000,"[0, 0, 0, 0]",1306.000,"[0, 99, 98, 7]"
5,"[1, 1, 1, 1000, 50]",15,250000,12.948834,5.179534e-05,999.000,"[0, 0, 0, 0, 0]",1048.000,"[0, 0, 0, 0, 49]"
6,"[20, 10, 1, 50, 10, 5]",15,150000,280.109847,1.867399e-03,59.000,"[0, 0, 0, 0, 0, 0]",90.000,"[0, 9, 0, 8, 7, 1]"
7,"[500, 100, 1, 5, 2, 5, 5]",15,175000,3056.322644,1.746470e-02,499.000,"[0, 0, 0, 0, 0, 0, 0]",611.000,"[0, 99, 0, 3, 0, 3, 2]"
8,"[1, 10, 1, 1000, 1, 200, 5, 2]",15,160000000,8134.712514,5.084195e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1212.000,"[0, 0, 0, 9, 0, 8, 2, 1]"
9,"[10, 5, 2, 100, 5, 10, 10, 10, 1000]",15,45000000000,2772787.383109,6.161750e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1143.000,"[0, 4, 1, 4, 3, 7, 6, 5, 34]"
10,"[1, 1000, 5, 20, 5, 1, 20, 10, 1, 1]",15,1000000000,38772.494559,3.877249e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1054.000,"[0, 0, 4, 3, 2, 0, 6, 5, 0, 0]"
3,"[100, 10, 10]",16,300,147.640381,4.921346e-01,99.000,"[0, 0, 0]",117.000,"[0, 9, 8]"
4,"[1, 1, 20, 200]",16,16000,7.753600,4.846000e-04,199.000,"[0, 0, 0, 0]",218.000,"[0, 0, 0, 19]"
5,"[20, 10, 1, 10, 50]",16,25000,54.752370,2.190095e-03,59.000,"[0, 0, 0, 0, 0]",86.000,"[0, 9, 0, 8, 7]"
6,"[500, 100, 1, 1, 10, 10]",16,60000,1521.345394,2.535576e-02,499.000,"[0, 0, 0, 0, 0, 0]",616.000,"[0, 99, 0, 0, 8, 7]"
7,"[500, 5, 5, 10, 50, 5, 20]",16,8750000,116166.699671,1.327619e-02,499.000,"[0, 0, 0, 0, 0, 0, 0]",588.000,"[0, 4, 3, 7, 16, 0, 9]"
8,"[100, 5, 2, 5, 20, 200, 1, 50]",16,80000000,119834.258718,1.497928e-03,199.000,"[0, 0, 0, 0, 0, 0, 0, 0]",375.000,"[0, 4, 1, 4, 8, 27, 0, 26]"
9,"[1, 20, 2, 5, 5, 200, 2, 5, 200]",16,3600000000,57024.023487,1.584001e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",431.000,"[0, 0, 1, 0, 4, 8, 1, 3, 12]"
10,"[20, 20, 5, 2, 20, 20, 2, 50, 5, 5]",16,2000000000,291397.913281,1.456990e-04,59.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",139.000,"[0, 19, 3, 0, 3, 2, 1, 2, 1, 0]"
3,"[100, 50, 10]",17,1500,2.244548,1.496365e-03,99.000,"[0, 0, 0]",157.000,"[0, 49, 8]"
4,"[20, 5, 20, 2]",17,800,134.362736,1.679534e-01,19.000,"[0, 0, 0, 0]",43.000,"[0, 4, 3, 0]"
5,"[500, 50, 20, 200, 100]",17,100000000,964041.030853,9.640410e-03,599.000,"[0, 0, 0, 0, 0]",865.000,"[0, 49, 8, 67, 66]"
6,"[5, 500, 2, 20, 500, 1000]",17,60000000000,2764706.758731,4.607845e-05,999.000,"[0, 0, 0, 0, 0, 0]",2021.000,"[0, 4, 1, 4, 23, 22]"
7,"[100, 2, 2, 1, 100, 500, 5]",17,7000000,23588.784035,3.369826e-03,499.000,"[0, 0, 0, 0, 0, 0, 0]",703.000,"[0, 1, 0, 0, 1, 0, 4]"
8,"[1, 20, 2, 100, 50, 500, 10, 5]",17,40000000000,618719.147384,1.546798e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",680.000,"[0, 0, 1, 0, 49, 48, 7, 1]"
9,"[20, 1, 50, 10, 1, 20, 2, 1000, 50]",17,9000000000,2237284.350273,2.485872e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1145.000,"[0, 0, 9, 8, 0, 17, 0, 37, 36]"
10,"[1, 2, 1, 50, 20, 5, 1, 50, 2, 20]",17,200000000,2789.269135,1.394635e-05,69.000,"[0, 0, 0, 0, 0, 0, 0, 10, 0, 0]",142.000,"[0, 0, 0, 1, 0, 4, 0, 23, 0, 13]"
3,"[1, 500, 20]",18,30000,102.051251,3.401708e-03,499.000,"[0, 0, 0]",518.000,"[0, 0, 19]"
4,"[20, 2, 20, 50]",18,8000,5.493386,6.866733e-04,59.000,"[0, 0, 0, 0]",88.000,"[0, 1, 0, 9]"
5,"[500, 500, 50, 2, 2]",18,500000,11821.827037,2.364365e-02,499.000,"[0, 0, 0, 0, 0]",1049.000,"[0, 499, 48, 1, 0]"
6,"[5, 2, 50, 500, 1000, 1]",18,300000000,79037.843641,2.634595e-04,999.000,"[0, 0, 0, 0, 0, 0]",1552.000,"[0, 0, 5, 4, 3, 0]"
7,"[1000, 20, 5, 1, 1000, 5, 10]",18,35000000,859624.366830,2.456070e-02,999.000,"[0, 0, 0, 0, 0, 0, 0]",2034.000,"[0, 19, 3, 0, 22, 1, 5]"
8,"[1, 200, 5, 20, 50, 20, 1, 1000]",18,160000000000,2102554.616713,1.314097e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1289.000,"[0, 0, 4, 3, 22, 11, 0, 90]"
9,"[20, 1, 5, 1, 20, 10, 2, 200, 10]",18,36000000,14103.223483,3.917562e-04,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",260.000,"[0, 0, 4, 0, 3, 2, 1, 12, 1]"
10,"[2, 1, 2, 2, 500, 10, 20, 5, 5, 20]",18,2000000000,84751.870741,4.237594e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",557.000,"[0, 0, 1, 0, 1, 0, 9, 3, 2, 16]"
