seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1755016037,3,0.0,302.0,265.0,0.8774834437086093,safe,0.0
1755016038,3,0.0,444.0,409.0,0.9211711711711712,safe,0.0
1755016039,3,0.0,430.0,418.0,0.9720930232558139,safe,0.0
1755016040,3,0.0,2060.0,2039.0,0.9898058252427184,safe,0.0
1755016041,3,0.0,2044.0,1956.0,0.9569471624266145,safe,0.0
1755016042,3,0.0,316.0,311.0,0.9841772151898734,safe,0.0
1755016043,3,0.0,510.0,360.0,0.7058823529411765,safe,0.0
1755016044,3,0.0,3774.0,3774.0,1.0,safe,0.0
1755016045,3,0.0,398.0,353.0,0.8869346733668342,safe,0.0
1755016046,3,0.0,2220.0,2137.0,0.9626126126126127,safe,0.0
1755016037,3,0.02,305.02,266.99510859136717,0.8753363995520529,safe,0.0
1755016038,3,0.02,448.44,432.7101876722227,0.9649232621358993,safe,0.0
1755016039,3,0.02,434.30000000000007,428.1860233703337,0.9859222274242082,safe,0.0
1755016040,3,0.02,2080.6,2059.0810258701385,0.9896573228252132,safe,0.0
1755016041,3,0.02,2064.44,2054.909245793112,0.9953833706928329,safe,0.0
1755016042,3,0.02,318.1,312.87293364181966,0.9835678517504547,safe,0.0
1755016043,3,0.02,515.0999999999999,460.07873275155725,0.8931833289682728,safe,0.0
1755016044,3,0.02,3794.0,3791.857689510478,0.9994353425172583,safe,0.0
1755016045,3,0.02,400.02,397.92807909640015,0.9947704592180395,safe,0.0
1755016046,3,0.02,2242.2,2136.9496547473245,0.9530593411592743,safe,0.0
1755016037,3,0.05,309.54999999999995,270.01401073795785,0.8722791495330573,safe,0.1
1755016038,3,0.05,455.1,438.60152328613094,0.9637475791828849,safe,0.1
1755016039,3,0.05,440.75,428.2254432968257,0.9715835355571768,safe,0.1
1755016040,3,0.05,2111.5,2098.2173656755476,0.9937093846438776,safe,0.1
1755016041,3,0.05,2095.1,2056.715990467548,0.9816791515763201,safe,0.1
1755016042,3,0.05,321.25,315.47257854887437,0.9820158087124494,safe,0.1
1755016043,3,0.05,522.75,515.0866639789856,0.985340342379695,safe,0.1
1755016044,3,0.05,3824.0,3822.492553441669,0.9996057932640348,safe,0.1
1755016045,3,0.05,0,397.9094500444962,,,0.1
1755016046,3,0.05,2275.5,2246.233459006995,0.9871384130990969,safe,0.1
1755016037,3,0.1,317.1,274.81435351458094,0.8666488600270607,safe,0.2
